MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11639.0,3033567.26,1095363.31,-9572.76,-10361.44,-10503.11,-10572.2,-10642.82,-10677.79,-10838.22,11508.97,108.0032268657101,11508.97
11640.0,3033567.18,1095363.39,-9573.76,-10361.6,-10503.26,-10572.35,-10642.97,-10677.95,-10838.37,11509.81,108.78378764619316,11509.81
11641.0,3033567.1,1095363.46,-9574.75,-10361.74,-10503.41,-10572.5,-10643.12,-10678.09,-10838.52,11510.66,113.4561585152818,11510.66
11642.0,3033567.02,1095363.54,-9575.75,-10361.89,-10503.55,-10572.65,-10643.26,-10678.24,-10838.66,11511.5,117.62281394912787,11511.5
11643.0,3033566.94,1095363.62,-9576.74,-10362.04,-10503.7,-10572.79,-10643.41,-10678.38,-10838.81,11512.35,115.70989034625394,11512.35
11644.0,3033566.86,1095363.69,-9577.73,-10362.18,-10503.85,-10572.94,-10643.55,-10678.53,-10838.96,11513.2,111.44429058812126,11513.2
11645.0,3033566.79,1095363.77,-9578.73,-10362.33,-10503.99,-10573.09,-10643.7,-10678.68,-10839.1,11514.05,108.73981239095464,11514.05
11646.0,3033566.71,1095363.84,-9579.72,-10362.48,-10504.14,-10573.23,-10643.85,-10678.82,-10839.25,11514.9,110.45484734525544,11514.9
11647.0,3033566.63,1095363.92,-9580.72,-10362.62,-10504.29,-10573.38,-10643.99,-10678.97,-10839.39,11515.740000000002,119.22791076533244,11515.740000000002
11648.0,3033566.56,1095363.99,-9581.71,-10362.77,-10504.43,-10573.52,-10644.14,-10679.12,-10839.54,11516.59,119.07399737199776,11516.59
11649.0,3033566.48,1095364.07,-9582.71,-10362.92,-10504.58,-10573.67,-10644.29,-10679.26,-10839.69,11517.44,113.66504097766456,11517.44
11650.0,3033566.41,1095364.14,-9583.7,-10363.06,-10504.72,-10573.82,-10644.43,-10679.41,-10839.83,11518.29,108.04720212094858,11518.29
11651.0,3033566.33,1095364.21,-9584.69,-10363.2,-10504.86,-10573.96,-10644.57,-10679.55,-10839.97,11519.14,108.1681340728544,11519.14
11652.0,3033566.26,1095364.29,-9585.69,-10363.34,-10505.0,-10574.1,-10644.71,-10679.69,-10840.11,11520.0,108.99267010857592,11520.0
11653.0,3033566.19,1095364.36,-9586.68,-10363.48,-10505.14,-10574.24,-10644.85,-10679.83,-10840.25,11520.85,107.25564752665592,11520.85
11654.0,3033566.11,1095364.43,-9587.68,-10363.62,-10505.28,-10574.38,-10644.99,-10679.97,-10840.39,11521.71,106.7059568361749,11521.71
11655.0,3033566.04,1095364.51,-9588.67,-10363.76,-10505.42,-10574.52,-10645.13,-10680.11,-10840.53,11522.56,109.12459587429136,11522.56
11656.0,3033565.97,1095364.58,-9589.67,-10363.9,-10505.56,-10574.66,-10645.27,-10680.25,-10840.67,11523.42,110.60876073859012,11523.42
11657.0,3033565.9,1095364.65,-9590.66,-10364.04,-10505.7,-10574.8,-10645.41,-10680.39,-10840.81,11524.27,110.19099581382454,11524.27
11658.0,3033565.83,1095364.72,-9591.66,-10364.18,-10505.84,-10574.94,-10645.55,-10680.53,-10840.95,11525.13,111.64217923669442,11525.13
11659.0,3033565.76,1095364.8,-9592.65,-10364.32,-10505.98,-10575.08,-10645.69,-10680.67,-10841.09,11525.98,115.1931810972018,11525.98
11660.0,3033565.69,1095364.87,-9593.65,-10364.46,-10506.12,-10575.22,-10645.83,-10680.81,-10841.23,11526.84,115.56697076672889,11526.84
11661.0,3033565.62,1095364.94,-9594.64,-10364.59,-10506.26,-10575.35,-10645.96,-10680.94,-10841.37,11527.7,112.95044308003924,11527.7
11662.0,3033565.55,1095365.01,-9595.64,-10364.73,-10506.39,-10575.48,-10646.1,-10681.07,-10841.5,11528.56,107.22266608522706,11528.56
11663.0,3033565.49,1095365.08,-9596.63,-10364.86,-10506.52,-10575.62,-10646.23,-10681.21,-10841.63,11529.42,102.67122716804424,11529.42
11664.0,3033565.42,1095365.15,-9597.63,-10364.99,-10506.66,-10575.75,-10646.36,-10681.34,-10841.77,11530.28,103.3528436242407,11530.28
11665.0,3033565.35,1095365.22,-9598.62,-10365.13,-10506.79,-10575.88,-10646.5,-10681.47,-10841.9,11531.15,108.61888043904884,11531.15
11666.0,3033565.29,1095365.29,-9599.62,-10365.26,-10506.92,-10576.02,-10646.63,-10681.61,-10842.03,11532.01,113.50013377052026,11532.01
11667.0,3033565.22,1095365.36,-9600.61,-10365.39,-10507.06,-10576.15,-10646.77,-10681.74,-10842.17,11532.87,,11532.87
11668.0,3033565.16,1095365.43,-9601.61,-10365.53,-10507.19,-10576.28,-10646.9,-10681.87,-10842.3,11533.73,105.6175692690225,11533.73
11669.0,3033565.09,1095365.5,-9602.61,-10365.66,-10507.32,-10576.42,-10647.03,-10682.01,-10842.43,11534.59,104.03446008043716,11534.59
11670.0,3033565.03,1095365.57,-9603.6,-10365.79,-10507.46,-10576.55,-10647.17,-10682.14,-10842.57,11535.46,106.17825377331312,11535.46
11671.0,3033564.97,1095365.64,-9604.6,-10365.92,-10507.58,-10576.68,-10647.29,-10682.27,-10842.69,11536.320000000002,106.61800632569792,11536.320000000002
11672.0,3033564.9,1095365.71,-9605.59,-10366.05,-10507.71,-10576.8,-10647.42,-10682.4,-10842.82,11537.19,105.55160638616476,11537.19
11673.0,3033564.84,1095365.78,-9606.59,-10366.17,-10507.84,-10576.93,-10647.55,-10682.52,-10842.95,11538.06,106.0463280075977,11538.06
11674.0,3033564.78,1095365.85,-9607.58,-10366.3,-10507.96,-10577.06,-10647.67,-10682.65,-10843.07,11538.93,112.24683899622356,11538.93
11675.0,3033564.72,1095365.92,-9608.58,-10366.43,-10508.09,-10577.18,-10647.8,-10682.78,-10843.2,11539.8,120.51418698105805,11539.8
11676.0,3033564.66,1095365.98,-9609.58,-10366.55,-10508.22,-10577.31,-10647.93,-10682.9,-10843.33,11540.67,119.72263238676535,11540.67
11677.0,3033564.6,1095366.05,-9610.57,-10366.68,-10508.35,-10577.44,-10648.05,-10683.03,-10843.45,11541.54,117.1940552105527,11541.54
11678.0,3033564.54,1095366.12,-9611.57,-10366.81,-10508.47,-10577.56,-10648.18,-10683.16,-10843.58,11542.41,116.0616923881618,11542.41
11679.0,3033564.48,1095366.19,-9612.56,-10366.94,-10508.6,-10577.69,-10648.31,-10683.28,-10843.71,11543.28,117.1940552105527,11543.28
11680.0,3033564.42,1095366.25,-9613.56,-10367.06,-10508.73,-10577.82,-10648.43,-10683.41,-10843.83,11544.15,117.39194385912586,11544.15
11681.0,3033564.36,1095366.32,-9614.56,-10367.18,-10508.85,-10577.94,-10648.55,-10683.53,-10843.96,11545.02,116.03970476054256,11545.02
11682.0,3033564.31,1095366.39,-9615.55,-10367.3,-10508.97,-10578.06,-10648.67,-10683.65,-10844.08,11545.9,107.64043100999262,11545.9
11683.0,3033564.25,1095366.45,-9616.55,-10367.42,-10509.09,-10578.18,-10648.79,-10683.77,-10844.2,11546.77,105.38669917902044,11546.77
11684.0,3033564.19,1095366.52,-9617.54,-10367.54,-10509.21,-10578.3,-10648.91,-10683.89,-10844.32,11547.65,106.01334656616882,11547.65
11685.0,3033564.14,1095366.58,-9618.54,-10367.66,-10509.33,-10578.42,-10649.04,-10684.01,-10844.44,11548.53,108.12415881761594,11548.53
11686.0,3033564.08,1095366.65,-9619.54,-10367.78,-10509.45,-10578.54,-10649.16,-10684.13,-10844.56,11549.4,111.4662782157405,11549.4
11687.0,3033564.03,1095366.72,-9620.53,-10367.9,-10509.57,-10578.66,-10649.28,-10684.25,-10844.68,11550.28,112.11491323050812,11550.28
11688.0,3033563.97,1095366.78,-9621.53,-10368.02,-10509.69,-10578.78,-10649.4,-10684.37,-10844.8,11551.15,112.77454205908532,11551.15
11689.0,3033563.92,1095366.85,-9622.53,-10368.15,-10509.81,-10578.9,-10649.52,-10684.49,-10844.92,11552.03,111.8950369543157,11552.03
11690.0,3033563.87,1095366.91,-9623.52,-10368.27,-10509.93,-10579.02,-10649.64,-10684.61,-10845.04,11552.91,108.3770165352372,11552.91
11691.0,3033563.81,1095366.97,-9624.52,-10368.38,-10510.04,-10579.14,-10649.75,-10684.73,-10845.15,11553.79,105.14483527520882,11553.79
11692.0,3033563.76,1095367.04,-9625.52,-10368.49,-10510.16,-10579.25,-10649.86,-10684.84,-10845.27,11554.67,104.72707035044324,11554.67
11693.0,3033563.71,1095367.1,-9626.51,-10368.61,-10510.27,-10579.36,-10649.98,-10684.95,-10845.38,11555.55,108.99267010857592,11555.55
11694.0,3033563.66,1095367.17,-9627.51,-10368.72,-10510.38,-10579.48,-10650.09,-10685.07,-10845.49,11556.44,114.53355226862458,11556.44
11695.0,3033563.61,1095367.23,-9628.51,-10368.83,-10510.5,-10579.59,-10650.21,-10685.18,-10845.61,11557.320000000002,113.59907809480684,11557.320000000002
11696.0,3033563.56,1095367.29,-9629.5,-10368.95,-10510.61,-10579.7,-10650.32,-10685.3,-10845.72,11558.2,113.0273997767066,11558.2
11697.0,3033563.51,1095367.36,-9630.5,-10369.06,-10510.73,-10579.82,-10650.43,-10685.41,-10845.83,11559.09,116.20461196768686,11559.09
11698.0,3033563.46,1095367.42,-9631.5,-10369.18,-10510.84,-10579.93,-10650.55,-10685.52,-10845.95,11559.97,118.92008397866309,11559.97
11699.0,3033563.41,1095367.48,-9632.49,-10369.29,-10510.95,-10580.05,-10650.66,-10685.64,-10846.06,11560.85,118.546294309136,11560.85
11700.0,3033563.37,1095367.54,-9633.49,-10369.4,-10511.07,-10580.16,-10650.78,-10685.75,-10846.18,11561.73,117.11709851388537,11561.73
11701.0,3033563.32,1095367.6,-9634.49,-10369.51,-10511.17,-10580.27,-10650.88,-10685.86,-10846.28,11562.62,116.99616656197952,11562.62
11702.0,3033563.27,1095367.67,-9635.48,-10369.62,-10511.28,-10580.37,-10650.99,-10685.97,-10846.39,11563.51,117.50188199722209,11563.51
11703.0,3033563.23,1095367.73,-9636.48,-10369.73,-10511.39,-10580.48,-10651.1,-10686.07,-10846.5,11564.4,117.50188199722209,11564.4
11704.0,3033563.18,1095367.79,-9637.48,-10369.83,-10511.5,-10580.59,-10651.2,-10686.18,-10846.61,11565.29,119.06300355818814,11565.29
11705.0,3033563.14,1095367.85,-9638.48,-10369.94,-10511.6,-10580.7,-10651.31,-10686.29,-10846.71,11566.18,120.54716842248688,11566.18
11706.0,3033563.09,1095367.91,-9639.47,-10370.05,-10511.71,-10580.8,-10651.42,-10686.39,-10846.82,11567.070000000002,118.68921388866106,11567.070000000002
11707.0,3033563.05,1095367.97,-9640.47,-10370.15,-10511.82,-10580.91,-10651.53,-10686.5,-10846.93,11567.96,,11567.96
11708.0,3033563.0,1095368.03,-9641.47,-10370.26,-10511.92,-10581.02,-10651.63,-10686.61,-10847.03,11568.85,118.55728812294562,11568.85
11709.0,3033562.96,1095368.09,-9642.46,-10370.37,-10512.03,-10581.12,-10651.74,-10686.72,-10847.14,11569.740000000002,119.71163857295576,11569.740000000002
11710.0,3033562.92,1095368.15,-9643.46,-10370.48,-10512.14,-10581.23,-10651.85,-10686.82,-10847.25,11570.63,118.84312728199576,11570.63
11711.0,3033562.88,1095368.21,-9644.46,-10370.58,-10512.24,-10581.33,-10651.95,-10686.92,-10847.35,11571.53,116.13864908482914,11571.53
11712.0,3033562.84,1095368.27,-9645.46,-10370.68,-10512.34,-10581.43,-10652.05,-10687.02,-10847.45,11572.43,114.03883064719166,11572.43
11713.0,3033562.8,1095368.33,-9646.45,-10370.77,-10512.44,-10581.53,-10652.15,-10687.12,-10847.55,11573.33,111.11447617383266,11573.33
11714.0,3033562.76,1095368.38,-9647.45,-10370.87,-10512.54,-10581.63,-10652.25,-10687.22,-10847.65,11574.23,112.20286374098508,11574.23
11715.0,3033562.72,1095368.44,-9648.45,-10370.97,-10512.64,-10581.73,-10652.35,-10687.32,-10847.75,11575.12,115.40206355958458,11575.12
11716.0,3033562.68,1095368.5,-9649.45,-10371.07,-10512.74,-10581.83,-10652.45,-10687.42,-10847.85,11576.02,117.69977064579524,11576.02
11717.0,3033562.64,1095368.56,-9650.44,-10371.17,-10512.84,-10581.93,-10652.54,-10687.52,-10847.95,11576.92,118.67822007485144,11576.92
11718.0,3033562.6,1095368.61,-9651.44,-10371.27,-10512.94,-10582.03,-10652.64,-10687.62,-10848.05,11577.820000000002,119.49176229676334,11577.820000000002
11719.0,3033562.56,1095368.67,-9652.44,-10371.37,-10513.04,-10582.13,-10652.74,-10687.72,-10848.15,11578.72,122.657980673934,11578.72
11720.0,3033562.53,1095368.73,-9653.44,-10371.47,-10513.14,-10582.23,-10652.84,-10687.82,-10848.24,11579.61,130.08979880923732,11579.61
11721.0,3033562.49,1095368.78,-9654.43,-10371.56,-10513.23,-10582.32,-10652.94,-10687.91,-10848.34,11580.52,136.4552170050075,11580.52
11722.0,3033562.45,1095368.84,-9655.43,-10371.66,-10513.32,-10582.41,-10653.03,-10688.0,-10848.43,11581.43,140.87473015647487,11581.43
11723.0,3033562.42,1095368.89,-9656.43,-10371.75,-10513.41,-10582.5,-10653.12,-10688.1,-10848.52,11582.33,146.59151333747744,11582.33
11724.0,3033562.38,1095368.95,-9657.43,-10371.84,-10513.5,-10582.6,-10653.21,-10688.19,-10848.61,11583.240000000002,140.20410751408804,11583.240000000002
11725.0,3033562.35,1095369.0,-9658.43,-10371.93,-10513.59,-10582.69,-10653.3,-10688.28,-10848.7,11584.14,124.77978673919073,11584.14
11726.0,3033562.32,1095369.06,-9659.42,-10372.02,-10513.69,-10582.78,-10653.39,-10688.37,-10848.8,11585.05,122.6689744877436,11585.05
11727.0,3033562.28,1095369.11,-9660.42,-10372.12,-10513.78,-10582.87,-10653.49,-10688.46,-10848.89,11585.96,122.89984457774564,11585.96
11728.0,3033562.25,1095369.16,-9661.42,-10372.21,-10513.87,-10582.96,-10653.58,-10688.56,-10848.98,11586.86,123.57046722013249,11586.86
11729.0,3033562.22,1095369.22,-9662.42,-10372.3,-10513.96,-10583.05,-10653.67,-10688.65,-10849.07,11587.77,123.31760950251122,11587.77
11730.0,3033562.19,1095369.27,-9663.42,-10372.39,-10514.05,-10583.15,-10653.76,-10688.74,-10849.16,11588.67,121.22878487868334,11588.67
11731.0,3033562.16,1095369.32,-9664.41,-10372.48,-10514.14,-10583.23,-10653.85,-10688.82,-10849.25,11589.59,119.98648391819626,11589.59
11732.0,3033562.12,1095369.37,-9665.41,-10372.56,-10514.22,-10583.31,-10653.93,-10688.91,-10849.33,11590.5,122.16325905250108,11590.5
11733.0,3033562.09,1095369.42,-9666.41,-10372.64,-10514.31,-10583.4,-10654.01,-10688.99,-10849.42,11591.42,124.63686715966566,11591.42
11734.0,3033562.07,1095369.48,-9667.41,-10372.73,-10514.39,-10583.48,-10654.1,-10689.08,-10849.5,11592.33,125.3074898020525,11592.33
