TVT,GR,Geology
11054.45,90.47,
11055.45,90.47,
11056.45,90.47,
11057.45,90.47,
11058.45,101.07000000000001,
11059.45,101.07000000000001,
11060.45,101.07000000000001,
11061.45,101.07000000000001,
11062.45,98.95,
11063.45,98.95,
11064.45,98.95,
11065.45,96.83,
11066.45,96.83,
11067.45,96.83,
11068.45,96.83,
11069.45,94.71000000000001,
11070.45,94.71000000000001,
11071.45,94.71000000000001,
11072.45,94.71000000000001,
11073.45,107.43,
11074.45,107.43,
11075.45,107.43,
11076.45,107.43,
11077.45,84.15,
11078.45,84.15,
11079.45,84.15,
11080.45,86.27,
11081.45,86.27,
11082.45,86.27,
11083.45,77.79,
11084.45,77.79,
11085.45,77.79,
11086.45,77.79,
11087.45,84.15,
11088.45,84.15,
11089.45,84.15,
11090.45,84.15,
11091.45,79.91,
11092.45,79.91,
11093.45,79.91,
11094.45,82.03,
11095.45,82.03,
11096.45,82.03,
11097.45,82.03,
11098.45,82.03,
11099.45,82.03,
11100.45,84.15,
11101.45,84.15,
11102.45,84.15,
11103.45,84.15,
11104.45,88.35000000000001,
11105.45,88.35000000000001,
11106.45,88.35000000000001,
11107.45,88.35000000000001,
11108.45,88.35000000000001,
11109.45,88.35000000000001,
11110.45,88.35000000000001,
11111.45,88.35000000000001,
11112.45,88.35000000000001,
11113.45,88.35000000000001,
11114.45,84.15,
11115.45,84.15,
11116.45,84.15,
11117.45,84.15,
11118.45,84.15,
11119.45,84.15,
11120.45,82.03,
11121.45,82.03,
11122.45,82.03,
11123.45,82.03,
11124.45,75.67,
11125.45,75.67,
11126.45,75.67,
11127.45,82.03,
11128.45,82.03,
11129.45,82.03,
11130.45,82.03,
11131.45,84.15,
11132.45,84.15,
11133.45,84.15,
11134.45,79.91,
11135.45,79.91,
11136.45,79.91,
11137.45,82.03,
11138.45,82.03,
11139.45,82.03,
11140.45,79.91,
11141.45,79.91,
11142.45,79.91,
11143.45,79.91,
11144.45,84.15,
11145.45,84.15,
11146.45,84.15,
11147.45,82.03,
11148.45,82.03,
11149.45,82.03,
11150.45,79.91,
11151.45,79.91,
11152.45,79.91,
11153.45,77.79,
11154.45,77.79,
11155.45,77.79,
11156.45,88.35000000000001,
11157.45,88.35000000000001,
11158.45,88.35000000000001,
