MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10746.0,3000998.18,1117073.58,-8554.16,-8742.36,-8876.71,-8959.27,-9093.79,-9144.34,-9250.22,10745.820000000002,100.127737838546,10745.820000000002
10747.0,3000998.17,1117073.57,-8555.16,-8742.36,-8876.71,-8959.27,-9093.79,-9144.34,-9250.22,10746.820000000002,106.34465442317052,10746.820000000002
10748.0,3000998.15,1117073.56,-8556.16,-8742.36,-8876.71,-8959.27,-9093.79,-9144.34,-9250.22,10747.820000000002,,10747.820000000002
10749.0,3000998.14,1117073.55,-8557.16,-8742.36,-8876.71,-8959.27,-9093.79,-9144.34,-9250.22,10748.83,106.47606892008126,10748.83
10750.0,3000998.12,1117073.54,-8558.16,-8742.36,-8876.71,-8959.27,-9093.79,-9144.34,-9250.21,10749.83,99.36957727944544,10749.83
10751.0,3000998.11,1117073.53,-8559.16,-8742.36,-8876.71,-8959.26,-9093.79,-9144.34,-9250.21,10750.83,103.31201218676831,10750.83
10752.0,3000998.09,1117073.52,-8560.16,-8742.35,-8876.71,-8959.26,-9093.79,-9144.33,-9250.21,10751.83,,10751.83
10753.0,3000998.07,1117073.51,-8561.16,-8742.35,-8876.7,-8959.26,-9093.79,-9144.33,-9250.21,10752.83,,10752.83
10754.0,3000998.06,1117073.5,-8562.16,-8742.35,-8876.7,-8959.26,-9093.78,-9144.33,-9250.21,10753.83,,10753.83
10755.0,3000998.04,1117073.49,-8563.16,-8742.35,-8876.7,-8959.26,-9093.78,-9144.33,-9250.21,10754.83,,10754.83
10756.0,3000998.02,1117073.48,-8564.16,-8742.35,-8876.7,-8959.26,-9093.78,-9144.33,-9250.21,10755.83,,10755.83
10757.0,3000998.01,1117073.47,-8565.16,-8742.35,-8876.7,-8959.26,-9093.78,-9144.33,-9250.21,10756.84,116.45346187784452,10756.84
10758.0,3000997.99,1117073.47,-8566.16,-8742.35,-8876.7,-8959.26,-9093.78,-9144.33,-9250.2,10757.84,,10757.84
10759.0,3000997.97,1117073.46,-8567.16,-8742.35,-8876.7,-8959.25,-9093.78,-9144.32,-9250.2,10758.84,109.3772966595727,10758.84
10760.0,3000997.96,1117073.45,-8568.16,-8742.34,-8876.69,-8959.25,-9093.78,-9144.32,-9250.2,10759.84,,10759.84
10761.0,3000997.94,1117073.44,-8569.16,-8742.34,-8876.69,-8959.25,-9093.77,-9144.32,-9250.2,10760.84,,10760.84
10762.0,3000997.92,1117073.43,-8570.16,-8742.34,-8876.69,-8959.25,-9093.77,-9144.32,-9250.2,10761.84,,10761.84
10763.0,3000997.9,1117073.42,-8571.16,-8742.34,-8876.69,-8959.25,-9093.77,-9144.32,-9250.2,10762.84,,10762.84
10764.0,3000997.88,1117073.41,-8572.16,-8742.34,-8876.69,-8959.25,-9093.77,-9144.32,-9250.19,10763.84,98.25760845943132,10763.84
10765.0,3000997.86,1117073.4,-8573.16,-8742.34,-8876.69,-8959.25,-9093.77,-9144.32,-9250.19,10764.85,,10764.85
10766.0,3000997.84,1117073.4,-8574.16,-8742.34,-8876.69,-8959.24,-9093.77,-9144.31,-9250.19,10765.85,100.64328701873436,10765.85
10767.0,3000997.83,1117073.39,-8575.16,-8742.33,-8876.68,-8959.24,-9093.77,-9144.31,-9250.19,10766.85,116.45346187784452,10766.85
10768.0,3000997.81,1117073.38,-8576.16,-8742.33,-8876.68,-8959.24,-9093.76,-9144.31,-9250.19,10767.85,127.57315007798591,10767.85
10769.0,3000997.79,1117073.37,-8577.16,-8742.33,-8876.68,-8959.24,-9093.76,-9144.31,-9250.19,10768.85,,10768.85
10770.0,3000997.77,1117073.36,-8578.16,-8742.33,-8876.68,-8959.24,-9093.76,-9144.31,-9250.19,10769.85,,10769.85
10771.0,3000997.75,1117073.36,-8579.16,-8742.33,-8876.68,-8959.24,-9093.76,-9144.31,-9250.18,10770.85,122.51874635064893,10770.85
10772.0,3000997.73,1117073.35,-8580.16,-8742.33,-8876.68,-8959.23,-9093.76,-9144.31,-9250.18,10771.85,,10771.85
10773.0,3000997.7,1117073.34,-8581.16,-8742.32,-8876.67,-8959.23,-9093.76,-9144.3,-9250.18,10772.86,129.70610845092213,10772.86
10774.0,3000997.68,1117073.33,-8582.16,-8742.32,-8876.67,-8959.23,-9093.75,-9144.3,-9250.18,10773.86,134.6493152962577,10773.86
10775.0,3000997.66,1117073.33,-8583.16,-8742.32,-8876.67,-8959.23,-9093.75,-9144.3,-9250.18,10774.86,,10774.86
10776.0,3000997.64,1117073.32,-8584.16,-8742.32,-8876.67,-8959.23,-9093.75,-9144.3,-9250.18,10775.86,132.84994756932574,10775.86
10777.0,3000997.62,1117073.31,-8585.16,-8742.32,-8876.67,-8959.23,-9093.75,-9144.3,-9250.17,10776.86,129.5949115689207,10776.86
10778.0,3000997.6,1117073.3,-8586.15,-8742.32,-8876.67,-8959.22,-9093.75,-9144.3,-9250.17,10777.86,,10777.86
10779.0,3000997.58,1117073.3,-8587.15,-8742.31,-8876.66,-8959.22,-9093.75,-9144.29,-9250.17,10778.86,127.57315007798591,10778.86
10780.0,3000997.55,1117073.29,-8588.15,-8742.31,-8876.66,-8959.22,-9093.74,-9144.29,-9250.17,10779.87,,10779.87
10781.0,3000997.53,1117073.28,-8589.15,-8742.31,-8876.66,-8959.22,-9093.74,-9144.29,-9250.17,10780.87,,10780.87
10782.0,3000997.51,1117073.27,-8590.15,-8742.31,-8876.66,-8959.22,-9093.74,-9144.29,-9250.17,10781.87,,10781.87
10783.0,3000997.49,1117073.27,-8591.15,-8742.31,-8876.66,-8959.22,-9093.74,-9144.29,-9250.16,10782.87,,10782.87
10784.0,3000997.46,1117073.26,-8592.15,-8742.31,-8876.66,-8959.21,-9093.74,-9144.29,-9250.16,10783.87,124.54050784158372,10783.87
10785.0,3000997.44,1117073.25,-8593.15,-8742.3,-8876.65,-8959.21,-9093.74,-9144.28,-9250.16,10784.87,,10784.87
10786.0,3000997.41,1117073.25,-8594.15,-8742.3,-8876.65,-8959.21,-9093.73,-9144.28,-9250.16,10785.87,,10785.87
10787.0,3000997.39,1117073.24,-8595.15,-8742.3,-8876.65,-8959.21,-9093.73,-9144.28,-9250.16,10786.88,,10786.88
10788.0,3000997.37,1117073.23,-8596.15,-8742.3,-8876.65,-8959.21,-9093.73,-9144.28,-9250.16,10787.88,,10787.88
10789.0,3000997.34,1117073.23,-8597.15,-8742.3,-8876.65,-8959.21,-9093.73,-9144.28,-9250.15,10788.88,127.00705686052416,10788.88
10790.0,3000997.32,1117073.22,-8598.15,-8742.3,-8876.65,-8959.2,-9093.73,-9144.27,-9250.15,10789.88,129.5949115689207,10789.88
10791.0,3000997.29,1117073.22,-8599.15,-8742.29,-8876.64,-8959.2,-9093.73,-9144.27,-9250.15,10790.88,,10790.88
10792.0,3000997.27,1117073.21,-8600.15,-8742.29,-8876.64,-8959.2,-9093.72,-9144.27,-9250.15,10791.88,,10791.88
10793.0,3000997.24,1117073.2,-8601.15,-8742.29,-8876.64,-8959.2,-9093.72,-9144.27,-9250.15,10792.88,124.54050784158372,10792.88
10794.0,3000997.22,1117073.2,-8602.15,-8742.29,-8876.64,-8959.2,-9093.72,-9144.27,-9250.14,10793.89,126.36009318342504,10793.89
10795.0,3000997.19,1117073.19,-8603.15,-8742.29,-8876.64,-8959.19,-9093.72,-9144.27,-9250.14,10794.89,129.5949115689207,10794.89
10796.0,3000997.16,1117073.19,-8604.15,-8742.28,-8876.63,-8959.19,-9093.72,-9144.26,-9250.14,10795.89,,10795.89
10797.0,3000997.14,1117073.18,-8605.15,-8742.28,-8876.63,-8959.19,-9093.71,-9144.26,-9250.14,10796.89,,10796.89
10798.0,3000997.11,1117073.18,-8606.15,-8742.28,-8876.63,-8959.19,-9093.71,-9144.26,-9250.14,10797.89,131.33362645112462,10797.89
10799.0,3000997.08,1117073.17,-8607.15,-8742.28,-8876.63,-8959.19,-9093.71,-9144.26,-9250.14,10798.89,132.6275538053229,10798.89
10800.0,3000997.06,1117073.16,-8608.15,-8742.28,-8876.63,-8959.19,-9093.71,-9144.26,-9250.13,10799.89,,10799.89
10801.0,3000997.03,1117073.16,-8609.15,-8742.27,-8876.63,-8959.18,-9093.71,-9144.25,-9250.13,10800.9,127.57315007798591,10800.9
10802.0,3000997.0,1117073.15,-8610.15,-8742.27,-8876.62,-8959.18,-9093.7,-9144.25,-9250.13,10801.9,,10801.9
10803.0,3000996.97,1117073.15,-8611.15,-8742.27,-8876.62,-8959.18,-9093.7,-9144.25,-9250.13,10802.9,132.48603050095747,10802.9
