MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11576.0,3008680.38,1092105.39,-9376.94,-9682.9,-9827.58,-9859.67,-9975.43,-10011.82,-10149.41,11549.25,117.88486000986109,11549.25
11577.0,3008680.39,1092105.41,-9377.94,-9682.88,-9827.56,-9859.65,-9975.42,-10011.81,-10149.4,11550.26,,11550.26
11578.0,3008680.39,1092105.42,-9378.94,-9682.87,-9827.55,-9859.64,-9975.41,-10011.79,-10149.39,11551.27,,11551.27
11579.0,3008680.4,1092105.44,-9379.94,-9682.86,-9827.54,-9859.63,-9975.4,-10011.78,-10149.38,11552.28,,11552.28
11580.0,3008680.41,1092105.46,-9380.94,-9682.85,-9827.53,-9859.62,-9975.39,-10011.77,-10149.37,11553.29,128.98440851728304,11553.29
11581.0,3008680.41,1092105.48,-9381.94,-9682.84,-9827.52,-9859.61,-9975.38,-10011.76,-10149.35,11554.3,134.15143971901395,11554.3
11582.0,3008680.42,1092105.5,-9382.94,-9682.83,-9827.51,-9859.6,-9975.37,-10011.75,-10149.34,11555.31,,11555.31
11583.0,3008680.43,1092105.51,-9383.94,-9682.82,-9827.5,-9859.59,-9975.35,-10011.74,-10149.33,11556.33,,11556.33
11584.0,3008680.43,1092105.53,-9384.94,-9682.81,-9827.49,-9859.58,-9975.34,-10011.73,-10149.32,11557.34,,11557.34
11585.0,3008680.44,1092105.55,-9385.94,-9682.79,-9827.47,-9859.56,-9975.33,-10011.71,-10149.31,11558.35,130.3048720466143,11558.35
11586.0,3008680.45,1092105.57,-9386.94,-9682.78,-9827.46,-9859.55,-9975.32,-10011.7,-10149.3,11559.36,,11559.36
11587.0,3008680.45,1092105.58,-9387.94,-9682.77,-9827.45,-9859.54,-9975.31,-10011.69,-10149.29,11560.37,,11560.37
11588.0,3008680.46,1092105.6,-9388.94,-9682.76,-9827.44,-9859.53,-9975.3,-10011.68,-10149.28,11561.38,,11561.38
11589.0,3008680.47,1092105.62,-9389.94,-9682.75,-9827.43,-9859.52,-9975.29,-10011.67,-10149.27,11562.39,,11562.39
11590.0,3008680.47,1092105.64,-9390.94,-9682.74,-9827.42,-9859.51,-9975.28,-10011.66,-10149.25,11563.4,109.27314134030954,11563.4
11591.0,3008680.48,1092105.65,-9391.94,-9682.73,-9827.41,-9859.5,-9975.27,-10011.65,-10149.24,11564.41,,11564.41
11592.0,3008680.48,1092105.67,-9392.94,-9682.72,-9827.4,-9859.49,-9975.25,-10011.64,-10149.23,11565.42,,11565.42
11593.0,3008680.49,1092105.69,-9393.94,-9682.71,-9827.39,-9859.48,-9975.24,-10011.63,-10149.22,11566.43,,11566.43
