MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11621.0,3012978.88,1093752.02,-9406.72,-9806.65,-9951.33,-9983.42,-10099.19,-10135.57,-10273.17,11455.27,94.65454938381254,11455.27
11622.0,3012978.87,1093752.03,-9407.72,-9806.69,-9951.37,-9983.46,-10099.23,-10135.61,-10273.2,11456.23,,11456.23
11623.0,3012978.86,1093752.04,-9408.72,-9806.73,-9951.41,-9983.5,-10099.26,-10135.65,-10273.24,11457.19,,11457.19
11624.0,3012978.84,1093752.05,-9409.72,-9806.77,-9951.45,-9983.54,-10099.3,-10135.69,-10273.28,11458.15,96.78008417632093,11458.15
11625.0,3012978.83,1093752.06,-9410.72,-9806.8,-9951.48,-9983.57,-10099.34,-10135.72,-10273.32,11459.11,,11459.11
11626.0,3012978.82,1093752.07,-9411.72,-9806.84,-9951.52,-9983.61,-10099.38,-10135.76,-10273.36,11460.070000000002,88.26819484668881,11460.070000000002
11627.0,3012978.81,1093752.08,-9412.72,-9806.88,-9951.56,-9983.65,-10099.42,-10135.8,-10273.4,11461.04,,11461.04
11628.0,3012978.8,1093752.09,-9413.72,-9806.92,-9951.6,-9983.69,-10099.46,-10135.84,-10273.43,11462.0,,11462.0
11629.0,3012978.79,1093752.1,-9414.72,-9806.96,-9951.64,-9983.73,-10099.49,-10135.88,-10273.47,11462.96,96.78008417632093,11462.96
11630.0,3012978.77,1093752.11,-9415.72,-9807.0,-9951.68,-9983.77,-10099.53,-10135.92,-10273.51,11463.92,,11463.92
11631.0,3012978.76,1093752.12,-9416.72,-9807.04,-9951.72,-9983.81,-10099.57,-10135.96,-10273.55,11464.88,103.15668855384595,11464.88
11632.0,3012978.75,1093752.13,-9417.72,-9807.08,-9951.76,-9983.85,-10099.61,-10136.0,-10273.59,11465.84,,11465.84
11633.0,3012978.74,1093752.14,-9418.72,-9807.11,-9951.79,-9983.88,-10099.65,-10136.04,-10273.63,11466.8,96.78008417632093,11466.8
11634.0,3012978.73,1093752.15,-9419.72,-9807.15,-9951.83,-9983.92,-10099.69,-10136.07,-10273.67,11467.76,,11467.76
11635.0,3012978.71,1093752.16,-9420.72,-9807.19,-9951.87,-9983.96,-10099.73,-10136.11,-10273.71,11468.72,,11468.72
11636.0,3012978.7,1093752.17,-9421.72,-9807.23,-9951.91,-9984.0,-10099.77,-10136.15,-10273.75,11469.68,,11469.68
11637.0,3012978.69,1093752.18,-9422.72,-9807.27,-9951.95,-9984.04,-10099.81,-10136.19,-10273.79,11470.64,94.65454938381254,11470.64
11638.0,3012978.68,1093752.19,-9423.71,-9807.31,-9951.99,-9984.08,-10099.85,-10136.23,-10273.83,11471.6,,11471.6
11639.0,3012978.66,1093752.2,-9424.71,-9807.35,-9952.03,-9984.12,-10099.89,-10136.27,-10273.87,11472.56,107.40775813886268,11472.56
11640.0,3012978.65,1093752.21,-9425.71,-9807.39,-9952.07,-9984.16,-10099.93,-10136.31,-10273.91,11473.52,,11473.52
11641.0,3012978.64,1093752.22,-9426.71,-9807.43,-9952.11,-9984.2,-10099.97,-10136.35,-10273.95,11474.48,101.03115376133762,11474.48
11642.0,3012978.63,1093752.23,-9427.71,-9807.47,-9952.15,-9984.24,-10100.01,-10136.39,-10273.99,11475.44,,11475.44
11643.0,3012978.61,1093752.24,-9428.71,-9807.51,-9952.19,-9984.28,-10100.05,-10136.43,-10274.03,11476.4,,11476.4
11644.0,3012978.6,1093752.25,-9429.71,-9807.55,-9952.23,-9984.32,-10100.09,-10136.47,-10274.07,11477.36,,11477.36
11645.0,3012978.59,1093752.26,-9430.71,-9807.59,-9952.27,-9984.36,-10100.13,-10136.51,-10274.11,11478.320000000002,,11478.320000000002
11646.0,3012978.57,1093752.27,-9431.71,-9807.63,-9952.31,-9984.4,-10100.17,-10136.56,-10274.15,11479.28,,11479.28
11647.0,3012978.56,1093752.28,-9432.71,-9807.68,-9952.36,-9984.45,-10100.21,-10136.6,-10274.19,11480.240000000002,,11480.240000000002
11648.0,3012978.55,1093752.28,-9433.71,-9807.72,-9952.4,-9984.49,-10100.25,-10136.64,-10274.23,11481.2,,11481.2
11649.0,3012978.54,1093752.29,-9434.71,-9807.76,-9952.44,-9984.53,-10100.29,-10136.68,-10274.27,11482.16,,11482.16
11650.0,3012978.52,1093752.3,-9435.71,-9807.8,-9952.48,-9984.57,-10100.33,-10136.72,-10274.31,11483.12,,11483.12
11651.0,3012978.51,1093752.31,-9436.71,-9807.84,-9952.52,-9984.61,-10100.38,-10136.76,-10274.35,11484.070000000002,,11484.070000000002
11652.0,3012978.5,1093752.32,-9437.71,-9807.88,-9952.56,-9984.65,-10100.42,-10136.8,-10274.4,11485.03,109.51379261217372,11485.03
11653.0,3012978.48,1093752.33,-9438.71,-9807.92,-9952.6,-9984.69,-10100.46,-10136.84,-10274.44,11485.990000000002,,11485.990000000002
11654.0,3012978.47,1093752.34,-9439.71,-9807.96,-9952.64,-9984.73,-10100.5,-10136.88,-10274.48,11486.95,120.1219662555182,11486.95
11655.0,3012978.46,1093752.35,-9440.71,-9808.0,-9952.68,-9984.77,-10100.54,-10136.92,-10274.52,11487.91,,11487.91
11656.0,3012978.44,1093752.36,-9441.71,-9808.05,-9952.73,-9984.82,-10100.58,-10136.97,-10274.56,11488.87,,11488.87
11657.0,3012978.43,1093752.37,-9442.71,-9808.09,-9952.77,-9984.86,-10100.62,-10137.01,-10274.6,11489.820000000002,124.3730358405349,11489.820000000002
11658.0,3012978.41,1093752.38,-9443.71,-9808.13,-9952.81,-9984.9,-10100.67,-10137.05,-10274.64,11490.78,,11490.78
11659.0,3012978.4,1093752.39,-9444.71,-9808.17,-9952.85,-9984.94,-10100.71,-10137.09,-10274.69,11491.740000000002,,11491.740000000002
11660.0,3012978.39,1093752.4,-9445.71,-9808.21,-9952.89,-9984.98,-10100.75,-10137.13,-10274.73,11492.7,,11492.7
11661.0,3012978.37,1093752.4,-9446.71,-9808.25,-9952.93,-9985.02,-10100.79,-10137.17,-10274.77,11493.66,113.7453618779931,11493.66
11662.0,3012978.36,1093752.41,-9447.71,-9808.3,-9952.98,-9985.07,-10100.83,-10137.22,-10274.81,11494.61,,11494.61
11663.0,3012978.35,1093752.42,-9448.71,-9808.34,-9953.02,-9985.11,-10100.88,-10137.26,-10274.85,11495.570000000002,124.3730358405349,11495.570000000002
11664.0,3012978.33,1093752.43,-9449.71,-9808.38,-9953.06,-9985.15,-10100.92,-10137.3,-10274.9,11496.53,,11496.53
11665.0,3012978.32,1093752.44,-9450.71,-9808.42,-9953.1,-9985.19,-10100.96,-10137.35,-10274.94,11497.490000000002,,11497.490000000002
11666.0,3012978.3,1093752.45,-9451.71,-9808.47,-9953.15,-9985.24,-10101.0,-10137.39,-10274.98,11498.44,122.24750104802656,11498.44
11667.0,3012978.29,1093752.46,-9452.71,-9808.51,-9953.19,-9985.28,-10101.05,-10137.43,-10275.02,11499.4,,11499.4
11668.0,3012978.28,1093752.47,-9453.71,-9808.55,-9953.23,-9985.32,-10101.09,-10137.47,-10275.07,11500.36,,11500.36
