MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10758.0,2985372.95,1106358.01,-8499.17,-8630.08,-8761.6,-8845.74,-8963.28,-9007.8,-9117.98,10592.89,235.9306601094265,10592.89
10759.0,2985372.8,1106358.25,-8500.13,-8629.91,-8761.43,-8845.57,-8963.11,-9007.63,-9117.81,10594.01,,10594.01
10760.0,2985372.66,1106358.49,-8501.09,-8629.74,-8761.26,-8845.41,-8962.94,-9007.46,-9117.64,10595.14,149.92711623422463,10595.14
10761.0,2985372.51,1106358.74,-8502.05,-8629.57,-8761.09,-8845.24,-8962.77,-9007.29,-9117.47,10596.27,141.35914082354714,10596.27
10762.0,2985372.36,1106358.98,-8503.01,-8629.4,-8760.92,-8845.07,-8962.6,-9007.12,-9117.3,10597.39,144.23588838149263,10597.39
10763.0,2985372.21,1106359.23,-8503.97,-8629.23,-8760.75,-8844.9,-8962.43,-9006.96,-9117.14,10598.52,,10598.52
10764.0,2985372.06,1106359.48,-8504.92,-8629.06,-8760.58,-8844.73,-8962.27,-9006.79,-9116.97,10599.64,,10599.64
10765.0,2985371.91,1106359.73,-8505.88,-8628.89,-8760.42,-8844.56,-8962.1,-9006.62,-9116.8,10600.77,135.61809916028793,10600.77
10766.0,2985371.75,1106359.98,-8506.83,-8628.73,-8760.25,-8844.39,-8961.93,-9006.45,-9116.63,10601.9,152.80386379217015,10601.9
10767.0,2985371.6,1106360.23,-8507.79,-8628.56,-8760.08,-8844.22,-8961.76,-9006.28,-9116.46,10603.02,,10603.02
10768.0,2985371.45,1106360.49,-8508.74,-8628.39,-8759.91,-8844.06,-8961.59,-9006.11,-9116.29,10604.15,141.35914082354714,10604.15
10769.0,2985371.29,1106360.75,-8509.7,-8628.21,-8759.73,-8843.88,-8961.41,-9005.93,-9116.11,10605.28,138.49484671823342,10605.28
10770.0,2985371.14,1106361.0,-8510.65,-8628.03,-8759.55,-8843.7,-8961.23,-9005.75,-9115.93,10606.41,149.92711623422463,10606.41
10771.0,2985370.98,1106361.26,-8511.6,-8627.85,-8759.37,-8843.52,-8961.05,-9005.57,-9115.75,10607.54,,10607.54
10772.0,2985370.83,1106361.53,-8512.56,-8627.67,-8759.19,-8843.34,-8960.87,-9005.4,-9115.58,10608.67,132.74135160234243,10608.67
10773.0,2985370.67,1106361.79,-8513.51,-8627.49,-8759.02,-8843.16,-8960.7,-9005.22,-9115.4,10609.8,,10609.8
10774.0,2985370.51,1106362.05,-8514.46,-8627.31,-8758.84,-8842.98,-8960.52,-9005.04,-9115.22,10610.93,152.80386379217015,10610.93
10775.0,2985370.35,1106362.32,-8515.41,-8627.14,-8758.66,-8842.8,-8960.34,-9004.86,-9115.04,10612.06,,10612.06
10776.0,2985370.19,1106362.59,-8516.36,-8626.96,-8758.48,-8842.62,-8960.16,-9004.68,-9114.86,10613.19,,10613.19
10777.0,2985370.03,1106362.86,-8517.31,-8626.78,-8758.3,-8842.45,-8959.98,-9004.5,-9114.68,10614.320000000002,147.0503686762791,10614.320000000002
10778.0,2985369.87,1106363.13,-8518.26,-8626.6,-8758.12,-8842.27,-8959.8,-9004.32,-9114.5,10615.45,149.92711623422463,10615.45
10779.0,2985369.71,1106363.4,-8519.21,-8626.41,-8757.93,-8842.08,-8959.61,-9004.13,-9114.31,10616.59,,10616.59
10780.0,2985369.55,1106363.68,-8520.16,-8626.22,-8757.74,-8841.89,-8959.42,-9003.94,-9114.13,10617.72,141.35914082354714,10617.72
10781.0,2985369.39,1106363.95,-8521.1,-8626.03,-8757.55,-8841.7,-8959.23,-9003.76,-9113.94,10618.86,161.42165301337485,10618.86
10782.0,2985369.22,1106364.23,-8522.05,-8625.84,-8757.37,-8841.51,-8959.05,-9003.57,-9113.75,10619.990000000002,138.49484671823342,10619.990000000002
10783.0,2985369.06,1106364.51,-8523.0,-8625.66,-8757.18,-8841.32,-8958.86,-9003.38,-9113.56,10621.13,,10621.13
10784.0,2985368.89,1106364.79,-8523.94,-8625.47,-8756.99,-8841.13,-8958.67,-9003.19,-9113.37,10622.26,,10622.26
10785.0,2985368.72,1106365.07,-8524.89,-8625.28,-8756.8,-8840.95,-8958.48,-9003.0,-9113.18,10623.39,184.33600585588445,10623.39
10786.0,2985368.56,1106365.35,-8525.83,-8625.09,-8756.61,-8840.76,-8958.29,-9002.81,-9112.99,10624.53,,10624.53
10787.0,2985368.38,1106365.63,-8526.78,-8624.9,-8756.42,-8840.57,-8958.1,-9002.62,-9112.8,10625.66,,10625.66
10788.0,2985368.21,1106365.91,-8527.72,-8624.71,-8756.23,-8840.38,-8957.91,-9002.44,-9112.62,10626.8,,10626.8
10789.0,2985368.04,1106366.2,-8528.66,-8624.51,-8756.04,-8840.18,-8957.72,-9002.24,-9112.42,10627.94,158.54490545542933,10627.94
10790.0,2985367.86,1106366.48,-8529.6,-8624.32,-8755.84,-8839.98,-8957.52,-9002.04,-9112.22,10629.08,175.78048389783874,10629.08
10791.0,2985367.68,1106366.77,-8530.55,-8624.12,-8755.64,-8839.78,-8957.32,-9001.84,-9112.02,10630.21,147.0503686762791,10630.21
10792.0,2985367.5,1106367.05,-8531.49,-8623.92,-8755.44,-8839.59,-8957.12,-9001.64,-9111.82,10631.35,,10631.35
10793.0,2985367.32,1106367.34,-8532.43,-8623.72,-8755.24,-8839.39,-8956.92,-9001.44,-9111.62,10632.490000000002,132.74135160234243,10632.490000000002
10794.0,2985367.14,1106367.63,-8533.37,-8623.52,-8755.04,-8839.19,-8956.73,-9001.25,-9111.43,10633.63,144.21098147622902,10633.63
10795.0,2985366.96,1106367.91,-8534.31,-8623.32,-8754.85,-8838.99,-8956.53,-9001.05,-9111.23,10634.77,,10634.77
10796.0,2985366.77,1106368.2,-8535.25,-8623.13,-8754.65,-8838.79,-8956.33,-9000.85,-9111.03,10635.91,170.03944223457952,10635.91
10797.0,2985366.58,1106368.49,-8536.19,-8622.93,-8754.45,-8838.6,-8956.13,-9000.65,-9110.83,10637.05,159.9770525080862,10637.05
10798.0,2985366.4,1106368.78,-8537.12,-8622.73,-8754.25,-8838.4,-8955.93,-9000.45,-9110.63,10638.19,148.482515728936,10638.19
10799.0,2985366.21,1106369.07,-8538.06,-8622.52,-8754.05,-8838.19,-8955.73,-9000.25,-9110.43,10639.33,,10639.33
10800.0,2985366.01,1106369.37,-8539.0,-8622.32,-8753.84,-8837.98,-8955.52,-9000.04,-9110.22,10640.47,170.03944223457952,10640.47
10801.0,2985365.82,1106369.66,-8539.94,-8622.11,-8753.63,-8837.78,-8955.31,-8999.83,-9110.01,10641.61,167.16269467663403,10641.61
10802.0,2985365.63,1106369.95,-8540.87,-8621.9,-8753.42,-8837.57,-8955.1,-8999.62,-9109.8,10642.76,187.21275341382997,10642.76
10803.0,2985365.43,1106370.25,-8541.81,-8621.69,-8753.22,-8837.36,-8954.9,-8999.42,-9109.6,10643.9,,10643.9
10804.0,2985365.23,1106370.54,-8542.74,-8621.49,-8753.01,-8837.15,-8954.69,-8999.21,-9109.39,10645.04,149.92711623422463,10645.04
10805.0,2985365.03,1106370.84,-8543.68,-8621.28,-8752.8,-8836.95,-8954.48,-8999.0,-9109.18,10646.18,137.05024621294476,10646.18
10806.0,2985364.83,1106371.13,-8544.61,-8621.07,-8752.59,-8836.74,-8954.27,-8998.79,-9108.98,10647.320000000002,,10647.320000000002
10807.0,2985364.63,1106371.43,-8545.54,-8620.86,-8752.39,-8836.53,-8954.07,-8998.59,-9108.77,10648.47,127.00030993908322,10648.47
10808.0,2985364.42,1106371.73,-8546.47,-8620.66,-8752.18,-8836.32,-8953.86,-8998.38,-9108.56,10649.61,138.49484671823342,10649.61
10809.0,2985364.21,1106372.03,-8547.41,-8620.44,-8751.96,-8836.11,-8953.64,-8998.16,-9108.34,10650.75,170.03944223457952,10650.75
