MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11621.0,2987448.82,1065130.66,-9432.08,-9589.55,-9757.55,-9780.55,-9858.55,-9893.55,-10035.55,11575.98,94.79934407258952,11575.98
11622.0,2987448.84,1065130.7,-9433.08,-9589.55,-9757.55,-9780.55,-9858.55,-9893.55,-10035.55,11576.98,97.65908675601445,11576.98
11623.0,2987448.86,1065130.73,-9434.07,-9589.55,-9757.55,-9780.55,-9858.55,-9893.55,-10035.55,11577.98,96.53320380978415,11577.98
11624.0,2987448.89,1065130.77,-9435.07,-9589.55,-9757.55,-9780.55,-9858.55,-9893.55,-10035.55,11578.98,94.79934407258952,11578.98
11625.0,2987448.91,1065130.8,-9436.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11579.98,106.28335012413837,11579.98
11626.0,2987448.93,1065130.84,-9437.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11580.98,108.30993942735287,11580.98
11627.0,2987448.95,1065130.87,-9438.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11581.98,,11581.98
11628.0,2987448.97,1065130.91,-9439.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11582.98,,11582.98
11629.0,2987449.0,1065130.94,-9440.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11583.98,,11583.98
11630.0,2987449.02,1065130.98,-9441.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11584.98,94.79934407258952,11584.98
11631.0,2987449.04,1065131.02,-9442.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11585.98,,11585.98
11632.0,2987449.06,1065131.05,-9443.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11586.98,,11586.98
11633.0,2987449.08,1065131.09,-9444.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11587.98,,11587.98
11634.0,2987449.1,1065131.13,-9445.07,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11588.98,95.99277999559362,11588.98
11635.0,2987449.12,1065131.17,-9446.06,-9589.54,-9757.54,-9780.54,-9858.54,-9893.54,-10035.54,11589.98,99.30287585751064,11589.98
11636.0,2987449.14,1065131.21,-9447.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11590.98,,11590.98
11637.0,2987449.16,1065131.24,-9448.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11591.98,,11591.98
11638.0,2987449.18,1065131.28,-9449.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11592.98,97.67034558547672,11592.98
11639.0,2987449.2,1065131.32,-9450.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11593.98,94.79934407258952,11593.98
11640.0,2987449.22,1065131.36,-9451.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11594.98,,11594.98
11641.0,2987449.24,1065131.4,-9452.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11595.98,91.26407162142644,11595.98
11642.0,2987449.25,1065131.44,-9453.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11596.98,96.00403882505591,11596.98
11643.0,2987449.27,1065131.49,-9454.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11597.98,90.2958122876684,11597.98
11644.0,2987449.29,1065131.53,-9455.06,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11598.98,103.80640764243176,11598.98
11645.0,2987449.31,1065131.57,-9456.05,-9589.53,-9757.53,-9780.53,-9858.53,-9893.53,-10035.53,11599.98,,11599.98
11646.0,2987449.33,1065131.61,-9457.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11600.98,94.66423811904188,11600.98
11647.0,2987449.35,1065131.65,-9458.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11601.98,92.82904891668652,11601.98
11648.0,2987449.36,1065131.7,-9459.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11602.98,,11602.98
11649.0,2987449.38,1065131.74,-9460.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11603.98,,11603.98
11650.0,2987449.4,1065131.78,-9461.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11604.98,119.55751006019337,11604.98
11651.0,2987449.42,1065131.83,-9462.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11605.98,117.13686172579828,11605.98
11652.0,2987449.43,1065131.87,-9463.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11606.98,103.80640764243176,11606.98
11653.0,2987449.45,1065131.92,-9464.05,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11607.98,,11607.98
11654.0,2987449.47,1065131.96,-9465.04,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11608.98,97.36635718999456,11608.98
11655.0,2987449.48,1065132.01,-9466.04,-9589.52,-9757.52,-9780.52,-9858.52,-9893.52,-10035.52,11609.98,90.2958122876684,11609.98
11656.0,2987449.5,1065132.05,-9467.04,-9589.51,-9757.51,-9780.51,-9858.51,-9893.51,-10035.51,11610.98,99.30287585751064,11610.98
11657.0,2987449.51,1065132.1,-9468.04,-9589.51,-9757.51,-9780.51,-9858.51,-9893.51,-10035.51,11611.98,90.2958122876684,11611.98
11658.0,2987449.53,1065132.14,-9469.04,-9589.51,-9757.51,-9780.51,-9858.51,-9893.51,-10035.51,11612.98,,11612.98
11659.0,2987449.55,1065132.19,-9470.04,-9589.51,-9757.51,-9780.51,-9858.51,-9893.51,-10035.51,11613.98,,11613.98
