MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11966.0,3011773.22,1085258.47,-9827.03,-9903.74,-10048.42,-10080.51,-10196.28,-10232.66,-10370.26,11778.490000000002,118.56500095775183,11778.490000000002
11967.0,3011773.08,1085258.56,-9828.02,-9903.62,-10048.3,-10080.39,-10196.16,-10232.54,-10370.14,11779.6,115.72733704305018,11779.6
11968.0,3011772.94,1085258.65,-9829.01,-9903.5,-10048.18,-10080.27,-10196.04,-10232.42,-10370.02,11780.7,118.71922182268128,11780.7
11969.0,3011772.8,1085258.74,-9829.99,-9903.37,-10048.05,-10080.14,-10195.9,-10232.29,-10369.88,11781.820000000002,122.56446205492192,11781.820000000002
11970.0,3011772.65,1085258.83,-9830.98,-9903.23,-10047.91,-10080.0,-10195.77,-10232.15,-10369.74,11782.94,112.13913158569191,11782.94
11971.0,3011772.51,1085258.92,-9831.96,-9903.09,-10047.77,-10079.86,-10195.63,-10232.01,-10369.61,11784.06,103.47191897665752,11784.06
11972.0,3011772.36,1085259.02,-9832.95,-9902.96,-10047.64,-10079.73,-10195.49,-10231.88,-10369.47,11785.19,127.66403198858868,11785.19
11973.0,3011772.21,1085259.12,-9833.93,-9902.82,-10047.5,-10079.59,-10195.36,-10231.74,-10369.34,11786.31,189.845884728138,11786.31
11974.0,3011772.06,1085259.22,-9834.91,-9902.68,-10047.36,-10079.45,-10195.22,-10231.6,-10369.2,11787.43,140.15592204787313,11787.43
11975.0,3011771.91,1085259.32,-9835.9,-9902.55,-10047.23,-10079.32,-10195.08,-10231.47,-10369.06,11788.55,116.36478328475852,11788.55
11976.0,3011771.76,1085259.42,-9836.88,-9902.41,-10047.09,-10079.18,-10194.95,-10231.33,-10368.93,11789.67,119.86045622315912,11789.67
11977.0,3011771.61,1085259.52,-9837.86,-9902.27,-10046.95,-10079.04,-10194.81,-10231.2,-10368.79,11790.79,136.12561677771717,11790.79
11978.0,3011771.46,1085259.63,-9838.85,-9902.14,-10046.82,-10078.91,-10194.68,-10231.06,-10368.65,11791.91,125.1245284127506,11791.91
11979.0,3011771.3,1085259.74,-9839.83,-9901.98,-10046.66,-10078.75,-10194.52,-10230.9,-10368.5,11793.04,118.1948708819212,11793.04
11980.0,3011771.14,1085259.85,-9840.81,-9901.83,-10046.51,-10078.6,-10194.37,-10230.75,-10368.34,11794.18,117.4134851662787,11794.18
11981.0,3011770.98,1085259.96,-9841.79,-9901.67,-10046.35,-10078.44,-10194.21,-10230.6,-10368.19,11795.31,117.87614776106702,11795.31
11982.0,3011770.82,1085260.08,-9842.77,-9901.52,-10046.2,-10078.29,-10194.06,-10230.44,-10368.04,11796.44,116.15915546485262,11796.44
11983.0,3011770.66,1085260.19,-9843.75,-9901.37,-10046.05,-10078.14,-10193.9,-10230.29,-10367.88,11797.58,116.9611039624857,11797.58
11984.0,3011770.5,1085260.31,-9844.73,-9901.21,-10045.89,-10077.98,-10193.75,-10230.13,-10367.73,11798.71,113.05417538427326,11798.71
11985.0,3011770.33,1085260.43,-9845.71,-9901.06,-10045.74,-10077.83,-10193.59,-10229.98,-10367.57,11799.85,117.53686185822224,11799.85
11986.0,3011770.16,1085260.56,-9846.69,-9900.9,-10045.58,-10077.67,-10193.44,-10229.82,-10367.42,11800.98,119.51088892931908,11800.98
11987.0,3011770.0,1085260.68,-9847.66,-9900.75,-10045.43,-10077.52,-10193.28,-10229.67,-10367.26,11802.11,110.9978971852141,11802.11
