MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10367.0,2906533.83,1036828.64,-8270.58,-8652.91,-8876.35,-8942.73,-8992.25,-9030.28,-9156.6,10380.17,107.63457745488336,10380.17
10368.0,2906533.82,1036828.65,-8271.58,-8652.91,-8876.35,-8942.73,-8992.25,-9030.29,-9156.6,10381.16,113.14187265826465,10381.16
10369.0,2906533.81,1036828.65,-8272.58,-8652.92,-8876.36,-8942.74,-8992.25,-9030.29,-9156.61,10382.16,,10382.16
10370.0,2906533.8,1036828.66,-8273.58,-8652.92,-8876.36,-8942.74,-8992.26,-9030.29,-9156.61,10383.15,,10383.15
10371.0,2906533.79,1036828.66,-8274.58,-8652.93,-8876.37,-8942.75,-8992.26,-9030.3,-9156.62,10384.15,102.2153989747562,10384.15
10372.0,2906533.78,1036828.67,-8275.58,-8652.93,-8876.37,-8942.75,-8992.27,-9030.3,-9156.62,10385.14,104.94701739563332,10385.14
10373.0,2906533.77,1036828.67,-8276.58,-8652.94,-8876.38,-8942.76,-8992.27,-9030.31,-9156.63,10386.14,105.2113675653956,10386.14
10374.0,2906533.75,1036828.68,-8277.58,-8652.94,-8876.38,-8942.76,-8992.28,-9030.31,-9156.63,10387.14,105.563834458412,10387.14
10375.0,2906533.74,1036828.68,-8278.58,-8652.94,-8876.38,-8942.76,-8992.28,-9030.32,-9156.63,10388.13,,10388.13
10376.0,2906533.73,1036828.69,-8279.58,-8652.95,-8876.39,-8942.77,-8992.29,-9030.32,-9156.64,10389.13,117.28335865120732,10389.13
10377.0,2906533.72,1036828.69,-8280.58,-8652.95,-8876.39,-8942.77,-8992.29,-9030.33,-9156.64,10390.12,,10390.12
10378.0,2906533.71,1036828.7,-8281.57,-8652.96,-8876.4,-8942.78,-8992.29,-9030.33,-9156.65,10391.12,126.18314769987144,10391.12
10379.0,2906533.7,1036828.71,-8282.57,-8652.96,-8876.4,-8942.78,-8992.3,-9030.33,-9156.65,10392.11,,10392.11
10380.0,2906533.69,1036828.71,-8283.57,-8652.97,-8876.41,-8942.79,-8992.3,-9030.34,-9156.66,10393.11,121.95354498367465,10393.11
10381.0,2906533.68,1036828.72,-8284.57,-8652.97,-8876.41,-8942.79,-8992.31,-9030.34,-9156.66,10394.1,121.68919481391234,10394.1
10382.0,2906533.66,1036828.72,-8285.57,-8652.98,-8876.42,-8942.8,-8992.31,-9030.35,-9156.67,10395.1,121.42484464415004,10395.1
