MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11705.0,3015687.26,1094777.64,-9564.5,-9878.05,-9996.88,-10071.37,-10169.3,-10217.09,-10362.95,11804.33,121.84280540809888,11804.33
11706.0,3015687.24,1094777.63,-9565.5,-9877.86,-9996.68,-10071.18,-10169.11,-10216.89,-10362.75,11805.52,123.45230845873988,11805.52
11707.0,3015687.23,1094777.63,-9566.5,-9877.66,-9996.49,-10070.98,-10168.91,-10216.7,-10362.56,11806.72,,11806.72
11708.0,3015687.22,1094777.62,-9567.5,-9877.47,-9996.29,-10070.79,-10168.72,-10216.5,-10362.36,11807.91,,11807.91
11709.0,3015687.21,1094777.62,-9568.5,-9877.27,-9996.1,-10070.59,-10168.52,-10216.31,-10362.17,11809.11,119.70250879820397,11809.11
11710.0,3015687.2,1094777.61,-9569.5,-9877.08,-9995.9,-10070.4,-10168.33,-10216.11,-10361.97,11810.3,112.3227660872862,11810.3
11711.0,3015687.19,1094777.61,-9570.5,-9876.88,-9995.71,-10070.2,-10168.13,-10215.92,-10361.78,11811.5,,11811.5
11712.0,3015687.18,1094777.61,-9571.5,-9876.69,-9995.51,-10070.01,-10167.94,-10215.72,-10361.58,11812.69,,11812.69
11713.0,3015687.16,1094777.6,-9572.5,-9876.49,-9995.32,-10069.81,-10167.74,-10215.53,-10361.39,11813.89,114.03500337520217,11813.89
11714.0,3015687.15,1094777.6,-9573.5,-9876.29,-9995.12,-10069.62,-10167.55,-10215.33,-10361.19,11815.08,111.66355473143858,11815.08
11715.0,3015687.14,1094777.59,-9574.5,-9876.1,-9994.93,-10069.42,-10167.35,-10215.13,-10361.0,11816.28,102.9054610037485,11816.28
11716.0,3015687.13,1094777.59,-9575.5,-9875.88,-9994.71,-10069.2,-10167.13,-10214.92,-10360.78,11817.490000000002,,11817.490000000002
11717.0,3015687.11,1094777.58,-9576.5,-9875.67,-9994.49,-10068.99,-10166.92,-10214.7,-10360.56,11818.71,116.60335930707608,11818.71
11718.0,3015687.1,1094777.58,-9577.5,-9875.45,-9994.28,-10068.77,-10166.7,-10214.48,-10360.35,11819.93,117.69919117134228,11819.93
11719.0,3015687.09,1094777.57,-9578.5,-9875.23,-9994.06,-10068.55,-10166.48,-10214.27,-10360.13,11821.14,123.45230845873988,11821.14
11720.0,3015687.08,1094777.57,-9579.5,-9875.02,-9993.84,-10068.34,-10166.27,-10214.05,-10359.91,11822.36,116.5519921884386,11822.36
11721.0,3015687.06,1094777.56,-9580.5,-9874.8,-9993.63,-10068.12,-10166.05,-10213.83,-10359.7,11823.58,112.3227660872862,11823.58
11722.0,3015687.05,1094777.56,-9581.5,-9874.58,-9993.41,-10067.9,-10165.83,-10213.62,-10359.48,11824.79,,11824.79
11723.0,3015687.04,1094777.55,-9582.5,-9874.37,-9993.19,-10067.69,-10165.62,-10213.4,-10359.26,11826.01,111.12419998574504,11826.01
11724.0,3015687.02,1094777.55,-9583.5,-9874.15,-9992.98,-10067.47,-10165.4,-10213.18,-10359.05,11827.23,104.61769829166444,11827.23
11725.0,3015687.01,1094777.55,-9584.5,-9873.93,-9992.76,-10067.25,-10165.18,-10212.97,-10358.83,11828.44,,11828.44
11726.0,3015687.0,1094777.54,-9585.5,-9873.71,-9992.53,-10067.03,-10164.96,-10212.74,-10358.6,11829.67,,11829.67
11727.0,3015686.98,1094777.54,-9586.5,-9873.48,-9992.3,-10066.8,-10164.73,-10212.51,-10358.38,11830.9,106.80936202019689,11830.9
11728.0,3015686.97,1094777.53,-9587.5,-9873.25,-9992.08,-10066.57,-10164.5,-10212.29,-10358.15,11832.13,119.17171523895,11832.13
11729.0,3015686.96,1094777.53,-9588.5,-9873.02,-9991.85,-10066.34,-10164.27,-10212.06,-10357.92,11833.35,114.68565354461025,11833.35
11730.0,3015686.94,1094777.52,-9589.5,-9872.8,-9991.62,-10066.12,-10164.05,-10211.83,-10357.69,11834.58,123.45230845873988,11834.58
11731.0,3015686.93,1094777.52,-9590.5,-9872.57,-9991.39,-10065.89,-10163.82,-10211.6,-10357.47,11835.81,121.79999947590098,11835.81
11732.0,3015686.91,1094777.52,-9591.5,-9872.34,-9991.17,-10065.66,-10163.59,-10211.38,-10357.24,11837.03,115.46472151061198,11837.03
11733.0,3015686.9,1094777.51,-9592.5,-9872.11,-9990.94,-10065.44,-10163.36,-10211.15,-10357.01,11838.26,111.78341134159268,11838.26
11734.0,3015686.89,1094777.51,-9593.5,-9871.89,-9990.71,-10065.21,-10163.14,-10210.92,-10356.78,11839.490000000002,112.3227660872862,11839.490000000002
11735.0,3015686.87,1094777.5,-9594.5,-9871.66,-9990.49,-10064.98,-10162.91,-10210.69,-10356.56,11840.72,,11840.72
11736.0,3015686.86,1094777.5,-9595.5,-9871.42,-9990.25,-10064.75,-10162.67,-10210.46,-10356.32,11841.95,,11841.95
11737.0,3015686.84,1094777.5,-9596.5,-9871.19,-9990.01,-10064.51,-10162.44,-10210.22,-10356.09,11843.19,,11843.19
11738.0,3015686.83,1094777.49,-9597.5,-9870.95,-9989.78,-10064.27,-10162.2,-10209.99,-10355.85,11844.42,,11844.42
11739.0,3015686.82,1094777.49,-9598.5,-9870.72,-9989.54,-10064.04,-10161.97,-10209.75,-10355.61,11845.66,,11845.66
