MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10457.0,2912731.02,1041687.95,-8379.7,-8590.86,-8802.93,-8857.07,-8909.06,-8954.89,-9080.86,10549.51,,10549.51
10458.0,2912731.03,1041687.92,-8380.7,-8590.94,-8803.02,-8857.16,-8909.14,-8954.97,-9080.95,10550.43,,10550.43
10459.0,2912731.04,1041687.89,-8381.69,-8591.03,-8803.1,-8857.24,-8909.22,-8955.06,-9081.03,10551.34,,10551.34
10460.0,2912731.05,1041687.85,-8382.69,-8591.11,-8803.18,-8857.32,-8909.31,-8955.14,-9081.11,10552.26,181.14318544215396,10552.26
10461.0,2912731.06,1041687.82,-8383.69,-8591.2,-8803.27,-8857.41,-8909.39,-8955.23,-9081.2,10553.17,,10553.17
10462.0,2912731.07,1041687.78,-8384.69,-8591.28,-8803.35,-8857.49,-8909.47,-8955.3,-9081.28,10554.09,,10554.09
10463.0,2912731.08,1041687.75,-8385.69,-8591.36,-8803.43,-8857.57,-8909.55,-8955.38,-9081.36,10555.01,,10555.01
10464.0,2912731.09,1041687.72,-8386.69,-8591.43,-8803.51,-8857.65,-8909.63,-8955.46,-9081.44,10555.93,194.36350582060507,10555.93
10465.0,2912731.1,1041687.68,-8387.69,-8591.51,-8803.58,-8857.72,-8909.71,-8955.54,-9081.51,10556.86,,10556.86
10466.0,2912731.11,1041687.65,-8388.69,-8591.59,-8803.66,-8857.8,-8909.79,-8955.62,-9081.59,10557.78,,10557.78
10467.0,2912731.12,1041687.62,-8389.69,-8591.67,-8803.74,-8857.88,-8909.87,-8955.7,-9081.67,10558.7,,10558.7
10468.0,2912731.13,1041687.58,-8390.69,-8591.75,-8803.82,-8857.96,-8909.95,-8955.78,-9081.75,10559.62,174.53955058381607,10559.62
10469.0,2912731.14,1041687.55,-8391.69,-8591.83,-8803.9,-8858.04,-8910.02,-8955.86,-9081.83,10560.54,,10560.54
10470.0,2912731.14,1041687.52,-8392.69,-8591.91,-8803.98,-8858.12,-8910.1,-8955.94,-9081.91,10561.46,,10561.46
10471.0,2912731.15,1041687.49,-8393.69,-8591.99,-8804.06,-8858.2,-8910.18,-8956.02,-9081.99,10562.38,,10562.38
10472.0,2912731.16,1041687.45,-8394.69,-8592.06,-8804.13,-8858.27,-8910.26,-8956.09,-9082.06,10563.3,181.14318544215396,10563.3
10473.0,2912731.17,1041687.42,-8395.69,-8592.13,-8804.2,-8858.35,-8910.33,-8956.16,-9082.13,10564.23,,10564.23
10474.0,2912731.18,1041687.39,-8396.69,-8592.21,-8804.28,-8858.42,-8910.4,-8956.24,-9082.21,10565.16,,10565.16
10475.0,2912731.19,1041687.36,-8397.69,-8592.28,-8804.35,-8858.49,-8910.48,-8956.31,-9082.28,10566.08,,10566.08
10476.0,2912731.19,1041687.33,-8398.68,-8592.35,-8804.42,-8858.57,-8910.55,-8956.38,-9082.36,10567.01,,10567.01
10477.0,2912731.2,1041687.3,-8399.68,-8592.43,-8804.5,-8858.64,-8910.62,-8956.46,-9082.43,10567.93,220.791095915732,10567.93
10478.0,2912731.21,1041687.27,-8400.68,-8592.5,-8804.57,-8858.71,-8910.7,-8956.53,-9082.5,10568.86,,10568.86
10479.0,2912731.22,1041687.24,-8401.68,-8592.57,-8804.65,-8858.79,-8910.77,-8956.6,-9082.58,10569.79,,10569.79
10480.0,2912731.22,1041687.2,-8402.68,-8592.65,-8804.72,-8858.86,-8910.84,-8956.68,-9082.65,10570.71,,10570.71
10481.0,2912731.23,1041687.17,-8403.68,-8592.72,-8804.79,-8858.93,-8910.92,-8956.75,-9082.72,10571.64,181.14318544215396,10571.64
10482.0,2912731.24,1041687.14,-8404.68,-8592.79,-8804.86,-8859.0,-8910.98,-8956.82,-9082.79,10572.570000000002,,10572.570000000002
10483.0,2912731.24,1041687.11,-8405.68,-8592.86,-8804.93,-8859.07,-8911.05,-8956.89,-9082.86,10573.5,,10573.5
10484.0,2912731.25,1041687.09,-8406.68,-8592.93,-8805.0,-8859.14,-8911.12,-8956.95,-9082.93,10574.43,,10574.43
10485.0,2912731.26,1041687.06,-8407.68,-8592.99,-8805.06,-8859.2,-8911.19,-8957.02,-9082.99,10575.37,187.7468203004918,10575.37
10486.0,2912731.26,1041687.03,-8408.68,-8593.06,-8805.13,-8859.27,-8911.26,-8957.09,-9083.06,10576.3,,10576.3
10487.0,2912731.27,1041687.0,-8409.68,-8593.13,-8805.2,-8859.34,-8911.32,-8957.16,-9083.13,10577.23,,10577.23
10488.0,2912731.27,1041686.97,-8410.68,-8593.2,-8805.27,-8859.41,-8911.39,-8957.22,-9083.2,10578.16,,10578.16
10489.0,2912731.28,1041686.94,-8411.68,-8593.26,-8805.34,-8859.48,-8911.46,-8957.29,-9083.27,10579.09,,10579.09
10490.0,2912731.29,1041686.91,-8412.68,-8593.33,-8805.4,-8859.54,-8911.53,-8957.36,-9083.33,10580.02,,10580.02
10491.0,2912731.29,1041686.88,-8413.68,-8593.4,-8805.47,-8859.61,-8911.6,-8957.43,-9083.4,10580.96,,10580.96
10492.0,2912731.3,1041686.86,-8414.68,-8593.46,-8805.53,-8859.67,-8911.66,-8957.49,-9083.46,10581.89,,10581.89
