MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11524.0,2984265.98,1052928.94,-9312.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11344.78,102.78711363322184,11344.78
11525.0,2984265.97,1052928.94,-9313.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11345.78,,11345.78
11526.0,2984265.96,1052928.93,-9314.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11346.78,,11346.78
11527.0,2984265.95,1052928.93,-9315.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11347.78,,11347.78
11528.0,2984265.94,1052928.93,-9316.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11348.77,,11348.77
11529.0,2984265.93,1052928.92,-9317.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11349.77,,11349.77
11530.0,2984265.93,1052928.92,-9318.79,-9839.86,-10033.79,-10035.55,-10100.06,-10134.76,-10286.26,11350.77,,11350.77
11531.0,2984265.92,1052928.92,-9319.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11351.77,120.38669531051848,11351.77
11532.0,2984265.91,1052928.92,-9320.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11352.77,114.52016808475294,11352.77
11533.0,2984265.9,1052928.91,-9321.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11353.77,,11353.77
11534.0,2984265.89,1052928.91,-9322.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11354.77,108.6536408589874,11354.77
11535.0,2984265.88,1052928.91,-9323.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11355.77,,11355.77
11536.0,2984265.87,1052928.9,-9324.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11356.77,,11356.77
11537.0,2984265.86,1052928.9,-9325.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11357.77,118.4311862352633,11357.77
11538.0,2984265.85,1052928.9,-9326.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11358.77,,11358.77
11539.0,2984265.84,1052928.9,-9327.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11359.77,,11359.77
11540.0,2984265.83,1052928.89,-9328.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11360.77,106.6981317837322,11360.77
11541.0,2984265.82,1052928.89,-9329.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11361.77,,11361.77
11542.0,2984265.82,1052928.89,-9330.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11362.77,,11362.77
11543.0,2984265.81,1052928.89,-9331.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11363.77,,11363.77
11544.0,2984265.8,1052928.89,-9332.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11364.77,,11364.77
11545.0,2984265.79,1052928.88,-9333.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11365.77,,11365.77
11546.0,2984265.78,1052928.88,-9334.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11366.77,,11366.77
11547.0,2984265.77,1052928.88,-9335.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11367.77,,11367.77
11548.0,2984265.76,1052928.88,-9336.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11368.77,91.09680254945587,11368.77
11549.0,2984265.75,1052928.88,-9337.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11369.77,112.56465900949776,11369.77
11550.0,2984265.74,1052928.87,-9338.79,-9839.87,-10033.79,-10035.55,-10100.07,-10134.77,-10286.27,11370.77,,11370.77
11551.0,2984265.73,1052928.87,-9339.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11371.77,,11371.77
11552.0,2984265.72,1052928.87,-9340.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11372.77,,11372.77
11553.0,2984265.7,1052928.87,-9341.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11373.77,,11373.77
11554.0,2984265.69,1052928.87,-9342.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11374.77,,11374.77
11555.0,2984265.68,1052928.87,-9343.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11375.77,,11375.77
11556.0,2984265.67,1052928.87,-9344.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11376.77,117.43740293472378,11376.77
11557.0,2984265.66,1052928.86,-9345.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11377.77,,11377.77
11558.0,2984265.65,1052928.86,-9346.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11378.77,102.78711363322184,11378.77
11559.0,2984265.64,1052928.86,-9347.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11379.77,,11379.77
11560.0,2984265.63,1052928.86,-9348.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11380.77,,11380.77
11561.0,2984265.62,1052928.86,-9349.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11381.77,,11381.77
11562.0,2984265.61,1052928.86,-9350.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11382.77,,11382.77
11563.0,2984265.6,1052928.86,-9351.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11383.76,,11383.76
11564.0,2984265.59,1052928.86,-9352.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11384.76,,11384.76
11565.0,2984265.58,1052928.86,-9353.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11385.76,,11385.76
11566.0,2984265.56,1052928.86,-9354.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11386.76,120.38669531051848,11386.76
11567.0,2984265.55,1052928.86,-9355.79,-9839.87,-10033.79,-10035.56,-10100.07,-10134.77,-10286.27,11387.76,,11387.76
11568.0,2984265.54,1052928.86,-9356.79,-9839.87,-10033.8,-10035.56,-10100.07,-10134.77,-10286.27,11388.76,,11388.76
11569.0,2984265.53,1052928.86,-9357.79,-9839.87,-10033.8,-10035.56,-10100.07,-10134.77,-10286.27,11389.76,,11389.76
11570.0,2984265.52,1052928.86,-9358.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11390.76,110.60914993424257,11390.76
11571.0,2984265.51,1052928.86,-9359.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11391.76,,11391.76
11572.0,2984265.5,1052928.86,-9360.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11392.76,,11392.76
11573.0,2984265.49,1052928.86,-9361.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11393.76,112.56465900949776,11393.76
11574.0,2984265.47,1052928.86,-9362.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11394.76,,11394.76
11575.0,2984265.46,1052928.86,-9363.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11395.76,,11395.76
11576.0,2984265.45,1052928.86,-9364.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11396.76,,11396.76
11577.0,2984265.44,1052928.86,-9365.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11397.76,114.52016808475294,11397.76
11578.0,2984265.43,1052928.86,-9366.79,-9839.88,-10033.8,-10035.56,-10100.08,-10134.78,-10286.28,11398.76,,11398.76
11579.0,2984265.41,1052928.86,-9367.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11399.76,,11399.76
11580.0,2984265.4,1052928.86,-9368.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11400.76,112.56465900949776,11400.76
11581.0,2984265.39,1052928.86,-9369.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11401.76,,11401.76
11582.0,2984265.38,1052928.86,-9370.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11402.76,,11402.76
11583.0,2984265.37,1052928.86,-9371.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11403.76,,11403.76
11584.0,2984265.35,1052928.86,-9372.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11404.75,,11404.75
11585.0,2984265.34,1052928.86,-9373.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11405.75,134.03251546953962,11405.75
11586.0,2984265.33,1052928.86,-9374.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11406.75,,11406.75
11587.0,2984265.32,1052928.86,-9375.79,-9839.88,-10033.8,-10035.57,-10100.08,-10134.78,-10286.28,11407.75,,11407.75
