MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10594.0,3005755.68,1122272.02,-8393.78,-8790.16,-8924.51,-9007.07,-9141.6,-9192.14,-9298.02,10537.64,,10537.64
10595.0,3005755.67,1122272.03,-8394.78,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.02,10538.64,114.18541405662047,10538.64
10596.0,3005755.66,1122272.05,-8395.78,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.02,10539.64,100.51790452782564,10539.64
10597.0,3005755.65,1122272.06,-8396.78,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.02,10540.64,,10540.64
10598.0,3005755.64,1122272.08,-8397.77,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.02,10541.64,111.91130502967218,10541.64
10599.0,3005755.63,1122272.09,-8398.77,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.02,10542.64,,10542.64
10600.0,3005755.62,1122272.11,-8399.77,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.01,10543.64,107.35165929222303,10543.64
10601.0,3005755.61,1122272.12,-8400.77,-8790.16,-8924.51,-9007.07,-9141.59,-9192.14,-9298.01,10544.64,106.3574508231552,10544.64
10602.0,3005755.6,1122272.14,-8401.77,-8790.16,-8924.51,-9007.06,-9141.59,-9192.14,-9298.01,10545.64,,10545.64
10603.0,3005755.59,1122272.15,-8402.77,-8790.16,-8924.51,-9007.06,-9141.59,-9192.14,-9298.01,10546.64,,10546.64
10604.0,3005755.58,1122272.17,-8403.77,-8790.15,-8924.5,-9007.06,-9141.59,-9192.13,-9298.01,10547.64,,10547.64
10605.0,3005755.57,1122272.19,-8404.77,-8790.15,-8924.5,-9007.06,-9141.59,-9192.13,-9298.01,10548.64,,10548.64
10606.0,3005755.56,1122272.2,-8405.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10549.64,,10549.64
10607.0,3005755.55,1122272.22,-8406.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10550.65,,10550.65
10608.0,3005755.54,1122272.23,-8407.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10551.65,,10551.65
10609.0,3005755.53,1122272.25,-8408.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10552.65,,10552.65
10610.0,3005755.52,1122272.26,-8409.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10553.65,,10553.65
10611.0,3005755.51,1122272.28,-8410.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.01,10554.65,,10554.65
10612.0,3005755.5,1122272.29,-8411.77,-8790.15,-8924.5,-9007.06,-9141.58,-9192.13,-9298.0,10555.65,,10555.65
