MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11681.0,2924044.18,1016020.3,-9576.15,-9767.04,-9993.61,-10032.51,-10107.9,-10154.75,-10313.97,11383.06,142.52863297426458,11383.06
11682.0,2924044.17,1016020.32,-9577.15,-9767.06,-9993.63,-10032.53,-10107.92,-10154.77,-10313.99,11384.03,141.56181968382867,11384.03
11683.0,2924044.15,1016020.33,-9578.15,-9767.09,-9993.66,-10032.56,-10107.95,-10154.8,-10314.02,11385.0,,11385.0
11684.0,2924044.13,1016020.35,-9579.15,-9767.12,-9993.69,-10032.59,-10107.98,-10154.83,-10314.05,11385.98,134.74324174075426,11385.98
11685.0,2924044.12,1016020.37,-9580.15,-9767.14,-9993.71,-10032.61,-10108.0,-10154.85,-10314.07,11386.95,129.55298091841402,11386.95
11686.0,2924044.1,1016020.38,-9581.15,-9767.17,-9993.74,-10032.64,-10108.03,-10154.88,-10314.1,11387.92,134.2649235865386,11387.92
11687.0,2924044.08,1016020.4,-9582.15,-9767.2,-9993.77,-10032.67,-10108.06,-10154.9,-10314.13,11388.9,133.7255435402954,11388.9
11688.0,2924044.07,1016020.42,-9583.15,-9767.22,-9993.79,-10032.69,-10108.08,-10154.93,-10314.15,11389.87,138.61049490249795,11389.87
11689.0,2924044.05,1016020.44,-9584.15,-9767.25,-9993.82,-10032.72,-10108.11,-10154.96,-10314.18,11390.84,132.6060755197906,11390.84
11690.0,2924044.03,1016020.46,-9585.15,-9767.28,-9993.85,-10032.75,-10108.14,-10154.98,-10314.21,11391.820000000002,136.06624940135077,11391.820000000002
11691.0,2924044.02,1016020.48,-9586.15,-9767.3,-9993.87,-10032.77,-10108.16,-10155.01,-10314.23,11392.79,131.07952821910231,11392.79
11692.0,2924044.0,1016020.49,-9587.15,-9767.33,-9993.9,-10032.8,-10108.19,-10155.04,-10314.26,11393.76,132.24988114963003,11393.76
11693.0,2924043.98,1016020.51,-9588.15,-9767.36,-9993.93,-10032.83,-10108.22,-10155.07,-10314.29,11394.73,135.6082852111443,11394.73
11694.0,2924043.96,1016020.53,-9589.15,-9767.39,-9993.96,-10032.86,-10108.25,-10155.1,-10314.32,11395.7,135.22155989496994,11395.7
