MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10417.0,2935252.21,1054732.27,-8281.58,-8618.78,-8806.52,-8877.1,-8966.41,-9015.58,-9136.63,10399.19,,10399.19
10418.0,2935252.18,1054732.3,-8282.58,-8618.78,-8806.52,-8877.1,-8966.41,-9015.58,-9136.63,10400.19,,10400.19
10419.0,2935252.15,1054732.33,-8283.58,-8618.78,-8806.52,-8877.1,-8966.41,-9015.58,-9136.63,10401.19,,10401.19
10420.0,2935252.12,1054732.36,-8284.58,-8618.78,-8806.52,-8877.1,-8966.41,-9015.58,-9136.63,10402.19,,10402.19
10421.0,2935252.08,1054732.39,-8285.58,-8618.78,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10403.19,,10403.19
10422.0,2935252.05,1054732.42,-8286.58,-8618.78,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10404.19,,10404.19
10423.0,2935252.02,1054732.45,-8287.58,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10405.19,,10405.19
10424.0,2935251.98,1054732.48,-8288.58,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10406.19,,10406.19
10425.0,2935251.95,1054732.51,-8289.58,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10407.19,,10407.19
10426.0,2935251.92,1054732.54,-8290.58,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10408.19,,10408.19
10427.0,2935251.88,1054732.57,-8291.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10409.18,,10409.18
10428.0,2935251.85,1054732.6,-8292.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10410.18,,10410.18
10429.0,2935251.81,1054732.63,-8293.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10411.18,,10411.18
10430.0,2935251.78,1054732.66,-8294.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10412.18,,10412.18
10431.0,2935251.75,1054732.69,-8295.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10413.18,,10413.18
10432.0,2935251.71,1054732.72,-8296.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10414.18,,10414.18
10433.0,2935251.68,1054732.74,-8297.57,-8618.77,-8806.52,-8877.1,-8966.4,-9015.58,-9136.63,10415.18,,10415.18
10434.0,2935251.64,1054732.77,-8298.57,-8618.77,-8806.51,-8877.1,-8966.4,-9015.58,-9136.63,10416.18,,10416.18
10435.0,2935251.61,1054732.8,-8299.57,-8618.77,-8806.51,-8877.1,-8966.4,-9015.58,-9136.63,10417.18,,10417.18
10436.0,2935251.57,1054732.83,-8300.57,-8618.77,-8806.51,-8877.1,-8966.4,-9015.58,-9136.63,10418.18,,10418.18
10437.0,2935251.54,1054732.86,-8301.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10419.18,,10419.18
10438.0,2935251.51,1054732.89,-8302.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10420.18,,10420.18
10439.0,2935251.47,1054732.92,-8303.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10421.18,,10421.18
10440.0,2935251.44,1054732.95,-8304.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10422.18,,10422.18
10441.0,2935251.4,1054732.98,-8305.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10423.18,,10423.18
10442.0,2935251.37,1054733.01,-8306.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10424.17,,10424.17
10443.0,2935251.33,1054733.04,-8307.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.63,10425.17,,10425.17
10444.0,2935251.29,1054733.07,-8308.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.58,-9136.62,10426.17,,10426.17
10445.0,2935251.26,1054733.1,-8309.56,-8618.77,-8806.51,-8877.09,-8966.4,-9015.57,-9136.62,10427.17,,10427.17
10446.0,2935251.22,1054733.13,-8310.55,-8618.77,-8806.51,-8877.09,-8966.4,-9015.57,-9136.62,10428.17,,10428.17
10447.0,2935251.19,1054733.16,-8311.55,-8618.77,-8806.51,-8877.09,-8966.4,-9015.57,-9136.62,10429.17,,10429.17
10448.0,2935251.15,1054733.19,-8312.55,-8618.77,-8806.51,-8877.09,-8966.4,-9015.57,-9136.62,10430.17,,10430.17
10449.0,2935251.12,1054733.22,-8313.55,-8618.77,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10431.17,,10431.17
10450.0,2935251.08,1054733.25,-8314.55,-8618.77,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10432.17,,10432.17
10451.0,2935251.04,1054733.28,-8315.55,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10433.17,,10433.17
10452.0,2935251.01,1054733.31,-8316.55,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10434.17,,10434.17
10453.0,2935250.97,1054733.34,-8317.55,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10435.17,,10435.17
10454.0,2935250.94,1054733.37,-8318.55,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10436.17,,10436.17
10455.0,2935250.9,1054733.4,-8319.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10437.17,,10437.17
10456.0,2935250.86,1054733.43,-8320.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10438.16,,10438.16
10457.0,2935250.83,1054733.46,-8321.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10439.16,,10439.16
10458.0,2935250.79,1054733.49,-8322.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10440.16,,10440.16
10459.0,2935250.75,1054733.52,-8323.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10441.16,,10441.16
10460.0,2935250.72,1054733.55,-8324.54,-8618.76,-8806.51,-8877.09,-8966.39,-9015.57,-9136.62,10442.16,,10442.16
10461.0,2935250.68,1054733.58,-8325.54,-8618.76,-8806.5,-8877.09,-8966.39,-9015.57,-9136.62,10443.16,,10443.16
10462.0,2935250.64,1054733.61,-8326.54,-8618.76,-8806.5,-8877.09,-8966.39,-9015.57,-9136.62,10444.16,,10444.16
10463.0,2935250.61,1054733.64,-8327.54,-8618.76,-8806.5,-8877.09,-8966.39,-9015.57,-9136.62,10445.16,,10445.16
10464.0,2935250.57,1054733.67,-8328.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10446.16,,10446.16
10465.0,2935250.53,1054733.7,-8329.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10447.16,,10447.16
10466.0,2935250.49,1054733.73,-8330.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10448.16,,10448.16
10467.0,2935250.46,1054733.76,-8331.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10449.16,,10449.16
10468.0,2935250.42,1054733.79,-8332.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10450.16,,10450.16
10469.0,2935250.38,1054733.82,-8333.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.62,10451.15,,10451.15
10470.0,2935250.34,1054733.86,-8334.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.57,-9136.61,10452.15,,10452.15
10471.0,2935250.3,1054733.89,-8335.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.56,-9136.61,10453.15,,10453.15
10472.0,2935250.27,1054733.92,-8336.53,-8618.76,-8806.5,-8877.08,-8966.39,-9015.56,-9136.61,10454.15,,10454.15
10473.0,2935250.23,1054733.95,-8337.52,-8618.76,-8806.5,-8877.08,-8966.39,-9015.56,-9136.61,10455.15,,10455.15
10474.0,2935250.19,1054733.98,-8338.52,-8618.76,-8806.5,-8877.08,-8966.39,-9015.56,-9136.61,10456.15,,10456.15
10475.0,2935250.15,1054734.01,-8339.52,-8618.76,-8806.5,-8877.08,-8966.39,-9015.56,-9136.61,10457.15,,10457.15
10476.0,2935250.11,1054734.04,-8340.52,-8618.76,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10458.15,,10458.15
10477.0,2935250.08,1054734.07,-8341.52,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10459.15,,10459.15
10478.0,2935250.04,1054734.1,-8342.52,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10460.15,,10460.15
10479.0,2935250.0,1054734.13,-8343.52,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10461.15,,10461.15
10480.0,2935249.96,1054734.16,-8344.52,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10462.15,,10462.15
10481.0,2935249.92,1054734.19,-8345.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10463.14,,10463.14
10482.0,2935249.88,1054734.22,-8346.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10464.14,,10464.14
10483.0,2935249.84,1054734.26,-8347.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10465.14,,10465.14
10484.0,2935249.8,1054734.29,-8348.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10466.14,,10466.14
10485.0,2935249.76,1054734.32,-8349.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10467.14,,10467.14
10486.0,2935249.73,1054734.35,-8350.51,-8618.75,-8806.5,-8877.08,-8966.38,-9015.56,-9136.61,10468.14,,10468.14
10487.0,2935249.69,1054734.38,-8351.51,-8618.75,-8806.49,-8877.08,-8966.38,-9015.56,-9136.61,10469.14,,10469.14
10488.0,2935249.65,1054734.41,-8352.51,-8618.75,-8806.49,-8877.08,-8966.38,-9015.56,-9136.61,10470.14,,10470.14
10489.0,2935249.61,1054734.44,-8353.5,-8618.75,-8806.49,-8877.08,-8966.38,-9015.56,-9136.61,10471.14,,10471.14
10490.0,2935249.57,1054734.47,-8354.5,-8618.75,-8806.49,-8877.07,-8966.38,-9015.56,-9136.61,10472.14,,10472.14
