MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10494.0,2971708.26,1096142.24,-8266.8,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10572.9,144.85909008797756,10572.9
10495.0,2971708.24,1096142.24,-8267.8,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10573.9,145.4855993028525,10573.9
10496.0,2971708.23,1096142.24,-8268.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10574.9,139.4067666504172,10574.9
10497.0,2971708.22,1096142.24,-8269.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10575.9,135.39372113892097,10575.9
10498.0,2971708.21,1096142.23,-8270.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10576.9,139.67768955414695,10576.9
10499.0,2971708.2,1096142.23,-8271.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10577.9,147.33126158451114,10577.9
10500.0,2971708.19,1096142.22,-8272.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10578.9,145.9597143843795,10578.9
10501.0,2971708.18,1096142.21,-8273.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10579.9,143.28435071004864,10579.9
10502.0,2971708.17,1096142.2,-8274.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10580.89,146.09517583624435,10580.89
10503.0,2971708.17,1096142.19,-8275.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10581.89,146.1629065621768,10581.89
10504.0,2971708.17,1096142.18,-8276.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.6,10582.89,146.196771925143,10582.89
10505.0,2971708.16,1096142.17,-8277.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10583.9,145.33320516950457,10583.9
10506.0,2971708.16,1096142.16,-8278.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10584.9,144.11405210272088,10584.9
10507.0,2971708.16,1096142.14,-8279.79,-8417.69,-8549.21,-8633.36,-8750.89,-8795.41,-8905.59,10585.9,143.1319565767007,10585.9
10508.0,2971708.16,1096142.13,-8280.79,-8417.69,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10586.9,144.02938869530536,10586.9
10509.0,2971708.17,1096142.11,-8281.79,-8417.69,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10587.9,145.04534958429173,10587.9
10510.0,2971708.17,1096142.1,-8282.79,-8417.69,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10588.9,145.82425293251467,10588.9
10511.0,2971708.17,1096142.08,-8283.79,-8417.68,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10589.9,142.74250490258922,10589.9
10512.0,2971708.18,1096142.06,-8284.79,-8417.68,-8549.21,-8633.35,-8750.89,-8795.41,-8905.59,10590.9,138.64479598367743,10590.9
10513.0,2971708.19,1096142.04,-8285.79,-8417.68,-8549.2,-8633.35,-8750.88,-8795.41,-8905.59,10591.9,140.21953536160635,10591.9
10514.0,2971708.2,1096142.02,-8286.79,-8417.68,-8549.2,-8633.35,-8750.88,-8795.4,-8905.58,10592.9,142.99649512483583,10592.9
10515.0,2971708.21,1096141.99,-8287.79,-8417.68,-8549.2,-8633.35,-8750.88,-8795.4,-8905.58,10593.9,143.8939272434405,10593.9
10516.0,2971708.22,1096141.97,-8288.79,-8417.68,-8549.2,-8633.34,-8750.88,-8795.4,-8905.58,10594.91,147.6699152141733,10594.91
10517.0,2971708.23,1096141.95,-8289.79,-8417.67,-8549.2,-8633.34,-8750.88,-8795.4,-8905.58,10595.91,147.78844398455502,10595.91
10518.0,2971708.24,1096141.92,-8290.79,-8417.67,-8549.19,-8633.34,-8750.87,-8795.4,-8905.58,10596.91,142.28532250254537,10596.91
10519.0,2971708.26,1096141.89,-8291.79,-8417.67,-8549.19,-8633.34,-8750.87,-8795.39,-8905.57,10597.91,142.4715819988595,10597.91
10520.0,2971708.27,1096141.87,-8292.79,-8417.67,-8549.19,-8633.34,-8750.87,-8795.39,-8905.57,10598.91,139.6438241911807,10598.91
10521.0,2971708.29,1096141.84,-8293.79,-8417.67,-8549.19,-8633.33,-8750.87,-8795.39,-8905.57,10599.91,139.27130519855237,10599.91
10522.0,2971708.31,1096141.81,-8294.79,-8417.66,-8549.19,-8633.33,-8750.87,-8795.39,-8905.57,10600.92,143.70766774712632,10600.92
10523.0,2971708.33,1096141.78,-8295.79,-8417.66,-8549.18,-8633.33,-8750.86,-8795.39,-8905.57,10601.92,146.07824315476125,10601.92
10524.0,2971708.35,1096141.74,-8296.79,-8417.66,-8549.18,-8633.33,-8750.86,-8795.38,-8905.56,10602.92,145.07921494725798,10602.92
10525.0,2971708.37,1096141.71,-8297.79,-8417.66,-8549.18,-8633.32,-8750.86,-8795.38,-8905.56,10603.92,143.31821607301487,10603.92
10526.0,2971708.4,1096141.68,-8298.79,-8417.65,-8549.17,-8633.32,-8750.86,-8795.38,-8905.56,10604.92,144.06325405827155,10604.92
10527.0,2971708.42,1096141.64,-8299.79,-8417.65,-8549.17,-8633.32,-8750.85,-8795.37,-8905.55,10605.93,144.1817828286533,10605.93
10528.0,2971708.45,1096141.6,-8300.78,-8417.65,-8549.17,-8633.31,-8750.85,-8795.37,-8905.55,10606.93,144.06325405827155,10606.93
10529.0,2971708.47,1096141.57,-8301.78,-8417.64,-8549.16,-8633.31,-8750.85,-8795.37,-8905.55,10607.93,142.4207839544102,10607.93
10530.0,2971708.5,1096141.53,-8302.78,-8417.64,-8549.16,-8633.31,-8750.84,-8795.36,-8905.54,10608.93,137.34097950947822,10608.93
10531.0,2971708.53,1096141.49,-8303.78,-8417.64,-8549.16,-8633.3,-8750.84,-8795.36,-8905.54,10609.93,139.0681130207551,10609.93
10532.0,2971708.56,1096141.45,-8304.78,-8417.63,-8549.16,-8633.3,-8750.84,-8795.36,-8905.54,10610.94,140.27033340605567,10610.94
10533.0,2971708.6,1096141.4,-8305.78,-8417.63,-8549.15,-8633.3,-8750.83,-8795.35,-8905.53,10611.94,138.66172866516052,10611.94
10534.0,2971708.63,1096141.36,-8306.78,-8417.63,-8549.15,-8633.29,-8750.83,-8795.35,-8905.53,10612.94,140.8291118949982,10612.94
10535.0,2971708.66,1096141.32,-8307.78,-8417.62,-8549.14,-8633.29,-8750.82,-8795.35,-8905.53,10613.94,142.75943758407234,10613.94
10536.0,2971708.7,1096141.27,-8308.77,-8417.62,-8549.14,-8633.29,-8750.82,-8795.34,-8905.52,10614.95,143.97859065085603,10614.95
10537.0,2971708.74,1096141.23,-8309.77,-8417.61,-8549.13,-8633.28,-8750.82,-8795.34,-8905.52,10615.95,142.26838982106224,10615.95
10538.0,2971708.77,1096141.18,-8310.77,-8417.61,-8549.13,-8633.28,-8750.81,-8795.33,-8905.51,10616.95,140.16873731715702,10616.95
10539.0,2971708.81,1096141.13,-8311.77,-8417.6,-8549.13,-8633.27,-8750.81,-8795.33,-8905.51,10617.95,139.5930261467314,10617.95
10540.0,2971708.85,1096141.08,-8312.77,-8417.6,-8549.12,-8633.27,-8750.8,-8795.32,-8905.5,10618.96,142.8948990359372,10618.96
10541.0,2971708.9,1096141.03,-8313.76,-8417.6,-8549.12,-8633.26,-8750.8,-8795.32,-8905.5,10619.96,142.6409088136906,10619.96
10542.0,2971708.94,1096140.98,-8314.76,-8417.59,-8549.11,-8633.26,-8750.79,-8795.31,-8905.49,10620.96,140.01634318380906,10620.96
10543.0,2971708.98,1096140.93,-8315.76,-8417.59,-8549.11,-8633.25,-8750.79,-8795.31,-8905.49,10621.96,139.42369933190034,10621.96
10544.0,2971709.03,1096140.87,-8316.76,-8417.58,-8549.1,-8633.25,-8750.78,-8795.31,-8905.49,10622.97,143.04729316928515,10622.97
10545.0,2971709.08,1096140.82,-8317.75,-8417.58,-8549.1,-8633.24,-8750.78,-8795.3,-8905.48,10623.97,143.1488892581838,10623.97
10546.0,2971709.12,1096140.76,-8318.75,-8417.57,-8549.09,-8633.24,-8750.77,-8795.29,-8905.47,10624.97,147.33126158451114,10624.97
10547.0,2971709.17,1096140.7,-8319.75,-8417.57,-8549.09,-8633.23,-8750.77,-8795.29,-8905.47,10625.97,150.0235579403251,10625.97
10548.0,2971709.22,1096140.65,-8320.75,-8417.56,-8549.08,-8633.23,-8750.76,-8795.28,-8905.46,10626.98,,10626.98
10549.0,2971709.27,1096140.59,-8321.74,-8417.55,-8549.08,-8633.22,-8750.76,-8795.28,-8905.46,10627.98,142.72557222110615,10627.98
10550.0,2971709.33,1096140.53,-8322.74,-8417.55,-8549.07,-8633.22,-8750.75,-8795.27,-8905.45,10628.98,143.80926383602497,10628.98
10551.0,2971709.38,1096140.47,-8323.74,-8417.54,-8549.06,-8633.21,-8750.74,-8795.27,-8905.45,10629.98,148.2456263845989,10629.98
10552.0,2971709.44,1096140.4,-8324.73,-8417.54,-8549.06,-8633.2,-8750.74,-8795.26,-8905.44,10630.990000000002,146.67088700667,10630.990000000002
10553.0,2971709.49,1096140.34,-8325.73,-8417.53,-8549.05,-8633.2,-8750.73,-8795.25,-8905.43,10631.990000000002,143.70766774712632,10631.990000000002
10554.0,2971709.55,1096140.28,-8326.72,-8417.53,-8549.05,-8633.19,-8750.73,-8795.25,-8905.43,10632.990000000002,,10632.990000000002
10555.0,2971709.61,1096140.21,-8327.72,-8417.52,-8549.04,-8633.19,-8750.72,-8795.24,-8905.42,10633.990000000002,151.56443195528783,10633.990000000002
10556.0,2971709.67,1096140.14,-8328.72,-8417.51,-8549.03,-8633.18,-8750.71,-8795.24,-8905.42,10635.0,148.2286937031158,10635.0
10557.0,2971709.73,1096140.08,-8329.71,-8417.51,-8549.03,-8633.17,-8750.71,-8795.23,-8905.41,10636.0,150.19288475515617,10636.0
10558.0,2971709.8,1096140.01,-8330.71,-8417.5,-8549.02,-8633.17,-8750.7,-8795.22,-8905.4,10637.0,153.00370988135188,10637.0
10559.0,2971709.86,1096139.94,-8331.7,-8417.49,-8549.01,-8633.16,-8750.69,-8795.22,-8905.4,10638.0,147.33126158451114,10638.0
10560.0,2971709.92,1096139.87,-8332.7,-8417.49,-8549.01,-8633.15,-8750.69,-8795.21,-8905.39,10639.0,145.9597143843795,10639.0
10561.0,2971709.99,1096139.79,-8333.69,-8417.48,-8549.0,-8633.15,-8750.68,-8795.2,-8905.38,10640.01,148.56734733277796,10640.01
10562.0,2971710.06,1096139.72,-8334.69,-8417.47,-8548.99,-8633.14,-8750.67,-8795.19,-8905.38,10641.01,145.3670705324708,10641.01
10563.0,2971710.13,1096139.65,-8335.68,-8417.46,-8548.99,-8633.13,-8750.67,-8795.19,-8905.37,10642.01,145.13001299170728,10642.01
10564.0,2971710.2,1096139.57,-8336.68,-8417.46,-8548.98,-8633.13,-8750.66,-8795.18,-8905.36,10643.01,150.09128866625753,10643.01
10565.0,2971710.27,1096139.5,-8337.67,-8417.45,-8548.97,-8633.12,-8750.65,-8795.17,-8905.35,10644.01,148.61814537722725,10644.01
10566.0,2971710.34,1096139.42,-8338.67,-8417.44,-8548.96,-8633.11,-8750.64,-8795.17,-8905.35,10645.02,149.44784676989948,10645.02
10567.0,2971710.42,1096139.34,-8339.66,-8417.43,-8548.96,-8633.1,-8750.64,-8795.16,-8905.34,10646.02,145.97664706586264,10646.02
10568.0,2971710.49,1096139.26,-8340.66,-8417.43,-8548.95,-8633.09,-8750.63,-8795.15,-8905.33,10647.02,145.33320516950457,10647.02
10569.0,2971710.57,1096139.18,-8341.65,-8417.42,-8548.94,-8633.09,-8750.62,-8795.14,-8905.32,10648.02,151.49670122935538,10648.02
10570.0,2971710.64,1096139.1,-8342.64,-8417.41,-8548.93,-8633.08,-8750.61,-8795.13,-8905.31,10649.02,148.16096297718337,10649.02
10571.0,2971710.72,1096139.02,-8343.64,-8417.4,-8548.92,-8633.07,-8750.6,-8795.13,-8905.31,10650.02,147.12806940671388,10650.02
10572.0,2971710.8,1096138.93,-8344.63,-8417.39,-8548.92,-8633.06,-8750.6,-8795.12,-8905.3,10651.03,148.41495319943,10651.03
10573.0,2971710.88,1096138.85,-8345.62,-8417.39,-8548.91,-8633.05,-8750.59,-8795.11,-8905.29,10652.03,147.31432890302804,10652.03
10574.0,2971710.97,1096138.76,-8346.62,-8417.38,-8548.9,-8633.05,-8750.58,-8795.1,-8905.28,10653.03,146.8740791844673,10653.03
10575.0,2971711.05,1096138.67,-8347.61,-8417.37,-8548.89,-8633.04,-8750.57,-8795.09,-8905.27,10654.03,147.36512694747736,10654.03
10576.0,2971711.13,1096138.59,-8348.6,-8417.36,-8548.88,-8633.03,-8750.56,-8795.08,-8905.26,10655.03,147.9916361623523,10655.03
10577.0,2971711.22,1096138.5,-8349.59,-8417.35,-8548.87,-8633.02,-8750.55,-8795.08,-8905.26,10656.03,148.83827023650764,10656.03
10578.0,2971711.31,1096138.41,-8350.59,-8417.34,-8548.86,-8633.01,-8750.54,-8795.07,-8905.25,10657.03,150.15901939218998,10657.03
10579.0,2971711.4,1096138.32,-8351.58,-8417.33,-8548.86,-8633.0,-8750.54,-8795.06,-8905.24,10658.03,146.7386177326024,10658.03
10580.0,2971711.49,1096138.22,-8352.57,-8417.32,-8548.85,-8632.99,-8750.53,-8795.05,-8905.23,10659.03,148.2286937031158,10659.03
