MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10430.0,3004882.5,1122664.69,-8301.53,-8734.37,-8843.35,-8941.24,-9103.22,-9153.61,-9259.2,10126.34,181.7788930266136,10126.34
10431.0,3004882.51,1122664.69,-8302.53,-8734.29,-8843.27,-8941.16,-9103.14,-9153.53,-9259.12,10127.42,155.85676924385226,10127.42
10432.0,3004882.53,1122664.7,-8303.53,-8734.22,-8843.2,-8941.09,-9103.07,-9153.46,-9259.05,10128.490000000002,181.7788930266136,10128.490000000002
10433.0,3004882.54,1122664.7,-8304.53,-8734.15,-8843.13,-8941.02,-9103.0,-9153.39,-9258.98,10129.56,214.18154775506517,10129.56
10434.0,3004882.56,1122664.7,-8305.53,-8734.08,-8843.06,-8940.95,-9102.93,-9153.32,-9258.91,10130.63,149.37623829816192,10130.63
10435.0,3004882.57,1122664.7,-8306.53,-8734.01,-8842.99,-8940.88,-9102.86,-9153.25,-9258.84,10131.7,,10131.7
10436.0,3004882.58,1122664.71,-8307.53,-8733.94,-8842.92,-8940.81,-9102.79,-9153.18,-9258.77,10132.78,173.67822934450064,10132.78
10437.0,3004882.6,1122664.71,-8308.53,-8733.86,-8842.84,-8940.73,-9102.71,-9153.1,-9258.69,10133.85,167.19769839881033,10133.85
10438.0,3004882.61,1122664.71,-8309.53,-8733.79,-8842.77,-8940.66,-9102.64,-9153.03,-9258.62,10134.92,141.27557461604903,10134.92
10439.0,3004882.63,1122664.71,-8310.53,-8733.72,-8842.7,-8940.59,-9102.57,-9152.96,-9258.55,10135.990000000002,165.57756566238774,10135.990000000002
10440.0,3004882.64,1122664.72,-8311.53,-8733.65,-8842.63,-8940.52,-9102.5,-9152.89,-9258.48,10137.06,214.18154775506517,10137.06
10441.0,3004882.66,1122664.72,-8312.53,-8733.58,-8842.56,-8940.45,-9102.43,-9152.82,-9258.41,10138.13,243.3439370106716,10138.13
10442.0,3004882.67,1122664.72,-8313.53,-8733.51,-8842.49,-8940.38,-9102.36,-9152.75,-9258.34,10139.2,165.57756566238774,10139.2
10443.0,3004882.68,1122664.72,-8314.53,-8733.44,-8842.42,-8940.31,-9102.29,-9152.68,-9258.27,10140.27,,10140.27
10444.0,3004882.7,1122664.73,-8315.53,-8733.37,-8842.35,-8940.24,-9102.22,-9152.61,-9258.2,10141.34,152.6165037710071,10141.34
10445.0,3004882.71,1122664.73,-8316.53,-8733.3,-8842.28,-8940.17,-9102.15,-9152.54,-9258.13,10142.41,201.2204858636845,10142.41
10446.0,3004882.73,1122664.73,-8317.53,-8733.23,-8842.21,-8940.1,-9102.08,-9152.47,-9258.06,10143.48,194.7399549179942,10143.48
10447.0,3004882.74,1122664.73,-8318.53,-8733.16,-8842.14,-8940.03,-9102.01,-9152.4,-9257.99,10144.55,175.29836208092323,10144.55
10448.0,3004882.75,1122664.74,-8319.53,-8733.09,-8842.07,-8939.96,-9101.94,-9152.33,-9257.92,10145.62,173.67822934450064,10145.62
10449.0,3004882.77,1122664.74,-8320.53,-8733.02,-8842.0,-8939.89,-9101.87,-9152.26,-9257.85,10146.69,149.37623829816192,10146.69
10450.0,3004882.78,1122664.74,-8321.53,-8732.95,-8841.93,-8939.82,-9101.8,-9152.19,-9257.78,10147.76,158.44898162212837,10147.76
10451.0,3004882.8,1122664.74,-8322.53,-8732.88,-8841.86,-8939.75,-9101.73,-9152.12,-9257.71,10148.83,178.53862755376838,10148.83
10452.0,3004882.81,1122664.75,-8323.53,-8732.81,-8841.79,-8939.68,-9101.66,-9152.05,-9257.64,10149.9,152.6165037710071,10149.9
10453.0,3004882.82,1122664.75,-8324.53,-8732.74,-8841.72,-8939.61,-9101.59,-9151.98,-9257.57,10150.97,165.57756566238774,10150.97
10454.0,3004882.84,1122664.75,-8325.53,-8732.67,-8841.65,-8939.54,-9101.52,-9151.91,-9257.5,10152.04,,10152.04
