MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10904.0,2992514.89,1095722.65,-8673.12,-9034.13,-9179.18,-9268.13,-9390.83,-9442.54,-9552.24,10615.3,101.69914884259914,10615.3
10905.0,2992514.89,1095722.61,-8674.12,-9034.13,-9179.18,-9268.13,-9390.83,-9442.54,-9552.24,10616.3,99.65365999095668,10616.3
10906.0,2992514.89,1095722.57,-8675.11,-9034.13,-9179.18,-9268.13,-9390.83,-9442.53,-9552.24,10617.3,97.13941327747946,10617.3
10907.0,2992514.89,1095722.53,-8676.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10618.3,98.96117678597354,10618.3
10908.0,2992514.89,1095722.49,-8677.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10619.3,105.27875433297348,10619.3
10909.0,2992514.89,1095722.45,-8678.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10620.3,115.6660024077204,10620.3
10910.0,2992514.89,1095722.41,-8679.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10621.3,116.88051141338312,10621.3
10911.0,2992514.9,1095722.37,-8680.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10622.3,106.84483173501224,10622.3
10912.0,2992514.9,1095722.33,-8681.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10623.3,101.04927998869192,10623.3
10913.0,2992514.9,1095722.28,-8682.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10624.3,,10624.3
10914.0,2992514.9,1095722.24,-8683.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10625.29,,10625.29
10915.0,2992514.9,1095722.19,-8684.11,-9034.13,-9179.17,-9268.13,-9390.83,-9442.53,-9552.24,10626.29,,10626.29
10916.0,2992514.91,1095722.14,-8685.11,-9034.13,-9179.17,-9268.12,-9390.83,-9442.53,-9552.24,10627.29,102.97757937487567,10627.29
10917.0,2992514.91,1095722.1,-8686.1,-9034.13,-9179.17,-9268.12,-9390.83,-9442.53,-9552.24,10628.29,106.20561646887396,10628.29
10918.0,2992514.91,1095722.05,-8687.1,-9034.13,-9179.17,-9268.12,-9390.83,-9442.53,-9552.24,10629.29,106.91940684939505,10629.29
10919.0,2992514.91,1095722.0,-8688.1,-9034.13,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10630.29,,10630.29
10920.0,2992514.92,1095721.94,-8689.1,-9034.13,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10631.29,,10631.29
10921.0,2992514.92,1095721.89,-8690.1,-9034.12,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10632.29,,10632.29
10922.0,2992514.92,1095721.84,-8691.1,-9034.12,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10633.29,104.93783952436638,10633.29
10923.0,2992514.93,1095721.79,-8692.1,-9034.12,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10634.29,101.62457372821636,10634.29
10924.0,2992514.93,1095721.73,-8693.09,-9034.12,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10635.29,101.04927998869192,10635.29
10925.0,2992514.94,1095721.67,-8694.09,-9034.12,-9179.17,-9268.12,-9390.82,-9442.53,-9552.23,10636.29,,10636.29
10926.0,2992514.94,1095721.62,-8695.09,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10637.28,106.02450547680144,10637.28
10927.0,2992514.94,1095721.56,-8696.09,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10638.28,103.10542242810334,10638.28
10928.0,2992514.95,1095721.5,-8697.09,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10639.28,102.90300426049288,10639.28
10929.0,2992514.95,1095721.44,-8698.09,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10640.28,109.05012440318929,10640.28
10930.0,2992514.96,1095721.38,-8699.08,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10641.28,114.21711447114032,10641.28
10931.0,2992514.96,1095721.32,-8700.08,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10642.28,121.41893980296484,10642.28
10932.0,2992514.97,1095721.25,-8701.08,-9034.12,-9179.16,-9268.12,-9390.82,-9442.52,-9552.23,10643.28,112.97064470217067,10643.28
10933.0,2992514.97,1095721.19,-8702.08,-9034.12,-9179.16,-9268.11,-9390.82,-9442.52,-9552.23,10644.28,98.22607922991452,10644.28
10934.0,2992514.98,1095721.13,-8703.08,-9034.12,-9179.16,-9268.11,-9390.82,-9442.52,-9552.23,10645.28,98.72679785505618,10645.28
10935.0,2992514.98,1095721.06,-8704.07,-9034.12,-9179.16,-9268.11,-9390.81,-9442.52,-9552.22,10646.27,,10646.27
10936.0,2992514.99,1095720.99,-8705.07,-9034.11,-9179.16,-9268.11,-9390.81,-9442.52,-9552.22,10647.27,,10647.27
10937.0,2992515.0,1095720.93,-8706.07,-9034.11,-9179.16,-9268.11,-9390.81,-9442.52,-9552.22,10648.27,105.57705479050466,10648.27
10938.0,2992515.0,1095720.86,-8707.07,-9034.11,-9179.16,-9268.11,-9390.81,-9442.52,-9552.22,10649.27,116.48632866593118,10649.27
10939.0,2992515.01,1095720.79,-8708.06,-9034.11,-9179.16,-9268.11,-9390.81,-9442.52,-9552.22,10650.27,119.27756866140165,10650.27
10940.0,2992515.02,1095720.72,-8709.06,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10651.27,,10651.27
10941.0,2992515.02,1095720.65,-8710.06,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10652.26,129.96311719367975,10652.26
10942.0,2992515.03,1095720.57,-8711.06,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10653.26,129.494359331845,10653.26
10943.0,2992515.04,1095720.5,-8712.05,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10654.26,126.15978636015704,10654.26
10944.0,2992515.05,1095720.43,-8713.05,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10655.26,,10655.26
10945.0,2992515.05,1095720.35,-8714.05,-9034.11,-9179.15,-9268.11,-9390.81,-9442.51,-9552.22,10656.26,113.80162454815044,10656.26
10946.0,2992515.06,1095720.27,-8715.05,-9034.11,-9179.15,-9268.1,-9390.81,-9442.51,-9552.22,10657.25,122.8039062129311,10657.25
10947.0,2992515.07,1095720.2,-8716.04,-9034.11,-9179.15,-9268.1,-9390.81,-9442.51,-9552.22,10658.25,122.36710911440328,10658.25
10948.0,2992515.08,1095720.12,-8717.04,-9034.11,-9179.15,-9268.1,-9390.8,-9442.51,-9552.21,10659.25,112.41665813818418,10659.25
10949.0,2992515.08,1095720.04,-8718.04,-9034.1,-9179.15,-9268.1,-9390.8,-9442.51,-9552.21,10660.25,120.1724700339952,10660.25
10950.0,2992515.09,1095719.96,-8719.03,-9034.1,-9179.15,-9268.1,-9390.8,-9442.51,-9552.21,10661.240000000002,132.1684098618568,10661.240000000002
10951.0,2992515.1,1095719.88,-8720.03,-9034.1,-9179.15,-9268.1,-9390.8,-9442.51,-9552.21,10662.240000000002,139.9668361087437,10662.240000000002
10952.0,2992515.11,1095719.79,-8721.03,-9034.1,-9179.14,-9268.1,-9390.8,-9442.5,-9552.21,10663.240000000002,134.7572316897168,10663.240000000002
10953.0,2992515.12,1095719.71,-8722.02,-9034.1,-9179.14,-9268.1,-9390.8,-9442.5,-9552.21,10664.240000000002,123.44312147906938,10664.240000000002
10954.0,2992515.14,1095719.62,-8723.02,-9034.1,-9179.14,-9268.1,-9390.8,-9442.5,-9552.21,10665.23,119.04318973048429,10665.23
10955.0,2992515.15,1095719.54,-8724.01,-9034.1,-9179.14,-9268.1,-9390.8,-9442.5,-9552.21,10666.23,115.13332301927184,10666.23
10956.0,2992515.16,1095719.45,-8725.01,-9034.1,-9179.14,-9268.1,-9390.8,-9442.5,-9552.21,10667.23,109.8171827225552,10667.23
10957.0,2992515.17,1095719.36,-8726.01,-9034.1,-9179.14,-9268.09,-9390.8,-9442.5,-9552.21,10668.22,102.87104349718598,10668.22
10958.0,2992515.19,1095719.27,-8727.0,-9034.1,-9179.14,-9268.09,-9390.79,-9442.5,-9552.2,10669.22,112.23554714611168,10669.22
10959.0,2992515.2,1095719.17,-8728.0,-9034.09,-9179.14,-9268.09,-9390.79,-9442.5,-9552.2,10670.22,129.0895229966241,10670.22
10960.0,2992515.22,1095719.08,-8728.99,-9034.09,-9179.14,-9268.09,-9390.79,-9442.5,-9552.2,10671.21,130.39991429220757,10671.21
10961.0,2992515.24,1095718.99,-8729.99,-9034.09,-9179.14,-9268.09,-9390.79,-9442.5,-9552.2,10672.21,130.08030665913844,10672.21
10962.0,2992515.25,1095718.89,-8730.98,-9034.09,-9179.13,-9268.09,-9390.79,-9442.49,-9552.2,10673.21,127.40625612912666,10673.21
10963.0,2992515.27,1095718.79,-8731.98,-9034.09,-9179.13,-9268.09,-9390.79,-9442.49,-9552.2,10674.2,122.75063827408624,10674.2
10964.0,2992515.29,1095718.69,-8732.97,-9034.09,-9179.13,-9268.09,-9390.79,-9442.49,-9552.2,10675.2,125.04115964441506,10675.2
10965.0,2992515.31,1095718.59,-8733.97,-9034.09,-9179.13,-9268.09,-9390.79,-9442.49,-9552.2,10676.2,122.56952728201372,10676.2
10966.0,2992515.33,1095718.49,-8734.96,-9034.09,-9179.13,-9268.08,-9390.79,-9442.49,-9552.2,10677.19,117.77541278597668,10677.19
10967.0,2992515.35,1095718.39,-8735.96,-9034.09,-9179.13,-9268.08,-9390.79,-9442.49,-9552.19,10678.19,125.22227063648756,10678.19
10968.0,2992515.37,1095718.28,-8736.95,-9034.08,-9179.13,-9268.08,-9390.78,-9442.49,-9552.19,10679.18,131.24154772595628,10679.18
10969.0,2992515.4,1095718.18,-8737.95,-9034.08,-9179.13,-9268.08,-9390.78,-9442.49,-9552.19,10680.18,130.39991429220757,10680.18
10970.0,2992515.42,1095718.07,-8738.94,-9034.08,-9179.13,-9268.08,-9390.78,-9442.49,-9552.19,10681.17,128.8657976534757,10681.17
10971.0,2992515.44,1095717.96,-8739.93,-9034.08,-9179.12,-9268.08,-9390.78,-9442.48,-9552.19,10682.17,125.81887155154996,10682.17
10972.0,2992515.47,1095717.85,-8740.93,-9034.08,-9179.12,-9268.08,-9390.78,-9442.48,-9552.19,10683.16,127.9495891053442,10683.16
10973.0,2992515.49,1095717.74,-8741.92,-9034.08,-9179.12,-9268.08,-9390.78,-9442.48,-9552.19,10684.16,130.39991429220757,10684.16
10974.0,2992515.52,1095717.63,-8742.91,-9034.08,-9179.12,-9268.08,-9390.78,-9442.48,-9552.19,10685.15,128.9297191800895,10685.15
10975.0,2992515.54,1095717.51,-8743.91,-9034.08,-9179.12,-9268.07,-9390.78,-9442.48,-9552.19,10686.15,125.6484141472464,10686.15
10976.0,2992515.57,1095717.4,-8744.9,-9034.07,-9179.12,-9268.07,-9390.77,-9442.48,-9552.18,10687.14,131.2735084892632,10687.14
10977.0,2992515.6,1095717.28,-8745.89,-9034.07,-9179.12,-9268.07,-9390.77,-9442.48,-9552.18,10688.13,136.2700411529107,10688.13
