MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11544.0,3020945.84,1087378.07,-9433.75,-10191.57,-10333.24,-10402.33,-10472.95,-10507.92,-10668.35,11539.83,,11539.83
11545.0,3020945.85,1087378.06,-9434.75,-10191.6,-10333.26,-10402.35,-10472.97,-10507.94,-10668.37,11540.81,,11540.81
11546.0,3020945.86,1087378.06,-9435.75,-10191.62,-10333.28,-10402.37,-10472.99,-10507.96,-10668.39,11541.79,,11541.79
11547.0,3020945.86,1087378.06,-9436.75,-10191.64,-10333.3,-10402.39,-10473.01,-10507.99,-10668.41,11542.77,,11542.77
11548.0,3020945.87,1087378.06,-9437.75,-10191.66,-10333.32,-10402.41,-10473.03,-10508.01,-10668.43,11543.740000000002,,11543.740000000002
11549.0,3020945.87,1087378.05,-9438.75,-10191.68,-10333.34,-10402.43,-10473.05,-10508.02,-10668.45,11544.73,,11544.73
11550.0,3020945.88,1087378.05,-9439.75,-10191.69,-10333.36,-10402.45,-10473.06,-10508.04,-10668.46,11545.71,,11545.71
11551.0,3020945.88,1087378.05,-9440.75,-10191.71,-10333.37,-10402.46,-10473.08,-10508.06,-10668.48,11546.69,,11546.69
11552.0,3020945.89,1087378.05,-9441.75,-10191.73,-10333.39,-10402.48,-10473.1,-10508.07,-10668.5,11547.68,,11547.68
11553.0,3020945.89,1087378.05,-9442.75,-10191.74,-10333.41,-10402.5,-10473.11,-10508.09,-10668.51,11548.66,,11548.66
11554.0,3020945.9,1087378.04,-9443.75,-10191.76,-10333.42,-10402.51,-10473.13,-10508.11,-10668.53,11549.64,,11549.64
11555.0,3020945.91,1087378.04,-9444.75,-10191.78,-10333.44,-10402.53,-10473.15,-10508.12,-10668.55,11550.63,,11550.63
11556.0,3020945.91,1087378.04,-9445.75,-10191.79,-10333.46,-10402.55,-10473.16,-10508.14,-10668.57,11551.61,,11551.61
11557.0,3020945.92,1087378.04,-9446.75,-10191.81,-10333.47,-10402.57,-10473.18,-10508.16,-10668.58,11552.59,,11552.59
11558.0,3020945.92,1087378.04,-9447.75,-10191.83,-10333.49,-10402.58,-10473.2,-10508.17,-10668.6,11553.58,,11553.58
11559.0,3020945.93,1087378.04,-9448.75,-10191.84,-10333.5,-10402.59,-10473.21,-10508.19,-10668.61,11554.56,,11554.56
11560.0,3020945.93,1087378.03,-9449.75,-10191.85,-10333.52,-10402.61,-10473.22,-10508.2,-10668.62,11555.55,,11555.55
11561.0,3020945.94,1087378.03,-9450.75,-10191.87,-10333.53,-10402.62,-10473.24,-10508.21,-10668.64,11556.54,,11556.54
11562.0,3020945.94,1087378.03,-9451.75,-10191.88,-10333.54,-10402.63,-10473.25,-10508.23,-10668.65,11557.52,,11557.52
11563.0,3020945.94,1087378.03,-9452.75,-10191.89,-10333.55,-10402.65,-10473.26,-10508.24,-10668.66,11558.51,,11558.51
11564.0,3020945.95,1087378.03,-9453.75,-10191.9,-10333.57,-10402.66,-10473.27,-10508.25,-10668.68,11559.5,,11559.5
11565.0,3020945.95,1087378.03,-9454.75,-10191.92,-10333.58,-10402.67,-10473.29,-10508.26,-10668.69,11560.490000000002,,11560.490000000002
11566.0,3020945.96,1087378.03,-9455.75,-10191.93,-10333.59,-10402.68,-10473.3,-10508.28,-10668.7,11561.47,,11561.47
11567.0,3020945.96,1087378.02,-9456.75,-10191.94,-10333.61,-10402.7,-10473.31,-10508.29,-10668.71,11562.46,,11562.46
11568.0,3020945.97,1087378.02,-9457.75,-10191.95,-10333.62,-10402.71,-10473.33,-10508.3,-10668.73,11563.45,,11563.45
11569.0,3020945.97,1087378.02,-9458.75,-10191.96,-10333.63,-10402.72,-10473.34,-10508.31,-10668.74,11564.44,,11564.44
11570.0,3020945.98,1087378.02,-9459.75,-10191.97,-10333.64,-10402.73,-10473.34,-10508.32,-10668.75,11565.43,,11565.43
11571.0,3020945.98,1087378.02,-9460.75,-10191.98,-10333.64,-10402.74,-10473.35,-10508.33,-10668.75,11566.42,,11566.42
11572.0,3020945.98,1087378.02,-9461.75,-10191.99,-10333.65,-10402.75,-10473.36,-10508.34,-10668.76,11567.41,,11567.41
11573.0,3020945.99,1087378.02,-9462.75,-10192.0,-10333.66,-10402.75,-10473.37,-10508.35,-10668.77,11568.4,,11568.4
11574.0,3020945.99,1087378.02,-9463.75,-10192.01,-10333.67,-10402.76,-10473.38,-10508.36,-10668.78,11569.39,,11569.39
11575.0,3020945.99,1087378.02,-9464.75,-10192.02,-10333.68,-10402.77,-10473.39,-10508.36,-10668.79,11570.39,,11570.39
11576.0,3020946.0,1087378.02,-9465.75,-10192.03,-10333.69,-10402.78,-10473.4,-10508.37,-10668.8,11571.38,,11571.38
11577.0,3020946.0,1087378.02,-9466.75,-10192.03,-10333.7,-10402.79,-10473.41,-10508.38,-10668.81,11572.37,,11572.37
11578.0,3020946.01,1087378.01,-9467.75,-10192.04,-10333.71,-10402.8,-10473.41,-10508.39,-10668.82,11573.36,,11573.36
11579.0,3020946.01,1087378.01,-9468.75,-10192.05,-10333.71,-10402.8,-10473.42,-10508.4,-10668.82,11574.35,,11574.35
11580.0,3020946.01,1087378.01,-9469.75,-10192.05,-10333.72,-10402.81,-10473.42,-10508.4,-10668.83,11575.35,,11575.35
11581.0,3020946.02,1087378.01,-9470.75,-10192.06,-10333.72,-10402.81,-10473.43,-10508.41,-10668.83,11576.34,,11576.34
11582.0,3020946.02,1087378.01,-9471.75,-10192.06,-10333.73,-10402.82,-10473.43,-10508.41,-10668.84,11577.34,,11577.34
11583.0,3020946.02,1087378.01,-9472.75,-10192.07,-10333.73,-10402.82,-10473.44,-10508.42,-10668.84,11578.33,,11578.33
11584.0,3020946.03,1087378.01,-9473.75,-10192.07,-10333.74,-10402.83,-10473.44,-10508.42,-10668.84,11579.33,,11579.33
11585.0,3020946.03,1087378.01,-9474.75,-10192.08,-10333.74,-10402.83,-10473.45,-10508.42,-10668.85,11580.320000000002,,11580.320000000002
11586.0,3020946.03,1087378.01,-9475.75,-10192.08,-10333.75,-10402.84,-10473.45,-10508.43,-10668.85,11581.320000000002,,11581.320000000002
11587.0,3020946.03,1087378.01,-9476.75,-10192.09,-10333.75,-10402.84,-10473.46,-10508.43,-10668.86,11582.320000000002,,11582.320000000002
11588.0,3020946.04,1087378.01,-9477.75,-10192.09,-10333.75,-10402.85,-10473.46,-10508.44,-10668.86,11583.31,,11583.31
11589.0,3020946.04,1087378.01,-9478.75,-10192.09,-10333.76,-10402.85,-10473.46,-10508.44,-10668.87,11584.31,,11584.31
11590.0,3020946.04,1087378.01,-9479.75,-10192.09,-10333.76,-10402.85,-10473.46,-10508.44,-10668.87,11585.31,,11585.31
11591.0,3020946.05,1087378.01,-9480.75,-10192.09,-10333.76,-10402.85,-10473.47,-10508.44,-10668.87,11586.31,,11586.31
11592.0,3020946.05,1087378.01,-9481.75,-10192.1,-10333.76,-10402.85,-10473.47,-10508.44,-10668.87,11587.31,,11587.31
