TVT,GR,Geology
10504.45,117.55,
10505.45,120.25,
10506.45,120.25,
10507.45,113.04,
10508.45,112.14,
10509.45,111.24000000000001,
10510.45,125.65,
10511.45,122.95,
10512.45,120.25,
10513.45,121.15,
10514.45,122.05,
10515.45,111.24000000000001,
10516.45,111.24000000000001,
10517.45,117.55,
10518.45,123.85000000000001,
10519.45,123.85000000000001,
10520.45,123.85000000000001,
10521.45,122.05,
10522.45,120.25,
10523.45,122.05,
10524.45,122.05,
10525.45,122.05,
10526.45,122.05,
10527.45,123.85000000000001,
10528.45,125.65,
10529.45,125.65,
10530.45,131.04999999999998,
10531.45,123.85000000000001,
10532.45,123.85000000000001,
10533.45,123.85000000000001,
10534.45,122.05,
10535.45,122.95,
10536.45,123.85000000000001,
10537.45,123.85000000000001,
10538.45,127.45,
10539.45,127.45,
10540.45,127.45,
10541.45,127.45,
10542.45,128.35,
10543.45,129.25,
10544.45,122.05,
10545.45,122.05,
10546.45,122.05,
10547.45,129.25,
10548.45,129.25,
10549.45,129.25,
10550.45,129.25,
10551.45,127.45,
10552.45,125.65,
10553.45,139.16,
10554.45,150.85999999999999,
10555.45,123.85000000000001,
10556.45,124.75,
10557.45,125.65,
10558.45,125.65,
10559.45,127.45,
10560.45,127.45,
10561.45,125.65,
10562.45,125.65,
10563.45,125.65,
10564.45,125.65,
10565.45,120.25,
10566.45,120.25,
10567.45,122.95,
10568.45,125.65,
10569.45,124.45,
10570.45,123.85000000000001,
10571.45,126.55,
10572.45,129.25,
10573.45,122.05,
10574.45,122.05,
10575.45,134.65,
10576.45,129.25,
10577.45,123.85000000000001,
10578.45,123.85000000000001,
10579.45,129.25,
10580.45,128.35,
10581.45,127.45,
10582.45,127.45,
10583.45,125.65,
10584.45,122.05,
10585.45,120.25,
10586.45,120.25,
10587.45,123.85000000000001,
10588.45,120.25,
10589.45,116.64,
10590.45,119.35000000000001,
10591.45,126.55,
10592.45,131.04999999999998,
10593.45,131.04999999999998,
10594.45,113.04,
10595.45,116.65,
10596.45,120.25,
10597.45,120.25,
10598.45,118.45,
10599.45,119.35000000000001,
10600.45,120.25,
10601.45,122.05,
10602.45,123.85000000000001,
10603.45,129.25,
10604.45,129.25,
10605.45,126.55,
10606.45,122.95,
10607.45,122.05,
10608.45,122.05,
10609.45,122.95,
10610.45,123.85000000000001,
10611.45,122.05,
10612.45,122.05,
10613.45,124.75,
10614.45,127.45,
10615.45,122.05,
10616.45,122.05,
10617.45,117.55,
10618.45,113.04,
10619.45,125.65,
10620.45,125.65,
10621.45,125.65,
10622.45,125.65,
10623.45,122.05,
10624.45,122.05,
10625.45,125.65,
10626.45,131.95,
10627.45,134.65,
10628.45,134.65,
10629.45,132.85,
10630.45,132.85,
10631.45,122.05,
10632.45,121.15,
10633.45,120.25,
10634.45,129.25,
10635.45,129.25,
10636.45,131.95,
10637.45,134.65,
10638.45,136.45,
10639.45,136.45,
10640.45,134.65,
10641.45,132.85,
10642.45,138.25,
10643.45,138.25,
10644.45,136.45,
10645.45,134.65,
10646.45,149.06,
10647.45,117.76,
10648.45,118.11,
10649.45,142.76,
10650.45,157.17,
10651.45,149.06,
10652.45,141.85999999999999,
10653.45,152.66,
10654.45,159.85999999999999,
10655.45,166.17,
10656.45,159.92,
10657.45,156.32,
10658.45,143.94,
10659.45,116.64,
10660.45,112.14,
10661.45,177.86999999999998,
10662.45,153.56,
10663.45,116.64,
10664.45,139.15,
10665.45,152.66,
10666.45,142.76,
10667.45,133.75,
10668.45,134.65,
10669.45,140.06,
10670.45,145.45999999999998,
10671.45,104.04,
10672.45,96.84,
10673.45,135.56,
10674.45,125.65,
10675.45,118.45,
10676.45,118.45,
10677.45,125.65,
10678.45,152.66,
10679.45,123.85000000000001,
10680.45,118.45,
10681.45,112.14,
10682.45,111.24000000000001,
10683.45,116.64,
10684.45,104.04,
10685.45,108.54,
10686.45,110.34,
10687.45,112.14,
10688.45,112.14,
10689.45,107.64,
10690.45,111.24000000000001,
10691.45,150.85999999999999,
10692.45,125.65,
10693.45,100.44,
10694.45,100.44,
10695.45,107.64,
10696.45,100.44,
10697.45,103.14,
10698.45,109.44,
10699.45,113.04,
10700.45,338.14,
10701.45,102.24000000000001,
10702.45,102.24000000000001,
10703.45,107.64,
10704.45,107.64,
10705.45,113.05,
10706.45,118.45,
10707.45,108.84,
10708.45,100.44,
10709.45,406.57,
10710.45,118.45,
10711.45,140.06,
10712.45,142.76,
10713.45,123.85000000000001,
10714.45,109.44,
10715.45,172.47,
10716.45,138.26,
10717.45,110.34,
10718.45,116.64,
10719.45,104.04,
10720.45,102.24000000000001,
10721.45,99.54,
10722.45,96.84,
10723.45,98.64,
10724.45,100.44,
10725.45,96.84,
10726.45,86.94,
10727.45,107.64,
10728.45,107.64,
10729.45,107.64,
10730.45,96.84,
10731.45,100.44,
10732.45,103.14,
10733.45,103.14,
10734.45,114.84,
10735.45,140.04999999999998,
10736.45,139.15,ANCC
10737.45,107.64,ANCC
10738.45,106.74000000000001,ANCC
10739.45,100.44,ANCC
