MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10984.0,3007274.18,1105424.14,-8825.64,-9353.13,-9509.36,-9582.3,-9716.86,-9760.89,-9880.98,11040.19,,11040.19
10985.0,3007274.14,1105424.14,-8826.64,-9353.13,-9509.35,-9582.29,-9716.85,-9760.89,-9880.98,11041.2,,11041.2
10986.0,3007274.09,1105424.14,-8827.64,-9353.12,-9509.35,-9582.29,-9716.84,-9760.88,-9880.97,11042.2,,11042.2
10987.0,3007274.05,1105424.14,-8828.64,-9353.12,-9509.34,-9582.28,-9716.84,-9760.87,-9880.96,11043.2,,11043.2
10988.0,3007274.0,1105424.14,-8829.64,-9353.11,-9509.34,-9582.28,-9716.83,-9760.87,-9880.96,11044.21,,11044.21
10989.0,3007273.96,1105424.14,-8830.64,-9353.11,-9509.33,-9582.27,-9716.83,-9760.86,-9880.95,11045.21,,11045.21
10990.0,3007273.92,1105424.14,-8831.64,-9353.1,-9509.33,-9582.27,-9716.82,-9760.86,-9880.95,11046.22,,11046.22
10991.0,3007273.87,1105424.14,-8832.63,-9353.1,-9509.32,-9582.26,-9716.82,-9760.85,-9880.94,11047.22,,11047.22
10992.0,3007273.83,1105424.15,-8833.63,-9353.09,-9509.31,-9582.26,-9716.81,-9760.85,-9880.94,11048.22,,11048.22
10993.0,3007273.79,1105424.15,-8834.63,-9353.09,-9509.31,-9582.25,-9716.81,-9760.84,-9880.93,11049.23,,11049.23
10994.0,3007273.74,1105424.15,-8835.63,-9353.08,-9509.3,-9582.25,-9716.8,-9760.84,-9880.93,11050.23,,11050.23
10995.0,3007273.7,1105424.15,-8836.63,-9353.08,-9509.3,-9582.24,-9716.8,-9760.83,-9880.92,11051.240000000002,,11051.240000000002
10996.0,3007273.66,1105424.15,-8837.63,-9353.07,-9509.29,-9582.24,-9716.79,-9760.83,-9880.92,11052.240000000002,,11052.240000000002
10997.0,3007273.61,1105424.15,-8838.63,-9353.07,-9509.29,-9582.23,-9716.79,-9760.82,-9880.91,11053.240000000002,,11053.240000000002
10998.0,3007273.57,1105424.15,-8839.63,-9353.06,-9509.28,-9582.23,-9716.78,-9760.82,-9880.91,11054.25,,11054.25
10999.0,3007273.53,1105424.15,-8840.63,-9353.06,-9509.28,-9582.22,-9716.78,-9760.81,-9880.9,11055.25,,11055.25
11000.0,3007273.49,1105424.15,-8841.63,-9353.05,-9509.27,-9582.22,-9716.77,-9760.81,-9880.9,11056.26,,11056.26
11001.0,3007273.44,1105424.15,-8842.63,-9353.05,-9509.27,-9582.21,-9716.77,-9760.8,-9880.89,11057.26,,11057.26
11002.0,3007273.4,1105424.15,-8843.62,-9353.04,-9509.27,-9582.21,-9716.76,-9760.8,-9880.89,11058.27,,11058.27
11003.0,3007273.36,1105424.15,-8844.62,-9353.04,-9509.26,-9582.2,-9716.76,-9760.79,-9880.88,11059.27,,11059.27
11004.0,3007273.32,1105424.15,-8845.62,-9353.03,-9509.26,-9582.2,-9716.75,-9760.79,-9880.88,11060.27,,11060.27
11005.0,3007273.28,1105424.15,-8846.62,-9353.03,-9509.25,-9582.19,-9716.75,-9760.78,-9880.87,11061.28,,11061.28
11006.0,3007273.24,1105424.15,-8847.62,-9353.02,-9509.25,-9582.19,-9716.74,-9760.78,-9880.87,11062.28,,11062.28
11007.0,3007273.2,1105424.15,-8848.62,-9353.02,-9509.24,-9582.18,-9716.74,-9760.78,-9880.87,11063.28,,11063.28
11008.0,3007273.16,1105424.15,-8849.62,-9353.01,-9509.24,-9582.18,-9716.74,-9760.77,-9880.86,11064.29,,11064.29
11009.0,3007273.12,1105424.15,-8850.62,-9353.01,-9509.23,-9582.17,-9716.73,-9760.77,-9880.86,11065.29,,11065.29
11010.0,3007273.08,1105424.15,-8851.62,-9353.0,-9509.23,-9582.17,-9716.73,-9760.76,-9880.85,11066.3,,11066.3
11011.0,3007273.04,1105424.15,-8852.62,-9353.0,-9509.22,-9582.16,-9716.72,-9760.76,-9880.85,11067.3,,11067.3
11012.0,3007273.0,1105424.15,-8853.62,-9352.99,-9509.22,-9582.16,-9716.72,-9760.75,-9880.84,11068.3,,11068.3
11013.0,3007272.96,1105424.15,-8854.62,-9352.99,-9509.21,-9582.16,-9716.71,-9760.75,-9880.84,11069.31,,11069.31
11014.0,3007272.92,1105424.15,-8855.61,-9352.99,-9509.21,-9582.15,-9716.71,-9760.74,-9880.83,11070.31,,11070.31
11015.0,3007272.88,1105424.15,-8856.61,-9352.98,-9509.2,-9582.15,-9716.7,-9760.74,-9880.83,11071.320000000002,,11071.320000000002
11016.0,3007272.84,1105424.16,-8857.61,-9352.98,-9509.2,-9582.14,-9716.7,-9760.73,-9880.82,11072.320000000002,,11072.320000000002
11017.0,3007272.8,1105424.16,-8858.61,-9352.97,-9509.19,-9582.14,-9716.69,-9760.73,-9880.82,11073.320000000002,,11073.320000000002
11018.0,3007272.76,1105424.16,-8859.61,-9352.97,-9509.19,-9582.13,-9716.69,-9760.72,-9880.81,11074.33,,11074.33
11019.0,3007272.73,1105424.16,-8860.61,-9352.96,-9509.19,-9582.13,-9716.68,-9760.72,-9880.81,11075.33,,11075.33
11020.0,3007272.69,1105424.16,-8861.61,-9352.96,-9509.18,-9582.12,-9716.68,-9760.72,-9880.81,11076.33,,11076.33
11021.0,3007272.65,1105424.16,-8862.61,-9352.95,-9509.18,-9582.12,-9716.68,-9760.71,-9880.8,11077.34,,11077.34
