MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11554.0,2999292.44,1089711.34,-9352.61,-9393.1,-9537.78,-9569.87,-9685.64,-9722.02,-9859.61,11814.72,105.75471566673724,11814.72
11555.0,2999292.5,1089711.17,-9353.6,-9393.09,-9537.77,-9569.86,-9685.62,-9722.01,-9859.6,11815.71,113.5000135283154,11815.71
11556.0,2999292.57,1089710.99,-9354.58,-9393.07,-9537.75,-9569.84,-9685.61,-9721.99,-9859.59,11816.7,123.71543341061304,11816.7
11557.0,2999292.63,1089710.81,-9355.56,-9393.06,-9537.74,-9569.83,-9685.6,-9721.98,-9859.58,11817.69,127.66134867252516,11817.69
11558.0,2999292.7,1089710.63,-9356.54,-9393.05,-9537.73,-9569.82,-9685.59,-9721.97,-9859.56,11818.69,125.10749370195074,11818.69
11559.0,2999292.76,1089710.44,-9357.52,-9393.04,-9537.72,-9569.81,-9685.57,-9721.96,-9859.55,11819.68,118.14719224526227,11819.68
11560.0,2999292.83,1089710.26,-9358.5,-9393.02,-9537.7,-9569.79,-9685.56,-9721.94,-9859.54,11820.67,117.67619440232848,11820.67
11561.0,2999292.9,1089710.07,-9359.48,-9393.01,-9537.69,-9569.78,-9685.55,-9721.93,-9859.53,11821.67,119.5287859178681,11821.67
11562.0,2999292.97,1089709.89,-9360.46,-9393.0,-9537.68,-9569.77,-9685.54,-9721.92,-9859.52,11822.66,118.60772346946425,11822.66
11563.0,2999293.04,1089709.7,-9361.44,-9392.99,-9537.67,-9569.76,-9685.52,-9721.91,-9859.5,11823.65,116.28413411099078,11823.65
11564.0,2999293.11,1089709.51,-9362.42,-9392.98,-9537.66,-9569.75,-9685.51,-9721.9,-9859.49,11824.65,116.04340188015794,11824.65
11565.0,2999293.19,1089709.32,-9363.4,-9392.96,-9537.64,-9569.73,-9685.5,-9721.88,-9859.48,11825.64,118.82752246283331,11825.64
11566.0,2999293.26,1089709.13,-9364.38,-9392.95,-9537.63,-9569.72,-9685.49,-9721.87,-9859.46,11826.63,118.5867902320005,11826.63
11567.0,2999293.33,1089708.93,-9365.36,-9392.94,-9537.62,-9569.71,-9685.47,-9721.86,-9859.45,11827.62,118.13672562653042,11827.62
11568.0,2999293.41,1089708.74,-9366.33,-9392.92,-9537.6,-9569.69,-9685.46,-9721.84,-9859.44,11828.61,118.59725685073236,11828.61
11569.0,2999293.48,1089708.54,-9367.31,-9392.91,-9537.59,-9569.68,-9685.45,-9721.83,-9859.42,11829.6,124.175964634815,11829.6
11570.0,2999293.56,1089708.34,-9368.29,-9392.9,-9537.58,-9569.67,-9685.43,-9721.82,-9859.41,11830.59,121.86284189507342,11830.59
