MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10055.0,2974547.14,1096280.58,-7809.6,-8486.22,-8617.74,-8701.89,-8819.42,-8863.95,-8974.13,10047.17,146.61842672065563,10047.17
10056.0,2974547.14,1096280.58,-7810.6,-8486.22,-8617.74,-8701.88,-8819.42,-8863.94,-8974.12,10048.17,148.24023824434798,10048.17
10057.0,2974547.13,1096280.58,-7811.6,-8486.21,-8617.73,-8701.88,-8819.41,-8863.94,-8974.12,10049.18,148.39575441785274,10049.18
10058.0,2974547.13,1096280.57,-7812.6,-8486.21,-8617.73,-8701.87,-8819.41,-8863.93,-8974.11,10050.18,147.01832545252498,10050.18
10059.0,2974547.13,1096280.57,-7813.6,-8486.2,-8617.72,-8701.87,-8819.4,-8863.92,-8974.11,10051.19,144.3301173105143,10051.19
10060.0,2974547.13,1096280.56,-7814.6,-8486.2,-8617.72,-8701.86,-8819.4,-8863.92,-8974.1,10052.2,,10052.2
10061.0,2974547.12,1096280.56,-7815.6,-8486.19,-8617.71,-8701.86,-8819.39,-8863.91,-8974.09,10053.2,,10053.2
10062.0,2974547.12,1096280.55,-7816.6,-8486.19,-8617.71,-8701.85,-8819.39,-8863.91,-8974.09,10054.21,,10054.21
10063.0,2974547.12,1096280.55,-7817.6,-8486.18,-8617.7,-8701.85,-8819.38,-8863.9,-8974.08,10055.21,130.13371232915225,10055.21
10064.0,2974547.12,1096280.54,-7818.6,-8486.18,-8617.7,-8701.84,-8819.38,-8863.9,-8974.08,10056.22,127.54547887010894,10056.22
10065.0,2974547.11,1096280.54,-7819.6,-8486.17,-8617.69,-8701.84,-8819.37,-8863.89,-8974.07,10057.22,126.279132885856,10057.22
10066.0,2974547.11,1096280.54,-7820.6,-8486.17,-8617.69,-8701.83,-8819.37,-8863.89,-8974.07,10058.23,126.47908225179066,10058.23
10067.0,2974547.11,1096280.53,-7821.6,-8486.16,-8617.68,-8701.83,-8819.36,-8863.88,-8974.06,10059.23,127.90094440954836,10059.23
10068.0,2974547.11,1096280.53,-7822.6,-8486.16,-8617.68,-8701.82,-8819.36,-8863.88,-8974.06,10060.240000000002,129.72270529917543,10060.240000000002
10069.0,2974547.1,1096280.52,-7823.6,-8486.15,-8617.67,-8701.82,-8819.35,-8863.87,-8974.06,10061.240000000002,131.1001342645032,10061.240000000002
