MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10111.0,2956107.93,1085351.49,-7928.65,-8136.92,-8280.72,-8360.12,-8458.47,-8497.22,-8607.12,10357.98,177.863997578344,10357.98
10112.0,2956107.91,1085351.52,-7929.65,-8137.309999999999,-8281.11,-8360.51,-8458.85,-8497.6,-8607.51,10358.6,134.17944095065815,10358.6
10113.0,2956107.89,1085351.55,-7930.65,-8137.69,-8281.49,-8360.89,-8459.23,-8497.98,-8607.89,10359.22,,10359.22
10114.0,2956107.87,1085351.57,-7931.65,-8138.07,-8281.87,-8361.27,-8459.62,-8498.37,-8608.27,10359.83,,10359.83
10115.0,2956107.85,1085351.6,-7932.65,-8138.450000000001,-8282.25,-8361.65,-8460.0,-8498.75,-8608.65,10360.45,117.84265836737995,10360.45
10116.0,2956107.83,1085351.62,-7933.65,-8138.84,-8282.64,-8362.04,-8460.38,-8499.13,-8609.04,10361.070000000002,123.28825256180605,10361.070000000002
10117.0,2956107.81,1085351.65,-7934.65,-8139.219999999999,-8283.02,-8362.42,-8460.76,-8499.51,-8609.42,10361.68,,10361.68
10118.0,2956107.79,1085351.67,-7935.65,-8139.6,-8283.4,-8362.8,-8461.15,-8499.9,-8609.8,10362.3,117.84265836737995,10362.3
10119.0,2956107.77,1085351.69,-7936.65,-8139.98,-8283.78,-8363.18,-8461.53,-8500.28,-8610.18,10362.92,,10362.92
10120.0,2956107.75,1085351.72,-7937.65,-8140.370000000001,-8284.17,-8363.57,-8461.91,-8500.66,-8610.57,10363.53,123.28825256180605,10363.53
10121.0,2956107.73,1085351.74,-7938.65,-8140.75,-8284.55,-8363.95,-8462.29,-8501.04,-8610.95,10364.15,,10364.15
10122.0,2956107.71,1085351.77,-7939.65,-8141.110000000001,-8284.91,-8364.31,-8462.65,-8501.4,-8611.31,10364.79,134.17944095065815,10364.79
10123.0,2956107.7,1085351.79,-7940.65,-8141.469999999999,-8285.27,-8364.67,-8463.01,-8501.77,-8611.67,10365.43,,10365.43
10124.0,2956107.68,1085351.82,-7941.65,-8141.83,-8285.63,-8365.03,-8463.38,-8502.13,-8612.03,10366.070000000002,123.28825256180605,10366.070000000002
10125.0,2956107.66,1085351.84,-7942.65,-8142.19,-8285.99,-8365.39,-8463.74,-8502.49,-8612.39,10366.71,,10366.71
10126.0,2956107.64,1085351.86,-7943.65,-8142.549999999999,-8286.35,-8365.75,-8464.1,-8502.85,-8612.75,10367.35,120.0208960451504,10367.35
10127.0,2956107.62,1085351.89,-7944.65,-8142.91,-8286.71,-8366.11,-8464.46,-8503.21,-8613.11,10367.98,122.98329928691815,10367.98
10128.0,2956107.6,1085351.91,-7945.65,-8143.27,-8287.07,-8366.47,-8464.82,-8503.57,-8613.47,10368.62,125.46649023957644,10368.62
10129.0,2956107.59,1085351.93,-7946.65,-8143.629999999999,-8287.43,-8366.83,-8465.18,-8503.93,-8613.83,10369.26,,10369.26
10130.0,2956107.57,1085351.96,-7947.65,-8143.99,-8287.79,-8367.19,-8465.54,-8504.29,-8614.19,10369.9,,10369.9
10131.0,2956107.55,1085351.98,-7948.65,-8144.360000000001,-8288.16,-8367.56,-8465.9,-8504.65,-8614.56,10370.54,,10370.54
10132.0,2956107.53,1085352.0,-7949.65,-8144.69,-8288.49,-8367.89,-8466.24,-8504.99,-8614.89,10371.2,114.57530185072432,10371.2
10133.0,2956107.52,1085352.02,-7950.639999999999,-8145.030000000001,-8288.83,-8368.23,-8466.58,-8505.33,-8615.23,10371.86,,10371.86
10134.0,2956107.5,1085352.05,-7951.639999999999,-8145.370000000001,-8289.17,-8368.57,-8466.92,-8505.67,-8615.57,10372.52,,10372.52
10135.0,2956107.48,1085352.07,-7952.639999999999,-8145.709999999999,-8289.51,-8368.91,-8467.26,-8506.01,-8615.91,10373.18,,10373.18
10136.0,2956107.46,1085352.09,-7953.639999999999,-8146.049999999999,-8289.85,-8369.25,-8467.6,-8506.35,-8616.25,10373.84,128.73384675623208,10373.84
10137.0,2956107.45,1085352.11,-7954.639999999999,-8146.389999999999,-8290.19,-8369.59,-8467.93,-8506.69,-8616.59,10374.5,,10374.5
10138.0,2956107.43,1085352.14,-7955.639999999999,-8146.73,-8290.53,-8369.93,-8468.27,-8507.02,-8616.93,10375.16,123.46251157602764,10375.16
10139.0,2956107.41,1085352.16,-7956.639999999999,-8147.07,-8290.87,-8370.27,-8468.61,-8507.36,-8617.27,10375.83,120.0208960451504,10375.83
10140.0,2956107.4,1085352.18,-7957.639999999999,-8147.41,-8291.21,-8370.61,-8468.95,-8507.7,-8617.61,10376.490000000002,123.28825256180605,10376.490000000002
10141.0,2956107.38,1085352.2,-7958.639999999999,-8147.75,-8291.55,-8370.95,-8469.29,-8508.04,-8617.95,10377.15,,10377.15
10142.0,2956107.36,1085352.22,-7959.639999999999,-8148.059999999999,-8291.86,-8371.26,-8469.61,-8508.36,-8618.26,10377.83,,10377.83
10143.0,2956107.35,1085352.24,-7960.639999999999,-8148.379999999999,-8292.18,-8371.58,-8469.92,-8508.68,-8618.58,10378.51,,10378.51
10144.0,2956107.33,1085352.27,-7961.639999999999,-8148.700000000001,-8292.5,-8371.9,-8470.24,-8508.99,-8618.9,10379.19,,10379.19
10145.0,2956107.31,1085352.29,-7962.639999999999,-8149.01,-8292.81,-8372.21,-8470.56,-8509.31,-8619.21,10379.88,,10379.88
10146.0,2956107.3,1085352.31,-7963.639999999999,-8149.33,-8293.13,-8372.53,-8470.88,-8509.63,-8619.53,10380.56,120.859517551092,10380.56
10147.0,2956107.28,1085352.33,-7964.639999999999,-8149.65,-8293.45,-8372.85,-8471.19,-8509.94,-8619.85,10381.240000000002,120.0208960451504,10381.240000000002
10148.0,2956107.27,1085352.35,-7965.639999999999,-8149.969999999999,-8293.77,-8373.17,-8471.51,-8510.26,-8620.17,10381.92,123.12488473597324,10381.92
10149.0,2956107.25,1085352.37,-7966.639999999999,-8150.280000000001,-8294.08,-8373.48,-8471.83,-8510.58,-8620.48,10382.61,125.46649023957644,10382.61
10150.0,2956107.24,1085352.39,-7967.639999999999,-8150.6,-8294.4,-8373.8,-8472.14,-8510.9,-8620.8,10383.29,117.84265836737995,10383.29
10151.0,2956107.22,1085352.41,-7968.639999999999,-8150.92,-8294.72,-8374.12,-8472.46,-8511.21,-8621.12,10383.97,,10383.97
10152.0,2956107.21,1085352.43,-7969.639999999999,-8151.209999999999,-8295.01,-8374.41,-8472.76,-8511.51,-8621.41,10384.68,,10384.68
10153.0,2956107.19,1085352.45,-7970.639999999999,-8151.51,-8295.31,-8374.71,-8473.05,-8511.8,-8621.71,10385.38,123.28825256180605,10385.38
10154.0,2956107.18,1085352.47,-7971.639999999999,-8151.799999999999,-8295.6,-8375.0,-8473.35,-8512.1,-8622.0,10386.08,121.52388004281198,10386.08
10155.0,2956107.16,1085352.49,-7972.639999999999,-8152.1,-8295.9,-8375.3,-8473.64,-8512.39,-8622.3,10386.79,120.0208960451504,10386.79
10156.0,2956107.15,1085352.51,-7973.639999999999,-8152.389999999999,-8296.19,-8375.59,-8473.94,-8512.69,-8622.59,10387.490000000002,,10387.490000000002
10157.0,2956107.13,1085352.53,-7974.639999999999,-8152.69,-8296.49,-8375.89,-8474.23,-8512.98,-8622.89,10388.2,,10388.2
10158.0,2956107.12,1085352.55,-7975.639999999999,-8152.98,-8296.78,-8376.18,-8474.53,-8513.28,-8623.18,10388.9,,10388.9
10159.0,2956107.1,1085352.57,-7976.639999999999,-8153.280000000001,-8297.08,-8376.48,-8474.82,-8513.58,-8623.48,10389.61,,10389.61
10160.0,2956107.09,1085352.59,-7977.639999999999,-8153.57,-8297.37,-8376.77,-8475.12,-8513.87,-8623.77,10390.31,123.28825256180605,10390.31
10161.0,2956107.07,1085352.6,-7978.639999999999,-8153.870000000001,-8297.67,-8377.07,-8475.41,-8514.17,-8624.07,10391.02,,10391.02
10162.0,2956107.06,1085352.62,-7979.629999999999,-8154.139999999999,-8297.94,-8377.34,-8475.69,-8514.44,-8624.34,10391.740000000002,,10391.740000000002
10163.0,2956107.05,1085352.64,-7980.629999999999,-8154.42,-8298.22,-8377.62,-8475.96,-8514.71,-8624.62,10392.47,117.84265836737995,10392.47
10164.0,2956107.03,1085352.66,-7981.629999999999,-8154.69,-8298.49,-8377.89,-8476.24,-8514.99,-8624.89,10393.19,,10393.19
10165.0,2956107.02,1085352.68,-7982.629999999999,-8154.959999999999,-8298.76,-8378.16,-8476.51,-8515.26,-8625.16,10393.92,119.19316572759762,10393.92
10166.0,2956107.01,1085352.7,-7983.629999999999,-8155.24,-8299.04,-8378.44,-8476.78,-8515.53,-8625.44,10394.65,120.0208960451504,10394.65
10167.0,2956106.99,1085352.71,-7984.629999999999,-8155.51,-8299.31,-8378.71,-8477.06,-8515.81,-8625.71,10395.37,118.77930056882124,10395.37
10168.0,2956106.98,1085352.73,-7985.629999999999,-8155.780000000001,-8299.58,-8378.98,-8477.33,-8516.08,-8625.98,10396.1,122.78725789591884,10396.1
10169.0,2956106.97,1085352.75,-7986.629999999999,-8156.059999999999,-8299.86,-8379.26,-8477.6,-8516.35,-8626.26,10396.83,128.73384675623208,10396.83
10170.0,2956106.95,1085352.77,-7987.629999999999,-8156.33,-8300.13,-8379.53,-8477.88,-8516.63,-8626.53,10397.55,,10397.55
10171.0,2956106.94,1085352.79,-7988.629999999999,-8156.610000000001,-8300.41,-8379.81,-8478.15,-8516.9,-8626.81,10398.28,,10398.28
