MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11848.0,3025656.44,1093768.97,-9801.21,-10202.34,-10321.17,-10395.67,-10493.59,-10541.38,-10687.24,11716.740000000002,100.76507265168064,11716.740000000002
11849.0,3025656.42,1093768.96,-9802.21,-10202.34,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11717.740000000002,106.22630400687268,11717.740000000002
11850.0,3025656.4,1093768.96,-9803.21,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11718.740000000002,119.54742519483128,11718.740000000002
11851.0,3025656.38,1093768.95,-9804.21,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11719.740000000002,151.20115046139534,11719.740000000002
11852.0,3025656.36,1093768.94,-9805.21,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11720.73,134.77462320871967,11720.73
11853.0,3025656.34,1093768.93,-9806.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11721.73,115.86377110427038,11721.73
11854.0,3025656.32,1093768.93,-9807.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11722.73,,11722.73
11855.0,3025656.3,1093768.92,-9808.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11723.73,123.94853516930958,11723.73
11856.0,3025656.28,1093768.91,-9809.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11724.73,,11724.73
11857.0,3025656.26,1093768.91,-9810.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.24,11725.73,111.58045239431584,11725.73
11858.0,3025656.24,1093768.9,-9811.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.25,11726.73,130.85538658911128,11726.73
11859.0,3025656.22,1093768.89,-9812.2,-10202.35,-10321.17,-10395.67,-10493.6,-10541.38,-10687.25,11727.73,,11727.73
11860.0,3025656.2,1093768.88,-9813.2,-10202.35,-10321.18,-10395.67,-10493.6,-10541.38,-10687.25,11728.73,139.10077510577378,11728.73
11861.0,3025656.18,1093768.88,-9814.2,-10202.35,-10321.18,-10395.67,-10493.6,-10541.39,-10687.25,11729.73,121.21791949171356,11729.73
11862.0,3025656.16,1093768.87,-9815.2,-10202.35,-10321.18,-10395.67,-10493.6,-10541.39,-10687.25,11730.73,,11730.73
