MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11114.0,3009827.83,1110667.1,-8940.99,-9418.34,-9552.7,-9635.25,-9769.78,-9820.32,-9926.2,10456.67,,10456.67
11115.0,3009827.89,1110667.08,-8941.99,-9418.5,-9552.85,-9635.41,-9769.93,-9820.48,-9926.36,10457.52,,10457.52
11116.0,3009827.94,1110667.07,-8942.99,-9418.65,-9553.0,-9635.56,-9770.08,-9820.63,-9926.51,10458.36,109.77948942526092,10458.36
11117.0,3009827.99,1110667.06,-8943.99,-9418.81,-9553.16,-9635.71,-9770.24,-9820.79,-9926.66,10459.21,,10459.21
11118.0,3009828.05,1110667.04,-8944.99,-9418.96,-9553.31,-9635.87,-9770.39,-9820.94,-9926.82,10460.05,,10460.05
11119.0,3009828.1,1110667.03,-8945.98,-9419.11,-9553.46,-9636.02,-9770.55,-9821.09,-9926.97,10460.89,,10460.89
11120.0,3009828.15,1110667.01,-8946.98,-9419.27,-9553.62,-9636.17,-9770.7,-9821.24,-9927.12,10461.740000000002,,10461.740000000002
11121.0,3009828.21,1110667.0,-8947.98,-9419.42,-9553.77,-9636.33,-9770.85,-9821.4,-9927.27,10462.59,112.2108882450302,10462.59
11122.0,3009828.26,1110666.98,-8948.98,-9419.57,-9553.92,-9636.48,-9771.0,-9821.55,-9927.42,10463.44,117.39135608212652,10463.44
11123.0,3009828.31,1110666.97,-8949.98,-9419.72,-9554.07,-9636.63,-9771.15,-9821.7,-9927.58,10464.28,,10464.28
11124.0,3009828.37,1110666.96,-8950.98,-9419.87,-9554.22,-9636.78,-9771.3,-9821.85,-9927.73,10465.13,,10465.13
11125.0,3009828.42,1110666.94,-8951.98,-9420.02,-9554.37,-9636.93,-9771.45,-9822.0,-9927.88,10465.98,,10465.98
11126.0,3009828.47,1110666.93,-8952.97,-9420.17,-9554.52,-9637.08,-9771.61,-9822.15,-9928.03,10466.820000000002,129.82936612496636,10466.820000000002
