MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10589.0,2900286.09,1025301.18,-8515.73,-8738.38,-8981.41,-9047.73,-9097.46,-9118.35,-9243.22,10279.76,122.10251239218292,10279.76
10590.0,2900286.07,1025301.18,-8516.73,-8738.39,-8981.41,-9047.73,-9097.46,-9118.35,-9243.22,10280.76,,10280.76
10591.0,2900286.06,1025301.17,-8517.73,-8738.39,-8981.42,-9047.74,-9097.47,-9118.35,-9243.22,10281.76,,10281.76
10592.0,2900286.05,1025301.17,-8518.73,-8738.39,-8981.42,-9047.74,-9097.47,-9118.35,-9243.22,10282.76,,10282.76
10593.0,2900286.03,1025301.16,-8519.73,-8738.39,-8981.42,-9047.74,-9097.47,-9118.35,-9243.23,10283.75,,10283.75
10594.0,2900286.02,1025301.16,-8520.73,-8738.39,-8981.42,-9047.74,-9097.47,-9118.36,-9243.23,10284.75,,10284.75
10595.0,2900286.01,1025301.15,-8521.73,-8738.4,-8981.42,-9047.74,-9097.47,-9118.36,-9243.23,10285.75,,10285.75
10596.0,2900285.99,1025301.15,-8522.73,-8738.4,-8981.43,-9047.75,-9097.48,-9118.36,-9243.23,10286.75,120.22052029505302,10286.75
10597.0,2900285.98,1025301.14,-8523.73,-8738.4,-8981.43,-9047.75,-9097.48,-9118.36,-9243.23,10287.75,122.10251239218292,10287.75
10598.0,2900285.97,1025301.14,-8524.73,-8738.4,-8981.43,-9047.75,-9097.48,-9118.36,-9243.24,10288.740000000002,,10288.740000000002
10599.0,2900285.95,1025301.13,-8525.73,-8738.4,-8981.43,-9047.75,-9097.48,-9118.37,-9243.24,10289.740000000002,116.5038223343894,10289.740000000002
10600.0,2900285.94,1025301.13,-8526.73,-8738.41,-8981.43,-9047.76,-9097.49,-9118.37,-9243.24,10290.740000000002,120.22052029505302,10290.740000000002
10601.0,2900285.93,1025301.12,-8527.73,-8738.41,-8981.44,-9047.76,-9097.49,-9118.37,-9243.24,10291.73,,10291.73
10602.0,2900285.91,1025301.12,-8528.73,-8738.41,-8981.44,-9047.76,-9097.49,-9118.37,-9243.25,10292.73,,10292.73
10603.0,2900285.9,1025301.12,-8529.73,-8738.42,-8981.44,-9047.77,-9097.49,-9118.38,-9243.25,10293.73,,10293.73
10604.0,2900285.88,1025301.11,-8530.73,-8738.42,-8981.45,-9047.77,-9097.5,-9118.38,-9243.25,10294.72,,10294.72
10605.0,2900285.87,1025301.11,-8531.73,-8738.42,-8981.45,-9047.77,-9097.5,-9118.38,-9243.26,10295.72,,10295.72
10606.0,2900285.85,1025301.11,-8532.73,-8738.43,-8981.45,-9047.78,-9097.5,-9118.39,-9243.26,10296.72,131.4841011376748,10296.72
10607.0,2900285.84,1025301.1,-8533.73,-8738.43,-8981.46,-9047.78,-9097.51,-9118.39,-9243.26,10297.71,122.10251239218292,10297.71
10608.0,2900285.82,1025301.1,-8534.73,-8738.43,-8981.46,-9047.78,-9097.51,-9118.39,-9243.27,10298.71,120.22052029505302,10298.71
10609.0,2900285.81,1025301.1,-8535.73,-8738.44,-8981.46,-9047.78,-9097.51,-9118.4,-9243.27,10299.71,,10299.71
10610.0,2900285.79,1025301.1,-8536.73,-8738.44,-8981.47,-9047.79,-9097.52,-9118.4,-9243.28,10300.7,,10300.7
10611.0,2900285.78,1025301.09,-8537.73,-8738.45,-8981.47,-9047.79,-9097.52,-9118.41,-9243.28,10301.7,,10301.7
10612.0,2900285.76,1025301.09,-8538.73,-8738.45,-8981.48,-9047.8,-9097.53,-9118.41,-9243.28,10302.69,116.5038223343894,10302.69
10613.0,2900285.75,1025301.09,-8539.73,-8738.46,-8981.48,-9047.8,-9097.53,-9118.42,-9243.29,10303.69,,10303.69
10614.0,2900285.73,1025301.09,-8540.73,-8738.46,-8981.49,-9047.81,-9097.54,-9118.42,-9243.29,10304.68,120.22052029505302,10304.68
10615.0,2900285.71,1025301.09,-8541.73,-8738.46,-8981.49,-9047.81,-9097.54,-9118.43,-9243.3,10305.68,,10305.68
10616.0,2900285.7,1025301.09,-8542.73,-8738.47,-8981.5,-9047.82,-9097.55,-9118.43,-9243.3,10306.67,118.33852819792313,10306.67
10617.0,2900285.68,1025301.09,-8543.73,-8738.47,-8981.5,-9047.82,-9097.55,-9118.43,-9243.31,10307.67,,10307.67
10618.0,2900285.67,1025301.09,-8544.73,-8738.48,-8981.51,-9047.83,-9097.56,-9118.44,-9243.31,10308.66,120.22052029505302,10308.66
10619.0,2900285.65,1025301.08,-8545.73,-8738.48,-8981.51,-9047.83,-9097.56,-9118.44,-9243.32,10309.66,,10309.66
10620.0,2900285.63,1025301.08,-8546.73,-8738.49,-8981.52,-9047.84,-9097.57,-9118.45,-9243.32,10310.65,118.33852819792313,10310.65
10621.0,2900285.62,1025301.08,-8547.73,-8738.49,-8981.52,-9047.84,-9097.57,-9118.46,-9243.33,10311.65,,10311.65
10622.0,2900285.6,1025301.08,-8548.73,-8738.5,-8981.53,-9047.85,-9097.58,-9118.46,-9243.33,10312.64,120.22052029505302,10312.64
10623.0,2900285.58,1025301.08,-8549.73,-8738.51,-8981.53,-9047.85,-9097.58,-9118.47,-9243.34,10313.64,,10313.64
10624.0,2900285.56,1025301.08,-8550.73,-8738.51,-8981.54,-9047.86,-9097.59,-9118.47,-9243.35,10314.63,129.6115662872641,10314.63
10625.0,2900285.55,1025301.09,-8551.73,-8738.52,-8981.55,-9047.87,-9097.6,-9118.48,-9243.35,10315.62,,10315.62
10626.0,2900285.53,1025301.09,-8552.73,-8738.52,-8981.55,-9047.87,-9097.6,-9118.49,-9243.36,10316.62,122.10251239218292,10316.62
10627.0,2900285.51,1025301.09,-8553.73,-8738.53,-8981.56,-9047.88,-9097.61,-9118.49,-9243.36,10317.61,,10317.61
10628.0,2900285.49,1025301.09,-8554.73,-8738.54,-8981.56,-9047.88,-9097.61,-9118.5,-9243.37,10318.61,127.72957419013422,10318.61
10629.0,2900285.48,1025301.09,-8555.73,-8738.54,-8981.57,-9047.89,-9097.62,-9118.5,-9243.38,10319.6,,10319.6
10630.0,2900285.46,1025301.09,-8556.73,-8738.55,-8981.58,-9047.9,-9097.63,-9118.51,-9243.38,10320.59,117.72380716117212,10320.59
10631.0,2900285.44,1025301.09,-8557.73,-8738.56,-8981.58,-9047.9,-9097.63,-9118.52,-9243.39,10321.58,120.22052029505302,10321.58
10632.0,2900285.42,1025301.09,-8558.73,-8738.56,-8981.59,-9047.91,-9097.64,-9118.52,-9243.4,10322.58,122.10251239218292,10322.58
10633.0,2900285.4,1025301.1,-8559.73,-8738.57,-8981.6,-9047.92,-9097.65,-9118.53,-9243.4,10323.570000000002,125.85703933972351,10323.570000000002
10634.0,2900285.38,1025301.1,-8560.73,-8738.58,-8981.61,-9047.93,-9097.66,-9118.54,-9243.41,10324.56,123.97504724259362,10324.56
10635.0,2900285.37,1025301.1,-8561.73,-8738.59,-8981.61,-9047.93,-9097.66,-9118.55,-9243.42,10325.55,118.33852819792313,10325.55
10636.0,2900285.35,1025301.1,-8562.73,-8738.59,-8981.62,-9047.94,-9097.67,-9118.55,-9243.43,10326.55,122.10251239218292,10326.55
10637.0,2900285.33,1025301.11,-8563.73,-8738.6,-8981.63,-9047.95,-9097.68,-9118.56,-9243.43,10327.54,123.97504724259362,10327.54
10638.0,2900285.31,1025301.11,-8564.73,-8738.61,-8981.63,-9047.96,-9097.69,-9118.57,-9243.44,10328.53,122.10251239218292,10328.53
10639.0,2900285.29,1025301.11,-8565.73,-8738.61,-8981.64,-9047.96,-9097.69,-9118.58,-9243.45,10329.52,,10329.52
10640.0,2900285.27,1025301.12,-8566.73,-8738.62,-8981.65,-9047.97,-9097.7,-9118.58,-9243.46,10330.52,125.85703933972351,10330.52
10641.0,2900285.25,1025301.12,-8567.72,-8738.63,-8981.66,-9047.98,-9097.71,-9118.59,-9243.47,10331.51,130.54783371246947,10331.51
10642.0,2900285.23,1025301.12,-8568.72,-8738.64,-8981.67,-9047.99,-9097.72,-9118.6,-9243.47,10332.5,123.97504724259362,10332.5
10643.0,2900285.21,1025301.13,-8569.72,-8738.65,-8981.68,-9048.0,-9097.73,-9118.61,-9243.48,10333.490000000002,,10333.490000000002
10644.0,2900285.19,1025301.13,-8570.72,-8738.66,-8981.68,-9048.01,-9097.74,-9118.62,-9243.49,10334.48,123.05769431082678,10334.48
10645.0,2900285.17,1025301.14,-8571.72,-8738.67,-8981.69,-9048.01,-9097.74,-9118.63,-9243.5,10335.47,123.97504724259362,10335.47
10646.0,2900285.15,1025301.14,-8572.72,-8738.68,-8981.7,-9048.02,-9097.75,-9118.64,-9243.51,10336.46,120.22052029505302,10336.46
10647.0,2900285.13,1025301.14,-8573.72,-8738.68,-8981.71,-9048.03,-9097.76,-9118.64,-9243.52,10337.45,,10337.45
10648.0,2900285.11,1025301.15,-8574.72,-8738.69,-8981.72,-9048.04,-9097.77,-9118.65,-9243.53,10338.45,,10338.45
10649.0,2900285.09,1025301.15,-8575.72,-8738.7,-8981.73,-9048.05,-9097.78,-9118.66,-9243.53,10339.44,127.72957419013422,10339.44
10650.0,2900285.07,1025301.16,-8576.72,-8738.71,-8981.74,-9048.06,-9097.79,-9118.67,-9243.54,10340.43,119.29371011656691,10340.43
10651.0,2900285.05,1025301.16,-8577.72,-8738.72,-8981.75,-9048.07,-9097.8,-9118.68,-9243.55,10341.42,125.85703933972351,10341.42
10652.0,2900285.03,1025301.17,-8578.72,-8738.73,-8981.76,-9048.08,-9097.81,-9118.69,-9243.56,10342.41,123.03877981738827,10342.41
10653.0,2900285.01,1025301.18,-8579.72,-8738.74,-8981.77,-9048.09,-9097.82,-9118.7,-9243.57,10343.4,122.10251239218292,10343.4
10654.0,2900284.99,1025301.18,-8580.72,-8738.75,-8981.78,-9048.1,-9097.83,-9118.71,-9243.58,10344.39,130.54783371246947,10344.39
10655.0,2900284.96,1025301.19,-8581.72,-8738.76,-8981.79,-9048.11,-9097.84,-9118.72,-9243.59,10345.38,123.97504724259362,10345.38
10656.0,2900284.94,1025301.19,-8582.72,-8738.77,-8981.8,-9048.12,-9097.85,-9118.73,-9243.6,10346.37,135.2386280852154,10346.37
10657.0,2900284.92,1025301.2,-8583.72,-8738.78,-8981.81,-9048.13,-9097.86,-9118.74,-9243.61,10347.36,123.97504724259362,10347.36
10658.0,2900284.9,1025301.21,-8584.72,-8738.79,-8981.82,-9048.14,-9097.87,-9118.75,-9243.62,10348.34,127.72957419013422,10348.34
10659.0,2900284.88,1025301.22,-8585.72,-8738.8,-8981.83,-9048.15,-9097.88,-9118.76,-9243.63,10349.33,,10349.33
10660.0,2900284.86,1025301.22,-8586.72,-8738.81,-8981.84,-9048.16,-9097.89,-9118.77,-9243.65,10350.320000000002,118.33852819792313,10350.320000000002
10661.0,2900284.83,1025301.23,-8587.72,-8738.82,-8981.85,-9048.17,-9097.9,-9118.78,-9243.66,10351.31,123.97504724259362,10351.31
10662.0,2900284.81,1025301.24,-8588.72,-8738.83,-8981.86,-9048.18,-9097.91,-9118.8,-9243.67,10352.3,121.1662449669776,10352.3
10663.0,2900284.79,1025301.24,-8589.72,-8738.85,-8981.87,-9048.19,-9097.92,-9118.81,-9243.68,10353.29,,10353.29
10664.0,2900284.77,1025301.25,-8590.72,-8738.86,-8981.88,-9048.2,-9097.93,-9118.82,-9243.69,10354.28,,10354.28
10665.0,2900284.74,1025301.26,-8591.72,-8738.87,-8981.89,-9048.22,-9097.95,-9118.83,-9243.7,10355.27,,10355.27
10666.0,2900284.72,1025301.27,-8592.72,-8738.88,-8981.91,-9048.23,-9097.96,-9118.84,-9243.71,10356.25,117.42117526615624,10356.25
10667.0,2900284.7,1025301.28,-8593.72,-8738.89,-8981.92,-9048.24,-9097.97,-9118.85,-9243.72,10357.240000000002,,10357.240000000002
10668.0,2900284.67,1025301.29,-8594.72,-8738.9,-8981.93,-9048.25,-9097.98,-9118.86,-9243.74,10358.23,126.79330676492886,10358.23
10669.0,2900284.65,1025301.29,-8595.72,-8738.91,-8981.94,-9048.26,-9097.99,-9118.87,-9243.75,10359.22,,10359.22
10670.0,2900284.63,1025301.3,-8596.72,-8738.93,-8981.95,-9048.27,-9098.0,-9118.89,-9243.76,10360.21,128.67529886205878,10360.21
10671.0,2900284.6,1025301.31,-8597.72,-8738.94,-8981.97,-9048.29,-9098.02,-9118.9,-9243.77,10361.19,,10361.19
10672.0,2900284.58,1025301.32,-8598.72,-8738.95,-8981.98,-9048.3,-9098.03,-9118.91,-9243.78,10362.18,,10362.18
10673.0,2900284.56,1025301.33,-8599.72,-8738.96,-8981.99,-9048.31,-9098.04,-9118.92,-9243.8,10363.17,114.62183023725947,10363.17
10674.0,2900284.53,1025301.34,-8600.72,-8738.98,-8982.0,-9048.32,-9098.05,-9118.94,-9243.81,10364.15,124.9207719145182,10364.15
10675.0,2900284.51,1025301.35,-8601.72,-8738.99,-8982.02,-9048.34,-9098.07,-9118.95,-9243.82,10365.14,,10365.14
10676.0,2900284.48,1025301.36,-8602.72,-8739.0,-8982.03,-9048.35,-9098.08,-9118.96,-9243.83,10366.13,122.10251239218292,10366.13
10677.0,2900284.46,1025301.37,-8603.72,-8739.01,-8982.04,-9048.36,-9098.09,-9118.97,-9243.85,10367.12,127.72957419013422,10367.12
10678.0,2900284.44,1025301.38,-8604.71,-8739.03,-8982.05,-9048.37,-9098.1,-9118.99,-9243.86,10368.1,124.9207719145182,10368.1
10679.0,2900284.41,1025301.39,-8605.71,-8739.04,-8982.07,-9048.39,-9098.12,-9119.0,-9243.87,10369.09,,10369.09
10680.0,2900284.39,1025301.4,-8606.71,-8739.05,-8982.08,-9048.4,-9098.13,-9119.02,-9243.89,10370.070000000002,,10370.070000000002
10681.0,2900284.36,1025301.41,-8607.71,-8739.07,-8982.1,-9048.42,-9098.15,-9119.03,-9243.9,10371.06,125.85703933972351,10371.06
10682.0,2900284.34,1025301.43,-8608.71,-8739.09,-8982.11,-9048.43,-9098.16,-9119.05,-9243.92,10372.04,,10372.04
10683.0,2900284.31,1025301.44,-8609.71,-8739.1,-8982.13,-9048.45,-9098.18,-9119.06,-9243.93,10373.03,,10373.03
10684.0,2900284.29,1025301.45,-8610.71,-8739.12,-8982.14,-9048.46,-9098.19,-9119.08,-9243.95,10374.01,137.08279119546833,10374.01
10685.0,2900284.26,1025301.46,-8611.71,-8739.13,-8982.16,-9048.48,-9098.21,-9119.09,-9243.97,10374.990000000002,127.72957419013422,10374.990000000002
10686.0,2900284.23,1025301.48,-8612.71,-8739.15,-8982.17,-9048.5,-9098.23,-9119.11,-9243.98,10375.98,,10375.98
10687.0,2900284.2,1025301.49,-8613.71,-8739.16,-8982.19,-9048.51,-9098.24,-9119.12,-9244.0,10376.96,,10376.96
10688.0,2900284.17,1025301.51,-8614.71,-8739.18,-8982.21,-9048.53,-9098.26,-9119.14,-9244.01,10377.95,137.08279119546833,10377.95
10689.0,2900284.14,1025301.53,-8615.71,-8739.19,-8982.22,-9048.54,-9098.27,-9119.15,-9244.03,10378.93,108.99476843930822,10378.93
10690.0,2900284.11,1025301.56,-8616.71,-8739.22,-8982.25,-9048.57,-9098.3,-9119.18,-9244.06,10379.9,129.6115662872641,10379.9
