MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10806.0,3003851.34,1117049.51,-8601.48,-8864.4,-8998.75,-9081.31,-9215.83,-9266.38,-9372.26,10671.1,165.4736857237031,10671.1
10807.0,3003851.35,1117049.48,-8602.48,-8864.37,-8998.72,-9081.28,-9215.8,-9266.35,-9372.23,10672.13,122.97299545352,10672.13
10808.0,3003851.37,1117049.45,-8603.48,-8864.34,-8998.69,-9081.25,-9215.77,-9266.32,-9372.2,10673.16,125.3330832450522,10673.16
10809.0,3003851.38,1117049.41,-8604.48,-8864.31,-8998.66,-9081.22,-9215.74,-9266.29,-9372.17,10674.19,,10674.19
10810.0,3003851.4,1117049.38,-8605.48,-8864.28,-8998.63,-9081.19,-9215.71,-9266.26,-9372.14,10675.22,117.45019892110862,10675.22
10811.0,3003851.41,1117049.34,-8606.48,-8864.25,-8998.6,-9081.16,-9215.68,-9266.23,-9372.11,10676.25,,10676.25
10812.0,3003851.43,1117049.31,-8607.48,-8864.22,-8998.57,-9081.13,-9215.65,-9266.2,-9372.07,10677.28,114.30660020283294,10677.28
10813.0,3003851.44,1117049.28,-8608.48,-8864.19,-8998.54,-9081.1,-9215.62,-9266.17,-9372.04,10678.31,115.8927320789234,10678.31
10814.0,3003851.46,1117049.24,-8609.48,-8864.16,-8998.51,-9081.07,-9215.59,-9266.14,-9372.01,10679.34,122.19903953807828,10679.34
10815.0,3003851.48,1117049.21,-8610.48,-8864.13,-8998.48,-9081.03,-9215.56,-9266.11,-9371.98,10680.37,,10680.37
10816.0,3003851.49,1117049.18,-8611.48,-8864.1,-8998.45,-9081.0,-9215.53,-9266.07,-9371.95,10681.4,134.8307644789915,10681.4
10817.0,3003851.51,1117049.15,-8612.47,-8864.07,-8998.42,-9080.97,-9215.5,-9266.04,-9371.92,10682.43,118.26237488175737,10682.43
10818.0,3003851.52,1117049.11,-8613.47,-8864.04,-8998.39,-9080.94,-9215.47,-9266.01,-9371.89,10683.46,122.9921054761235,10683.46
10819.0,3003851.53,1117049.08,-8614.47,-8864.01,-8998.36,-9080.91,-9215.44,-9265.98,-9371.86,10684.490000000002,132.45156666485582,10684.490000000002
10820.0,3003851.55,1117049.05,-8615.47,-8863.98,-8998.33,-9080.88,-9215.41,-9265.95,-9371.83,10685.52,131.66805573811232,10685.52
10821.0,3003851.56,1117049.01,-8616.47,-8863.95,-8998.3,-9080.85,-9215.38,-9265.92,-9371.8,10686.55,,10686.55
10822.0,3003851.58,1117048.98,-8617.47,-8863.92,-8998.27,-9080.82,-9215.35,-9265.9,-9371.77,10687.58,127.70272604788616,10687.58
10823.0,3003851.59,1117048.95,-8618.47,-8863.89,-8998.24,-9080.79,-9215.32,-9265.87,-9371.74,10688.61,125.3330832450522,10688.61
10824.0,3003851.61,1117048.92,-8619.47,-8863.86,-8998.21,-9080.76,-9215.29,-9265.84,-9371.71,10689.64,,10689.64
10825.0,3003851.62,1117048.88,-8620.47,-8863.83,-8998.18,-9080.73,-9215.26,-9265.81,-9371.68,10690.67,,10690.67
10826.0,3003851.64,1117048.85,-8621.47,-8863.8,-8998.15,-9080.7,-9215.23,-9265.78,-9371.65,10691.7,129.28885792397662,10691.7
10827.0,3003851.65,1117048.82,-8622.47,-8863.77,-8998.12,-9080.67,-9215.2,-9265.75,-9371.62,10692.73,,10692.73
10828.0,3003851.67,1117048.79,-8623.47,-8863.74,-8998.09,-9080.65,-9215.17,-9265.72,-9371.59,10693.75,137.20040728182545,10693.75
10829.0,3003851.68,1117048.76,-8624.47,-8863.71,-8998.06,-9080.62,-9215.14,-9265.69,-9371.56,10694.78,129.3079679465801,10694.78
10830.0,3003851.7,1117048.72,-8625.47,-8863.68,-8998.03,-9080.59,-9215.11,-9265.66,-9371.54,10695.81,115.0901111295764,10695.81
10831.0,3003851.71,1117048.69,-8626.47,-8863.65,-8998.0,-9080.56,-9215.08,-9265.63,-9371.51,10696.84,119.81028671264082,10696.84
10832.0,3003851.73,1117048.66,-8627.47,-8863.62,-8997.97,-9080.53,-9215.05,-9265.6,-9371.48,10697.87,118.23370984785213,10697.87
10833.0,3003851.74,1117048.63,-8628.46,-8863.59,-8997.94,-9080.5,-9215.02,-9265.57,-9371.45,10698.9,108.7742486591198,10698.9
10834.0,3003851.76,1117048.6,-8629.46,-8863.56,-8997.91,-9080.47,-9214.99,-9265.54,-9371.42,10699.93,110.35082552390853,10699.93
10835.0,3003851.77,1117048.57,-8630.46,-8863.53,-8997.88,-9080.44,-9214.97,-9265.51,-9371.39,10700.95,,10700.95
10836.0,3003851.79,1117048.53,-8631.46,-8863.5,-8997.85,-9080.41,-9214.94,-9265.48,-9371.36,10701.98,134.8307644789915,10701.98
10837.0,3003851.8,1117048.5,-8632.46,-8863.48,-8997.83,-9080.38,-9214.91,-9265.46,-9371.33,10703.01,,10703.01
10838.0,3003851.81,1117048.47,-8633.46,-8863.45,-8997.8,-9080.36,-9214.88,-9265.43,-9371.3,10704.04,120.6129076619878,10704.04
10839.0,3003851.83,1117048.44,-8634.46,-8863.42,-8997.77,-9080.33,-9214.85,-9265.4,-9371.28,10705.070000000002,,10705.070000000002
10840.0,3003851.84,1117048.41,-8635.46,-8863.39,-8997.74,-9080.3,-9214.82,-9265.37,-9371.25,10706.09,125.3330832450522,10706.09
10841.0,3003851.86,1117048.38,-8636.46,-8863.36,-8997.71,-9080.27,-9214.79,-9265.34,-9371.22,10707.12,,10707.12
10842.0,3003851.87,1117048.35,-8637.46,-8863.33,-8997.68,-9080.24,-9214.77,-9265.31,-9371.19,10708.15,127.7122810591879,10708.15
10843.0,3003851.89,1117048.32,-8638.46,-8863.31,-8997.66,-9080.21,-9214.74,-9265.29,-9371.16,10709.18,120.5937976393843,10709.18
10844.0,3003851.9,1117048.29,-8639.46,-8863.28,-8997.63,-9080.19,-9214.71,-9265.26,-9371.13,10710.2,,10710.2
10845.0,3003851.91,1117048.26,-8640.46,-8863.25,-8997.6,-9080.16,-9214.68,-9265.23,-9371.11,10711.23,127.7122810591879,10711.23
10846.0,3003851.93,1117048.23,-8641.46,-8863.22,-8997.57,-9080.13,-9214.65,-9265.2,-9371.08,10712.26,126.12614918309744,10712.26
10847.0,3003851.94,1117048.2,-8642.46,-8863.19,-8997.54,-9080.1,-9214.62,-9265.17,-9371.05,10713.29,122.96344044221826,10713.29
10848.0,3003851.96,1117048.17,-8643.46,-8863.17,-8997.52,-9080.07,-9214.6,-9265.14,-9371.02,10714.31,126.12614918309744,10714.31
10849.0,3003851.97,1117048.14,-8644.46,-8863.14,-8997.49,-9080.05,-9214.57,-9265.12,-9370.99,10715.34,130.08192386202185,10715.34
10850.0,3003851.99,1117048.11,-8645.45,-8863.11,-8997.46,-9080.02,-9214.54,-9265.09,-9370.97,10716.37,127.7122810591879,10716.37
10851.0,3003852.0,1117048.08,-8646.45,-8863.08,-8997.43,-9079.99,-9214.51,-9265.06,-9370.94,10717.4,,10717.4
10852.0,3003852.01,1117048.05,-8647.45,-8863.05,-8997.41,-9079.96,-9214.49,-9265.03,-9370.91,10718.42,,10718.42
10853.0,3003852.03,1117048.02,-8648.45,-8863.03,-8997.38,-9079.94,-9214.46,-9265.01,-9370.88,10719.45,126.91921512114266,10719.45
