MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10491.0,2917000.88,1039368.09,-8409.18,-8740.34,-8952.41,-9006.55,-9058.53,-9104.36,-9230.34,10429.52,,10429.52
10492.0,2917000.87,1039368.11,-8410.18,-8740.33,-8952.4,-9006.54,-9058.53,-9104.36,-9230.33,10430.53,,10430.53
10493.0,2917000.86,1039368.13,-8411.18,-8740.33,-8952.4,-9006.54,-9058.52,-9104.36,-9230.33,10431.53,,10431.53
10494.0,2917000.84,1039368.15,-8412.18,-8740.32,-8952.4,-9006.54,-9058.52,-9104.35,-9230.33,10432.53,,10432.53
10495.0,2917000.83,1039368.17,-8413.18,-8740.32,-8952.39,-9006.53,-9058.52,-9104.35,-9230.32,10433.54,,10433.54
10496.0,2917000.82,1039368.19,-8414.18,-8740.32,-8952.39,-9006.53,-9058.51,-9104.35,-9230.32,10434.54,,10434.54
10497.0,2917000.8,1039368.21,-8415.18,-8740.31,-8952.38,-9006.52,-9058.51,-9104.34,-9230.31,10435.54,,10435.54
10498.0,2917000.79,1039368.23,-8416.18,-8740.31,-8952.38,-9006.52,-9058.5,-9104.34,-9230.31,10436.55,,10436.55
10499.0,2917000.78,1039368.25,-8417.18,-8740.31,-8952.38,-9006.52,-9058.5,-9104.33,-9230.31,10437.55,,10437.55
10500.0,2917000.76,1039368.27,-8418.18,-8740.3,-8952.37,-9006.51,-9058.5,-9104.33,-9230.3,10438.55,,10438.55
10501.0,2917000.75,1039368.29,-8419.18,-8740.3,-8952.37,-9006.51,-9058.49,-9104.33,-9230.3,10439.56,,10439.56
10502.0,2917000.73,1039368.31,-8420.18,-8740.29,-8952.37,-9006.51,-9058.49,-9104.32,-9230.3,10440.56,,10440.56
10503.0,2917000.72,1039368.33,-8421.18,-8740.29,-8952.36,-9006.5,-9058.49,-9104.32,-9230.29,10441.56,,10441.56
10504.0,2917000.71,1039368.35,-8422.18,-8740.29,-8952.36,-9006.5,-9058.48,-9104.32,-9230.29,10442.570000000002,,10442.570000000002
10505.0,2917000.69,1039368.37,-8423.18,-8740.28,-8952.35,-9006.49,-9058.48,-9104.31,-9230.28,10443.570000000002,,10443.570000000002
10506.0,2917000.68,1039368.39,-8424.18,-8740.28,-8952.35,-9006.49,-9058.47,-9104.31,-9230.28,10444.58,,10444.58
10507.0,2917000.67,1039368.41,-8425.18,-8740.28,-8952.35,-9006.49,-9058.47,-9104.3,-9230.28,10445.58,,10445.58
10508.0,2917000.65,1039368.43,-8426.18,-8740.27,-8952.34,-9006.48,-9058.47,-9104.3,-9230.27,10446.58,,10446.58
10509.0,2917000.64,1039368.45,-8427.18,-8740.27,-8952.34,-9006.48,-9058.46,-9104.3,-9230.27,10447.59,,10447.59
10510.0,2917000.63,1039368.48,-8428.18,-8740.26,-8952.34,-9006.48,-9058.46,-9104.29,-9230.27,10448.59,,10448.59
10511.0,2917000.61,1039368.5,-8429.18,-8740.26,-8952.33,-9006.47,-9058.46,-9104.29,-9230.26,10449.59,,10449.59
10512.0,2917000.6,1039368.52,-8430.17,-8740.26,-8952.33,-9006.47,-9058.45,-9104.28,-9230.26,10450.6,,10450.6
10513.0,2917000.59,1039368.54,-8431.17,-8740.25,-8952.32,-9006.46,-9058.45,-9104.28,-9230.25,10451.6,,10451.6
10514.0,2917000.57,1039368.56,-8432.17,-8740.25,-8952.32,-9006.46,-9058.44,-9104.28,-9230.25,10452.6,,10452.6
10515.0,2917000.56,1039368.58,-8433.17,-8740.25,-8952.32,-9006.46,-9058.44,-9104.27,-9230.25,10453.61,,10453.61
10516.0,2917000.55,1039368.6,-8434.17,-8740.24,-8952.31,-9006.45,-9058.44,-9104.27,-9230.24,10454.61,,10454.61
10517.0,2917000.53,1039368.62,-8435.17,-8740.24,-8952.31,-9006.45,-9058.43,-9104.27,-9230.24,10455.61,,10455.61
10518.0,2917000.52,1039368.64,-8436.17,-8740.23,-8952.3,-9006.44,-9058.43,-9104.26,-9230.23,10456.62,,10456.62
