MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11276.0,2986961.24,1064693.46,-8990.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11136.03,86.81506602332793,11136.03
11277.0,2986961.24,1064693.47,-8991.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11137.03,87.03257949911453,11137.03
11278.0,2986961.23,1064693.47,-8992.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11138.03,89.52492140916935,11138.03
11279.0,2986961.23,1064693.48,-8993.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11139.03,91.6003624906332,11139.03
11280.0,2986961.22,1064693.48,-8994.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11140.03,92.31634434843076,11140.03
11281.0,2986961.21,1064693.49,-8995.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11141.03,93.60329908016816,11141.03
11282.0,2986961.21,1064693.5,-8996.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11142.03,96.57598324925172,11142.03
11283.0,2986961.2,1064693.51,-8997.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11143.03,98.30702799405344,11143.03
11284.0,2986961.2,1064693.53,-8998.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11144.03,95.42497443988096,11144.03
11285.0,2986961.19,1064693.54,-8999.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11145.03,92.1350831186086,11145.03
11286.0,2986961.18,1064693.55,-9000.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11146.03,91.63661473659762,11146.03
11287.0,2986961.18,1064693.57,-9001.2,-9587.62,-9755.62,-9778.62,-9856.62,-9891.62,-10033.62,11147.03,92.66074068509288,11147.03
