MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12397.0,2946315.02,1015017.04,-10330.67,-10387.61,-10593.09,-10605.88,-10627.88,-10672.65,-10845.03,12367.58,124.55932455138196,12367.58
12398.0,2946315.03,1015017.0,-10331.67,-10387.54,-10593.02,-10605.81,-10627.81,-10672.59,-10844.96,12368.64,,12368.64
12399.0,2946315.05,1015016.97,-10332.67,-10387.48,-10592.96,-10605.75,-10627.75,-10672.52,-10844.9,12369.71,97.93720842013934,12369.71
12400.0,2946315.07,1015016.94,-10333.67,-10387.41,-10592.89,-10605.68,-10627.68,-10672.46,-10844.83,12370.78,97.96700373757778,12370.78
12401.0,2946315.09,1015016.91,-10334.66,-10387.34,-10592.82,-10605.61,-10627.61,-10672.39,-10844.76,12371.84,101.19979567964808,12371.84
12402.0,2946315.11,1015016.87,-10335.66,-10387.28,-10592.76,-10605.55,-10627.55,-10672.32,-10844.7,12372.91,99.38228131590348,12372.91
12403.0,2946315.12,1015016.84,-10336.66,-10387.21,-10592.69,-10605.48,-10627.48,-10672.26,-10844.63,12373.97,98.2947522294006,12373.97
12404.0,2946315.14,1015016.8,-10337.66,-10387.14,-10592.62,-10605.41,-10627.41,-10672.19,-10844.56,12375.04,99.8888017123569,12375.04
12405.0,2946315.16,1015016.77,-10338.66,-10387.08,-10592.56,-10605.35,-10627.35,-10672.12,-10844.5,12376.1,,12376.1
12406.0,2946315.18,1015016.73,-10339.66,-10387.01,-10592.49,-10605.28,-10627.28,-10672.06,-10844.43,12377.17,104.55176889147214,12377.17
12407.0,2946315.2,1015016.69,-10340.66,-10386.95,-10592.43,-10605.22,-10627.22,-10671.99,-10844.37,12378.23,97.40089270624748,12378.23
12408.0,2946315.22,1015016.65,-10341.66,-10386.87,-10592.35,-10605.14,-10627.14,-10671.91,-10844.29,12379.31,91.00979711570297,12379.31
12409.0,2946315.24,1015016.61,-10342.66,-10386.79,-10592.27,-10605.06,-10627.06,-10671.83,-10844.21,12380.39,89.93716568791926,12380.39
12410.0,2946315.25,1015016.57,-10343.66,-10386.71,-10592.19,-10604.98,-10626.98,-10671.75,-10844.13,12381.47,93.46791080437391,12381.47
12411.0,2946315.27,1015016.53,-10344.66,-10386.63,-10592.11,-10604.9,-10626.9,-10671.67,-10844.05,12382.55,101.06571675117512,12382.55
12412.0,2946315.29,1015016.49,-10345.65,-10386.55,-10592.03,-10604.82,-10626.82,-10671.59,-10843.97,12383.63,106.726827064478,12383.63
12413.0,2946315.31,1015016.44,-10346.65,-10386.47,-10591.95,-10604.74,-10626.74,-10671.51,-10843.89,12384.71,106.8162130167933,12384.71
12414.0,2946315.33,1015016.4,-10347.65,-10386.39,-10591.87,-10604.66,-10626.66,-10671.43,-10843.81,12385.79,99.27799770486897,12385.79
12415.0,2946315.35,1015016.36,-10348.65,-10386.31,-10591.79,-10604.58,-10626.58,-10671.35,-10843.73,12386.86,98.20536627708528,12386.86
