MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10329.0,2994436.83,1122149.3,-8139.82,-8359.33,-8470.74,-8560.97,-8721.81,-8773.59,-8868.87,10221.56,,10221.56
10330.0,2994436.82,1122149.29,-8140.82,-8359.33,-8470.74,-8560.96,-8721.8,-8773.58,-8868.86,10222.570000000002,128.650686140478,10222.570000000002
10331.0,2994436.81,1122149.29,-8141.82,-8359.32,-8470.73,-8560.96,-8721.8,-8773.57,-8868.85,10223.58,113.51531130042176,10223.58
10332.0,2994436.8,1122149.28,-8142.82,-8359.31,-8470.72,-8560.95,-8721.79,-8773.57,-8868.85,10224.58,128.7018191635863,10224.58
10333.0,2994436.79,1122149.28,-8143.82,-8359.3,-8470.71,-8560.94,-8721.78,-8773.56,-8868.84,10225.59,,10225.59
10334.0,2994436.78,1122149.27,-8144.82,-8359.29,-8470.7,-8560.93,-8721.77,-8773.55,-8868.83,10226.6,126.1451680081714,10226.6
10335.0,2994436.77,1122149.27,-8145.82,-8359.29,-8470.7,-8560.92,-8721.76,-8773.54,-8868.82,10227.61,135.40024519077335,10227.61
10336.0,2994436.76,1122149.26,-8146.82,-8359.28,-8470.69,-8560.92,-8721.76,-8773.54,-8868.81,10228.61,136.26950658361443,10228.61
10337.0,2994436.75,1122149.25,-8147.82,-8359.27,-8470.68,-8560.91,-8721.75,-8773.53,-8868.81,10229.62,128.650686140478,10229.62
10338.0,2994436.74,1122149.25,-8148.82,-8359.26,-8470.67,-8560.9,-8721.74,-8773.52,-8868.8,10230.63,,10230.63
10339.0,2994436.73,1122149.24,-8149.82,-8359.26,-8470.67,-8560.89,-8721.73,-8773.51,-8868.79,10231.64,,10231.64
10340.0,2994436.72,1122149.24,-8150.82,-8359.25,-8470.66,-8560.89,-8721.73,-8773.51,-8868.78,10232.64,124.91797545357224,10232.64
10341.0,2994436.72,1122149.23,-8151.82,-8359.24,-8470.65,-8560.88,-8721.72,-8773.5,-8868.78,10233.65,,10233.65
10342.0,2994436.71,1122149.22,-8152.82,-8359.23,-8470.64,-8560.87,-8721.71,-8773.49,-8868.77,10234.66,127.42349358587886,10234.66
