MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11548.0,2986796.01,1051358.55,-9407.05,-9963.22,-10138.8,-10141.13,-10221.12,-10257.97,-10401.9,11231.84,116.10791166667494,11231.84
11549.0,2986796.01,1051358.55,-9408.05,-9963.22,-10138.8,-10141.13,-10221.12,-10257.97,-10401.9,11232.84,115.46705631007316,11232.84
11550.0,2986796.01,1051358.56,-9409.05,-9963.22,-10138.8,-10141.13,-10221.12,-10257.97,-10401.91,11233.83,114.22304297078736,11233.83
11551.0,2986796.01,1051358.57,-9410.05,-9963.22,-10138.8,-10141.13,-10221.12,-10257.97,-10401.91,11234.83,119.39700754099876,11234.83
11552.0,2986796.01,1051358.57,-9411.05,-9963.23,-10138.8,-10141.14,-10221.12,-10257.97,-10401.91,11235.83,120.82008340639386,11235.83
11553.0,2986796.01,1051358.58,-9412.05,-9963.23,-10138.8,-10141.14,-10221.12,-10257.98,-10401.91,11236.83,116.10791166667494,11236.83
11554.0,2986796.01,1051358.59,-9413.05,-9963.23,-10138.8,-10141.14,-10221.12,-10257.98,-10401.91,11237.83,,11237.83
11555.0,2986796.01,1051358.59,-9414.05,-9963.23,-10138.81,-10141.14,-10221.12,-10257.98,-10401.91,11238.83,114.91102004478633,11238.83
11556.0,2986796.01,1051358.6,-9415.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.91,11239.83,109.5108712310684,11239.83
11557.0,2986796.01,1051358.61,-9416.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.91,11240.83,,11240.83
11558.0,2986796.01,1051358.61,-9417.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.91,11241.83,,11241.83
11559.0,2986796.02,1051358.62,-9418.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.91,11242.83,112.14026306183158,11242.83
11560.0,2986796.02,1051358.63,-9419.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.91,11243.83,114.22304297078736,11243.83
11561.0,2986796.02,1051358.63,-9420.05,-9963.23,-10138.81,-10141.14,-10221.13,-10257.98,-10401.92,11244.820000000002,120.82008340639386,11244.820000000002
11562.0,2986796.02,1051358.64,-9421.05,-9963.24,-10138.81,-10141.14,-10221.13,-10257.98,-10401.92,11245.820000000002,,11245.820000000002
11563.0,2986796.02,1051358.65,-9422.05,-9963.24,-10138.81,-10141.15,-10221.13,-10257.99,-10401.92,11246.820000000002,125.53225514611282,11246.820000000002
11564.0,2986796.02,1051358.66,-9423.05,-9963.24,-10138.81,-10141.15,-10221.13,-10257.99,-10401.92,11247.820000000002,,11247.820000000002
11565.0,2986796.02,1051358.66,-9424.05,-9963.24,-10138.82,-10141.15,-10221.13,-10257.99,-10401.92,11248.820000000002,122.32797836310392,11248.820000000002
11566.0,2986796.02,1051358.67,-9425.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.92,11249.820000000002,109.5108712310684,11249.820000000002
11567.0,2986796.02,1051358.68,-9426.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.92,11250.820000000002,110.89624972254578,11250.820000000002
11568.0,2986796.02,1051358.68,-9427.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.92,11251.820000000002,116.10791166667494,11251.820000000002
11569.0,2986796.02,1051358.69,-9428.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.92,11252.820000000002,,11252.820000000002
11570.0,2986796.01,1051358.7,-9429.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.92,11253.81,,11253.81
11571.0,2986796.01,1051358.71,-9430.05,-9963.24,-10138.82,-10141.15,-10221.14,-10257.99,-10401.93,11254.81,118.9352147105063,11254.81
11572.0,2986796.01,1051358.71,-9431.05,-9963.25,-10138.82,-10141.16,-10221.14,-10257.99,-10401.93,11255.81,,11255.81
11573.0,2986796.01,1051358.72,-9432.05,-9963.25,-10138.82,-10141.16,-10221.14,-10258.0,-10401.93,11256.81,,11256.81
11574.0,2986796.01,1051358.73,-9433.05,-9963.25,-10138.82,-10141.16,-10221.14,-10258.0,-10401.93,11257.81,,11257.81
11575.0,2986796.01,1051358.74,-9434.05,-9963.25,-10138.83,-10141.16,-10221.14,-10258.0,-10401.93,11258.81,,11258.81
11576.0,2986796.01,1051358.74,-9435.05,-9963.25,-10138.83,-10141.16,-10221.15,-10258.0,-10401.93,11259.81,,11259.81
11577.0,2986796.01,1051358.75,-9436.05,-9963.25,-10138.83,-10141.16,-10221.15,-10258.0,-10401.93,11260.81,,11260.81
11578.0,2986796.01,1051358.76,-9437.05,-9963.25,-10138.83,-10141.16,-10221.15,-10258.0,-10401.93,11261.81,,11261.81
11579.0,2986796.01,1051358.77,-9438.05,-9963.25,-10138.83,-10141.16,-10221.15,-10258.0,-10401.93,11262.8,115.5801484318264,11262.8
11580.0,2986796.01,1051358.77,-9439.05,-9963.25,-10138.83,-10141.16,-10221.15,-10258.0,-10401.94,11263.8,111.39573992695598,11263.8
11581.0,2986796.01,1051358.78,-9440.05,-9963.26,-10138.83,-10141.17,-10221.15,-10258.0,-10401.94,11264.8,120.6221721933257,11264.8
