MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10158.0,2989887.41,1120072.22,-7937.77,-8265.08,-8376.49,-8466.71,-8627.55,-8679.33,-8774.61,10113.76,,10113.76
10159.0,2989887.4,1120072.21,-7938.77,-8265.05,-8376.46,-8466.69,-8627.52,-8679.3,-8774.58,10114.79,153.0462937344302,10114.79
10160.0,2989887.39,1120072.2,-7939.77,-8265.02,-8376.43,-8466.66,-8627.5,-8679.28,-8774.55,10115.820000000002,,10115.820000000002
10161.0,2989887.38,1120072.2,-7940.77,-8264.99,-8376.4,-8466.63,-8627.47,-8679.25,-8774.52,10116.85,149.05664887801385,10116.85
10162.0,2989887.38,1120072.19,-7941.77,-8264.96,-8376.37,-8466.6,-8627.44,-8679.22,-8774.5,10117.88,,10117.88
10163.0,2989887.37,1120072.18,-7942.77,-8264.93,-8376.34,-8466.57,-8627.41,-8679.19,-8774.47,10118.91,,10118.91
10164.0,2989887.36,1120072.18,-7943.77,-8264.9,-8376.31,-8466.54,-8627.38,-8679.16,-8774.44,10119.94,141.07735916518104,10119.94
10165.0,2989887.35,1120072.17,-7944.77,-8264.87,-8376.28,-8466.51,-8627.35,-8679.13,-8774.4,10120.97,,10120.97
10166.0,2989887.34,1120072.16,-7945.77,-8264.84,-8376.25,-8466.48,-8627.31,-8679.09,-8774.37,10122.0,,10122.0
10167.0,2989887.33,1120072.16,-7946.77,-8264.8,-8376.22,-8466.44,-8627.28,-8679.06,-8774.34,10123.03,,10123.03
10168.0,2989887.33,1120072.15,-7947.77,-8264.77,-8376.18,-8466.41,-8627.25,-8679.03,-8774.31,10124.070000000002,,10124.070000000002
10169.0,2989887.32,1120072.14,-7948.77,-8264.74,-8376.15,-8466.38,-8627.22,-8679.0,-8774.28,10125.1,,10125.1
10170.0,2989887.31,1120072.14,-7949.77,-8264.71,-8376.12,-8466.35,-8627.19,-8678.96,-8774.24,10126.13,,10126.13
10171.0,2989887.3,1120072.13,-7950.77,-8264.68,-8376.09,-8466.31,-8627.15,-8678.93,-8774.21,10127.16,,10127.16
10172.0,2989887.29,1120072.12,-7951.76,-8264.64,-8376.05,-8466.28,-8627.12,-8678.9,-8774.18,10128.2,,10128.2
10173.0,2989887.28,1120072.12,-7952.76,-8264.61,-8376.02,-8466.25,-8627.09,-8678.87,-8774.15,10129.23,,10129.23
10174.0,2989887.27,1120072.11,-7953.76,-8264.58,-8375.99,-8466.22,-8627.06,-8678.84,-8774.11,10130.26,151.05696668481212,10130.26
10175.0,2989887.27,1120072.11,-7954.76,-8264.54,-8375.95,-8466.18,-8627.02,-8678.8,-8774.08,10131.3,157.0359385908466,10131.3
10176.0,2989887.26,1120072.1,-7955.76,-8264.5,-8375.91,-8466.14,-8626.98,-8678.76,-8774.04,10132.33,,10132.33
10177.0,2989887.25,1120072.1,-7956.76,-8264.47,-8375.88,-8466.1,-8626.94,-8678.72,-8774.0,10133.37,,10133.37
10178.0,2989887.24,1120072.09,-7957.76,-8264.43,-8375.84,-8466.07,-8626.91,-8678.69,-8773.96,10134.41,141.07735916518104,10134.41
10179.0,2989887.23,1120072.09,-7958.76,-8264.39,-8375.8,-8466.03,-8626.87,-8678.65,-8773.93,10135.45,,10135.45
10180.0,2989887.22,1120072.08,-7959.76,-8264.35,-8375.77,-8465.99,-8626.83,-8678.61,-8773.89,10136.48,,10136.48
10181.0,2989887.21,1120072.07,-7960.76,-8264.32,-8375.73,-8465.96,-8626.79,-8678.57,-8773.85,10137.52,157.0359385908466,10137.52
10182.0,2989887.2,1120072.07,-7961.76,-8264.28,-8375.69,-8465.92,-8626.76,-8678.54,-8773.82,10138.56,,10138.56
10183.0,2989887.19,1120072.07,-7962.76,-8264.24,-8375.65,-8465.88,-8626.72,-8678.5,-8773.78,10139.6,,10139.6
10184.0,2989887.18,1120072.06,-7963.76,-8264.21,-8375.62,-8465.84,-8626.68,-8678.46,-8773.74,10140.63,,10140.63
10185.0,2989887.17,1120072.06,-7964.76,-8264.16,-8375.57,-8465.8,-8626.64,-8678.42,-8773.7,10141.67,,10141.67
10186.0,2989887.17,1120072.05,-7965.76,-8264.12,-8375.53,-8465.76,-8626.6,-8678.38,-8773.66,10142.72,,10142.72
