MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10384.0,2885861.33,1021453.59,-8298.67,-8453.57,-8697.37,-8757.93,-8807.73,-8830.93,-8955.33,10357.03,147.38192552919838,10357.03
10385.0,2885861.25,1021453.58,-8299.67,-8453.56,-8697.37,-8757.93,-8807.73,-8830.93,-8955.33,10358.04,145.04226835478295,10358.04
10386.0,2885861.17,1021453.58,-8300.67,-8453.56,-8697.36,-8757.92,-8807.72,-8830.92,-8955.32,10359.04,148.17279555998672,10359.04
10387.0,2885861.09,1021453.57,-8301.66,-8453.55,-8697.35,-8757.91,-8807.71,-8830.91,-8955.31,10360.04,150.56188211132644,10360.04
10388.0,2885861.01,1021453.57,-8302.66,-8453.54,-8697.35,-8757.91,-8807.71,-8830.91,-8955.31,10361.05,146.59105549841007,10361.05
10389.0,2885860.93,1021453.56,-8303.66,-8453.54,-8697.34,-8757.9,-8807.7,-8830.9,-8955.3,10362.05,148.17279555998672,10362.05
10390.0,2885860.85,1021453.56,-8304.65,-8453.53,-8697.34,-8757.89,-8807.69,-8830.89,-8955.29,10363.05,144.8280743881111,10363.05
10391.0,2885860.78,1021453.56,-8305.65,-8453.52,-8697.33,-8757.89,-8807.69,-8830.89,-8955.29,10364.06,,10364.06
10392.0,2885860.7,1021453.55,-8306.65,-8453.52,-8697.32,-8757.88,-8807.68,-8830.88,-8955.28,10365.06,,10365.06
10393.0,2885860.62,1021453.55,-8307.64,-8453.51,-8697.32,-8757.88,-8807.68,-8830.88,-8955.27,10366.06,139.86866023670936,10366.06
10394.0,2885860.54,1021453.54,-8308.64,-8453.5,-8697.31,-8757.87,-8807.67,-8830.87,-8955.27,10367.070000000002,140.44533630082586,10367.070000000002
10395.0,2885860.46,1021453.54,-8309.64,-8453.5,-8697.3,-8757.86,-8807.66,-8830.86,-8955.26,10368.070000000002,138.68235519052686,10368.070000000002
10396.0,2885860.38,1021453.54,-8310.63,-8453.49,-8697.3,-8757.86,-8807.66,-8830.86,-8955.26,10369.070000000002,137.74319702896574,10369.070000000002
10397.0,2885860.3,1021453.53,-8311.63,-8453.49,-8697.29,-8757.85,-8807.65,-8830.85,-8955.25,10370.08,137.74319702896574,10370.08
10398.0,2885860.23,1021453.53,-8312.63,-8453.48,-8697.28,-8757.84,-8807.64,-8830.84,-8955.24,10371.08,152.37429259854966,10371.08
10399.0,2885860.15,1021453.53,-8313.63,-8453.47,-8697.28,-8757.84,-8807.64,-8830.84,-8955.24,10372.08,151.5998990267361,10372.08
10400.0,2885860.07,1021453.52,-8314.62,-8453.47,-8697.27,-8757.83,-8807.63,-8830.83,-8955.23,10373.09,148.9471891318003,10373.09
10401.0,2885859.99,1021453.52,-8315.62,-8453.46,-8697.27,-8757.82,-8807.62,-8830.82,-8955.22,10374.09,155.10938478835925,10374.09
10402.0,2885859.91,1021453.52,-8316.62,-8453.45,-8697.26,-8757.82,-8807.62,-8830.82,-8955.22,10375.09,154.61509101911656,10375.09
10403.0,2885859.84,1021453.51,-8317.61,-8453.45,-8697.25,-8757.81,-8807.61,-8830.81,-8955.21,10376.1,163.39704365266186,10376.1
10404.0,2885859.76,1021453.51,-8318.61,-8453.44,-8697.25,-8757.81,-8807.61,-8830.81,-8955.2,10377.1,164.10553138857642,10377.1
10405.0,2885859.68,1021453.51,-8319.61,-8453.43,-8697.24,-8757.8,-8807.6,-8830.8,-8955.2,10378.1,160.94205126542315,10378.1
10406.0,2885859.61,1021453.5,-8320.6,-8453.43,-8697.23,-8757.79,-8807.59,-8830.79,-8955.19,10379.11,157.7291417653456,10379.11
10407.0,2885859.53,1021453.5,-8321.6,-8453.42,-8697.23,-8757.79,-8807.59,-8830.79,-8955.19,10380.11,,10380.11
10408.0,2885859.45,1021453.5,-8322.6,-8453.42,-8697.22,-8757.78,-8807.58,-8830.78,-8955.18,10381.11,193.384198986719,10381.11
10409.0,2885859.37,1021453.5,-8323.6,-8453.41,-8697.22,-8757.77,-8807.57,-8830.77,-8955.17,10382.12,192.1484645636123,10382.12
10410.0,2885859.3,1021453.49,-8324.59,-8453.4,-8697.21,-8757.77,-8807.57,-8830.77,-8955.17,10383.12,181.73534249156603,10383.12
10411.0,2885859.22,1021453.49,-8325.59,-8453.4,-8697.2,-8757.76,-8807.56,-8830.76,-8955.16,10384.12,151.89647528828172,10384.12
10412.0,2885859.14,1021453.49,-8326.59,-8453.39,-8697.2,-8757.76,-8807.56,-8830.76,-8955.15,10385.13,167.59854069122483,10385.13
10413.0,2885859.07,1021453.49,-8327.58,-8453.38,-8697.19,-8757.75,-8807.55,-8830.75,-8955.15,10386.13,177.48441607607882,10386.13
10414.0,2885858.99,1021453.49,-8328.58,-8453.38,-8697.18,-8757.74,-8807.54,-8830.74,-8955.14,10387.13,181.33990747617187,10387.13
10415.0,2885858.92,1021453.48,-8329.58,-8453.37,-8697.18,-8757.74,-8807.54,-8830.74,-8955.14,10388.14,135.0575342160804,10388.14
10416.0,2885858.84,1021453.48,-8330.58,-8453.37,-8697.17,-8757.73,-8807.53,-8830.73,-8955.13,10389.14,134.81038733145903,10389.14
10417.0,2885858.76,1021453.48,-8331.57,-8453.36,-8697.17,-8757.72,-8807.52,-8830.72,-8955.12,10390.14,138.6658787315521,10390.14
10418.0,2885858.69,1021453.48,-8332.57,-8453.35,-8697.16,-8757.72,-8807.52,-8830.72,-8955.12,10391.15,137.7102441110162,10391.15
10419.0,2885858.61,1021453.48,-8333.57,-8453.35,-8697.15,-8757.71,-8807.51,-8830.71,-8955.11,10392.15,135.74954549302018,10392.15
10420.0,2885858.54,1021453.48,-8334.56,-8453.34,-8697.15,-8757.71,-8807.51,-8830.71,-8955.11,10393.15,,10393.15
10421.0,2885858.46,1021453.47,-8335.56,-8453.34,-8697.14,-8757.7,-8807.5,-8830.7,-8955.1,10394.16,,10394.16
10422.0,2885858.38,1021453.47,-8336.56,-8453.33,-8697.13,-8757.69,-8807.49,-8830.69,-8955.09,10395.16,,10395.16
10423.0,2885858.31,1021453.47,-8337.56,-8453.32,-8697.13,-8757.69,-8807.49,-8830.69,-8955.09,10396.16,143.345193080383,10396.16
10424.0,2885858.23,1021453.47,-8338.55,-8453.32,-8697.12,-8757.68,-8807.48,-8830.68,-8955.08,10397.17,136.24383926226287,10397.17
10425.0,2885858.16,1021453.47,-8339.55,-8453.31,-8697.12,-8757.68,-8807.48,-8830.68,-8955.07,10398.17,137.47957368536962,10398.17
10426.0,2885858.08,1021453.47,-8340.55,-8453.3,-8697.11,-8757.67,-8807.47,-8830.67,-8955.07,10399.17,143.27928724448398,10399.17
10427.0,2885858.01,1021453.47,-8341.54,-8453.3,-8697.1,-8757.66,-8807.46,-8830.66,-8955.06,10400.18,145.56951504197517,10400.18
10428.0,2885857.93,1021453.47,-8342.54,-8453.29,-8697.1,-8757.66,-8807.46,-8830.66,-8955.06,10401.18,146.4262909086625,10401.18
10429.0,2885857.86,1021453.47,-8343.54,-8453.29,-8697.09,-8757.65,-8807.45,-8830.65,-8955.05,10402.18,,10402.18
10430.0,2885857.79,1021453.47,-8344.54,-8453.28,-8697.09,-8757.65,-8807.45,-8830.64,-8955.04,10403.19,143.345193080383,10403.19
10431.0,2885857.71,1021453.47,-8345.53,-8453.27,-8697.08,-8757.64,-8807.44,-8830.64,-8955.04,10404.19,,10404.19
10432.0,2885857.64,1021453.47,-8346.53,-8453.27,-8697.07,-8757.63,-8807.43,-8830.63,-8955.03,10405.19,137.74319702896574,10405.19
10433.0,2885857.56,1021453.47,-8347.53,-8453.26,-8697.07,-8757.63,-8807.43,-8830.63,-8955.03,10406.2,135.71659257507068,10406.2
10434.0,2885857.49,1021453.47,-8348.52,-8453.26,-8697.06,-8757.62,-8807.42,-8830.62,-8955.02,10407.2,134.13485251349402,10407.2
10435.0,2885857.41,1021453.47,-8349.52,-8453.25,-8697.06,-8757.62,-8807.41,-8830.61,-8955.01,10408.2,140.01694836748217,10408.2
10436.0,2885857.34,1021453.47,-8350.52,-8453.24,-8697.05,-8757.61,-8807.41,-8830.61,-8955.01,10409.21,,10409.21
10437.0,2885857.27,1021453.47,-8351.52,-8453.24,-8697.04,-8757.6,-8807.4,-8830.6,-8955.0,10410.21,137.0676622110007,10410.21
10438.0,2885857.19,1021453.47,-8352.51,-8453.23,-8697.04,-8757.6,-8807.4,-8830.6,-8955.0,10411.21,135.6342102801969,10411.21
