MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
12076.0,3005043.98,1072250.81,-9821.0,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12080.16,118.9217949456182,12080.16
12077.0,3005044.16,1072250.52,-9821.94,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12081.1,,12081.1
12078.0,3005044.34,1072250.23,-9822.88,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12082.04,154.6975382634606,12082.04
12079.0,3005044.52,1072249.95,-9823.82,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12082.98,112.81449734283228,12082.98
12080.0,3005044.7,1072249.66,-9824.76,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12083.92,117.05395392750728,12083.92
12081.0,3005044.87,1072249.37,-9825.7,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12084.86,,12084.86
12082.0,3005045.05,1072249.08,-9826.64,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12085.8,169.0822392162152,12085.8
12083.0,3005045.23,1072248.79,-9827.58,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12086.740000000002,136.29814167841772,12086.740000000002
12084.0,3005045.41,1072248.49,-9828.52,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12087.68,99.27458755594522,12087.68
12085.0,3005045.58,1072248.2,-9829.46,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12088.62,99.78611248206688,12088.62
12086.0,3005045.76,1072247.9,-9830.4,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12089.56,99.97212154611113,12089.56
12087.0,3005045.94,1072247.61,-9831.34,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12090.5,98.57705356577932,12090.5
12088.0,3005046.11,1072247.31,-9832.28,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12091.44,96.46895083994458,12091.44
12089.0,3005046.29,1072247.01,-9833.21,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12092.37,96.3294440419114,12092.37
12090.0,3005046.47,1072246.71,-9834.15,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12093.31,95.88767251480633,12093.31
12091.0,3005046.64,1072246.41,-9835.09,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12094.25,,12094.25
12092.0,3005046.82,1072246.11,-9836.03,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12095.18,102.79325901744878,12095.18
12093.0,3005047.0,1072245.81,-9836.96,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12096.12,110.96215708005836,12096.12
12094.0,3005047.17,1072245.51,-9837.9,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12097.06,116.79044108677792,12097.06
12095.0,3005047.35,1072245.21,-9838.84,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12098.0,118.12350604576166,12098.0
12096.0,3005047.52,1072244.9,-9839.77,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12098.93,109.76859891910782,12098.93
12097.0,3005047.7,1072244.6,-9840.71,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12099.87,107.9860120553505,12099.87
12098.0,3005047.87,1072244.29,-9841.65,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12100.8,108.4277835824556,12100.8
12099.0,3005048.05,1072243.98,-9842.58,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12101.740000000002,112.34172430505316,12101.740000000002
12100.0,3005048.22,1072243.67,-9843.52,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12102.67,123.82003363211652,12102.67
12101.0,3005048.4,1072243.36,-9844.45,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12103.61,137.77846381310312,12103.61
12102.0,3005048.57,1072243.05,-9845.38,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12104.54,132.85697399359924,12104.54
12103.0,3005048.74,1072242.74,-9846.32,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12105.47,110.3808787549201,12105.47
12104.0,3005048.92,1072242.43,-9847.25,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12106.41,102.59949957573602,12106.41
12105.0,3005049.09,1072242.11,-9848.19,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12107.34,104.69985192390226,12107.34
12106.0,3005049.26,1072241.8,-9849.12,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12108.28,108.43553396012408,12108.28
12107.0,3005049.44,1072241.48,-9850.05,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12109.21,102.74675675143772,12109.21
12108.0,3005049.61,1072241.17,-9850.99,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12110.14,112.27972128370506,12110.14
12109.0,3005049.78,1072240.85,-9851.92,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12111.070000000002,103.08777336885215,12111.070000000002
12110.0,3005049.96,1072240.53,-9852.85,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12112.0,100.56115024891788,12112.0
12111.0,3005050.13,1072240.21,-9853.78,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12112.93,93.43080279388865,12112.93
12112.0,3005050.3,1072239.89,-9854.71,-9948.91,-10117.65,-10151.84,-10207.03,-10241.61,-10389.56,12113.86,96.794466702022,12113.86
12113.0,3005050.47,1072239.57,-9855.64,-9948.92,-10117.66,-10151.85,-10207.04,-10241.62,-10389.57,12114.8,99.104079247238,12114.8
12114.0,3005050.65,1072239.25,-9856.58,-9948.92,-10117.66,-10151.85,-10207.04,-10241.62,-10389.57,12115.73,117.78248942834722,12115.73
12115.0,3005050.82,1072238.93,-9857.51,-9948.92,-10117.66,-10151.85,-10207.04,-10241.62,-10389.57,12116.66,154.96105110418992,12116.66
12116.0,3005050.99,1072238.6,-9858.44,-9948.92,-10117.66,-10151.85,-10207.04,-10241.62,-10389.57,12117.59,124.68032555332114,12117.59
