MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11378.0,3000263.77,1101705.17,-9129.17,-9240.78,-9379.34,-9454.28,-9583.24,-9624.97,-9741.69,11338.92,151.82184933047597,11338.92
11379.0,3000263.74,1101705.19,-9130.17,-9240.78,-9379.34,-9454.28,-9583.24,-9624.97,-9741.69,11339.92,158.51128911862017,11339.92
11380.0,3000263.72,1101705.21,-9131.17,-9240.78,-9379.34,-9454.28,-9583.24,-9624.97,-9741.69,11340.93,,11340.93
11381.0,3000263.69,1101705.24,-9132.17,-9240.78,-9379.34,-9454.28,-9583.24,-9624.97,-9741.69,11341.93,125.1089857469472,11341.93
11382.0,3000263.66,1101705.26,-9133.17,-9240.78,-9379.33,-9454.28,-9583.23,-9624.97,-9741.69,11342.93,131.79842553509138,11342.93
11383.0,3000263.64,1101705.29,-9134.17,-9240.78,-9379.33,-9454.27,-9583.23,-9624.96,-9741.69,11343.93,145.14737473201447,11343.93
11384.0,3000263.61,1101705.31,-9135.16,-9240.78,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11344.93,,11344.93
11385.0,3000263.58,1101705.34,-9136.16,-9240.78,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11345.93,125.1089857469472,11345.93
11386.0,3000263.55,1101705.37,-9137.16,-9240.77,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11346.93,131.79842553509138,11346.93
11387.0,3000263.52,1101705.39,-9138.16,-9240.77,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11347.93,125.1089857469472,11347.93
11388.0,3000263.48,1101705.42,-9139.16,-9240.77,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11348.93,,11348.93
11389.0,3000263.45,1101705.45,-9140.16,-9240.77,-9379.33,-9454.27,-9583.23,-9624.96,-9741.68,11349.93,,11349.93
11390.0,3000263.42,1101705.48,-9141.16,-9240.77,-9379.33,-9454.27,-9583.22,-9624.96,-9741.68,11350.93,,11350.93
