MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10392.0,2928485.46,1055520.11,-8240.29,-8487.0,-8677.09,-8752.34,-8832.16,-8878.38,-8994.96,10313.92,96.8299555989185,10313.92
10393.0,2928485.42,1055520.16,-8241.29,-8486.95,-8677.04,-8752.29,-8832.12,-8878.34,-8994.91,10314.96,,10314.96
10394.0,2928485.38,1055520.22,-8242.28,-8486.9,-8676.99,-8752.24,-8832.07,-8878.29,-8994.87,10316.01,,10316.01
10395.0,2928485.34,1055520.28,-8243.28,-8486.85,-8676.94,-8752.19,-8832.02,-8878.24,-8994.82,10317.05,98.84042787837456,10317.05
10396.0,2928485.3,1055520.34,-8244.28,-8486.81,-8676.9,-8752.15,-8831.98,-8878.2,-8994.77,10318.1,104.87963724495768,10318.1
10397.0,2928485.26,1055520.4,-8245.28,-8486.76,-8676.85,-8752.1,-8831.93,-8878.15,-8994.72,10319.14,,10319.14
10398.0,2928485.22,1055520.46,-8246.27,-8486.71,-8676.8,-8752.05,-8831.88,-8878.1,-8994.68,10320.19,,10320.19
10399.0,2928485.18,1055520.52,-8247.27,-8486.67,-8676.75,-8752.0,-8831.83,-8878.05,-8994.63,10321.23,,10321.23
10400.0,2928485.14,1055520.58,-8248.27,-8486.62,-8676.71,-8751.96,-8831.79,-8878.01,-8994.58,10322.28,,10322.28
10401.0,2928485.1,1055520.64,-8249.27,-8486.57,-8676.66,-8751.91,-8831.74,-8877.96,-8994.53,10323.320000000002,,10323.320000000002
10402.0,2928485.06,1055520.7,-8250.26,-8486.52,-8676.61,-8751.86,-8831.69,-8877.91,-8994.49,10324.37,106.89010952441372,10324.37
10403.0,2928485.02,1055520.76,-8251.26,-8486.48,-8676.57,-8751.82,-8831.64,-8877.86,-8994.44,10325.41,,10325.41
10404.0,2928484.98,1055520.82,-8252.26,-8486.43,-8676.52,-8751.77,-8831.6,-8877.82,-8994.39,10326.45,108.57329561884204,10326.45
10405.0,2928484.93,1055520.88,-8253.26,-8486.38,-8676.47,-8751.72,-8831.55,-8877.77,-8994.35,10327.5,,10327.5
10406.0,2928484.89,1055520.93,-8254.25,-8486.34,-8676.42,-8751.67,-8831.5,-8877.72,-8994.3,10328.54,,10328.54
10407.0,2928484.85,1055520.99,-8255.25,-8486.29,-8676.38,-8751.63,-8831.46,-8877.68,-8994.25,10329.59,,10329.59
10408.0,2928484.81,1055521.05,-8256.25,-8486.24,-8676.33,-8751.58,-8831.41,-8877.63,-8994.2,10330.63,107.23298076587132,10330.63
10409.0,2928484.77,1055521.11,-8257.25,-8486.19,-8676.28,-8751.53,-8831.36,-8877.58,-8994.16,10331.68,103.2198287351742,10331.68
10410.0,2928484.73,1055521.17,-8258.24,-8486.15,-8676.24,-8751.49,-8831.32,-8877.53,-8994.11,10332.72,,10332.72
10411.0,2928484.69,1055521.23,-8259.24,-8486.1,-8676.19,-8751.44,-8831.27,-8877.49,-8994.06,10333.77,,10333.77
10412.0,2928484.65,1055521.29,-8260.24,-8486.05,-8676.14,-8751.39,-8831.22,-8877.44,-8994.02,10334.81,,10334.81
10413.0,2928484.61,1055521.35,-8261.24,-8486.01,-8676.1,-8751.35,-8831.17,-8877.39,-8993.97,10335.85,,10335.85
10414.0,2928484.57,1055521.4,-8262.23,-8485.96,-8676.05,-8751.3,-8831.13,-8877.35,-8993.92,10336.9,,10336.9
10415.0,2928484.53,1055521.46,-8263.23,-8485.91,-8676.0,-8751.25,-8831.08,-8877.3,-8993.88,10337.94,101.87951388220348,10337.94
10416.0,2928484.49,1055521.52,-8264.23,-8485.87,-8675.96,-8751.21,-8831.03,-8877.25,-8993.83,10338.990000000002,,10338.990000000002
