MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
9966.0,3009377.95,1135426.87,-7918.34,-8467.71,-8576.69,-8674.58,-8836.56,-8886.95,-8992.54,10009.81,,10009.81
9967.0,3009377.91,1135426.89,-7919.34,-8467.64,-8576.62,-8674.51,-8836.49,-8886.88,-8992.47,10010.88,,10010.88
9968.0,3009377.88,1135426.9,-7920.34,-8467.57,-8576.55,-8674.44,-8836.42,-8886.81,-8992.4,10011.95,216.15544852405205,10011.95
9969.0,3009377.85,1135426.91,-7921.33,-8467.5,-8576.48,-8674.37,-8836.35,-8886.74,-8992.33,10013.01,,10013.01
9970.0,3009377.82,1135426.92,-7922.33,-8467.44,-8576.42,-8674.31,-8836.29,-8886.68,-8992.27,10014.08,,10014.08
9971.0,3009377.78,1135426.94,-7923.33,-8467.37,-8576.35,-8674.24,-8836.22,-8886.61,-8992.2,10015.15,,10015.15
9972.0,3009377.75,1135426.95,-7924.33,-8467.3,-8576.28,-8674.17,-8836.15,-8886.54,-8992.13,10016.21,,10016.21
9973.0,3009377.72,1135426.96,-7925.33,-8467.23,-8576.21,-8674.1,-8836.08,-8886.47,-8992.06,10017.28,,10017.28
9974.0,3009377.68,1135426.98,-7926.33,-8467.17,-8576.15,-8674.04,-8836.02,-8886.41,-8992.0,10018.35,157.02895815169686,10018.35
9975.0,3009377.65,1135426.99,-7927.33,-8467.1,-8576.08,-8673.97,-8835.95,-8886.34,-8991.93,10019.41,133.65336893471925,10019.41
9976.0,3009377.61,1135427.0,-7928.33,-8467.03,-8576.01,-8673.9,-8835.88,-8886.27,-8991.86,10020.48,,10020.48
9977.0,3009377.58,1135427.02,-7929.33,-8466.96,-8575.94,-8673.83,-8835.81,-8886.2,-8991.79,10021.55,130.9032996150748,10021.55
9978.0,3009377.54,1135427.03,-7930.33,-8466.89,-8575.87,-8673.76,-8835.74,-8886.13,-8991.72,10022.62,,10022.62
9979.0,3009377.51,1135427.04,-7931.33,-8466.81,-8575.79,-8673.68,-8835.66,-8886.05,-8991.64,10023.69,,10023.69
9980.0,3009377.47,1135427.06,-7932.33,-8466.74,-8575.72,-8673.61,-8835.59,-8885.98,-8991.57,10024.77,134.8358987421663,10024.77
9981.0,3009377.44,1135427.07,-7933.33,-8466.67,-8575.65,-8673.54,-8835.52,-8885.91,-8991.5,10025.84,147.40371553294136,10025.84
9982.0,3009377.4,1135427.09,-7934.33,-8466.6,-8575.58,-8673.47,-8835.45,-8885.84,-8991.43,10026.91,,10026.91
9983.0,3009377.37,1135427.1,-7935.33,-8466.53,-8575.51,-8673.4,-8835.38,-8885.77,-8991.36,10027.98,142.43984041098315,10027.98
9984.0,3009377.33,1135427.11,-7936.32,-8466.45,-8575.43,-8673.32,-8835.3,-8885.69,-8991.28,10029.05,140.52854223383028,10029.05
9985.0,3009377.29,1135427.13,-7937.32,-8466.38,-8575.36,-8673.25,-8835.23,-8885.62,-8991.21,10030.12,,10030.12
9986.0,3009377.26,1135427.14,-7938.32,-8466.31,-8575.29,-8673.18,-8835.16,-8885.55,-8991.14,10031.19,141.42231476271473,10031.19
9987.0,3009377.22,1135427.16,-7939.32,-8466.23,-8575.21,-8673.1,-8835.08,-8885.47,-8991.06,10032.27,144.65364621329692,10032.27
9988.0,3009377.18,1135427.17,-7940.32,-8466.15,-8575.13,-8673.02,-8835.0,-8885.39,-8990.98,10033.35,,10033.35
9989.0,3009377.15,1135427.18,-7941.32,-8466.08,-8575.06,-8672.95,-8834.93,-8885.32,-8990.91,10034.42,,10034.42
9990.0,3009377.11,1135427.2,-7942.32,-8466.0,-8574.98,-8672.87,-8834.85,-8885.24,-8990.83,10035.5,,10035.5
9991.0,3009377.07,1135427.21,-7943.32,-8465.92,-8574.9,-8672.79,-8834.77,-8885.16,-8990.75,10036.58,,10036.58
9992.0,3009377.03,1135427.23,-7944.32,-8465.84,-8574.82,-8672.71,-8834.69,-8885.08,-8990.67,10037.65,,10037.65
9993.0,3009376.99,1135427.24,-7945.32,-8465.77,-8574.75,-8672.64,-8834.62,-8885.01,-8990.6,10038.73,155.65392349187465,10038.73
9994.0,3009376.95,1135427.26,-7946.32,-8465.69,-8574.67,-8672.56,-8834.54,-8884.93,-8990.52,10039.81,,10039.81
9995.0,3009376.92,1135427.28,-7947.32,-8465.61,-8574.59,-8672.48,-8834.46,-8884.85,-8990.44,10040.88,153.4676183827573,10040.88
9996.0,3009376.88,1135427.29,-7948.309999999999,-8465.53,-8574.51,-8672.4,-8834.38,-8884.77,-8990.36,10041.96,151.528819512408,10041.96
9997.0,3009376.84,1135427.31,-7949.309999999999,-8465.45,-8574.43,-8672.32,-8834.3,-8884.69,-8990.28,10043.05,,10043.05
9998.0,3009376.8,1135427.33,-7950.309999999999,-8465.36,-8574.34,-8672.23,-8834.21,-8884.6,-8990.19,10044.13,,10044.13
9999.0,3009376.75,1135427.35,-7951.309999999999,-8465.27,-8574.25,-8672.14,-8834.12,-8884.51,-8990.1,10045.22,158.45899419791195,10045.22
10000.0,3009376.71,1135427.37,-7952.309999999999,-8465.19,-8574.17,-8672.06,-8834.04,-8884.43,-8990.02,10046.3,157.07020919149153,10046.3
10001.0,3009376.67,1135427.38,-7953.309999999999,-8465.1,-8574.08,-8671.97,-8833.95,-8884.34,-8989.93,10047.39,156.8639539925182,10047.39
10002.0,3009376.63,1135427.4,-7954.309999999999,-8465.01,-8573.99,-8671.88,-8833.86,-8884.25,-8989.84,10048.48,146.1386836459049,10048.48
10003.0,3009376.59,1135427.42,-7955.309999999999,-8464.92,-8573.9,-8671.79,-8833.77,-8884.16,-8989.75,10049.56,156.85020364591998,10049.56
10004.0,3009376.55,1135427.44,-7956.309999999999,-8464.84,-8573.82,-8671.71,-8833.69,-8884.08,-8989.67,10050.65,154.05888328648086,10050.65
10005.0,3009376.5,1135427.46,-7957.309999999999,-8464.75,-8573.73,-8671.62,-8833.6,-8883.99,-8989.58,10051.73,155.98393181023195,10051.73
10006.0,3009376.46,1135427.48,-7958.299999999999,-8464.66,-8573.64,-8671.53,-8833.51,-8883.9,-8989.49,10052.820000000002,156.4376932479733,10052.820000000002
10007.0,3009376.42,1135427.5,-7959.299999999999,-8464.57,-8573.55,-8671.44,-8833.42,-8883.81,-8989.4,10053.92,162.5290967909857,10053.92
10008.0,3009376.37,1135427.53,-7960.299999999999,-8464.47,-8573.45,-8671.34,-8833.32,-8883.71,-8989.3,10055.01,161.07156005157415,10055.01
10009.0,3009376.33,1135427.55,-7961.299999999999,-8464.37,-8573.35,-8671.24,-8833.22,-8883.61,-8989.2,10056.11,164.37164323514747,10056.11
10010.0,3009376.29,1135427.57,-7962.299999999999,-8464.28,-8573.26,-8671.15,-8833.13,-8883.52,-8989.11,10057.2,156.02518285002662,10057.2
10011.0,3009376.24,1135427.59,-7963.299999999999,-8464.18,-8573.16,-8671.05,-8833.03,-8883.42,-8989.01,10058.3,157.57897201562574,10058.3
10012.0,3009376.2,1135427.62,-7964.299999999999,-8464.08,-8573.06,-8670.95,-8832.93,-8883.32,-8988.91,10059.39,144.65364621329692,10059.39
10013.0,3009376.15,1135427.64,-7965.299999999999,-8463.99,-8572.97,-8670.86,-8832.84,-8883.23,-8988.82,10060.490000000002,139.33226207978495,10060.490000000002
10014.0,3009376.11,1135427.66,-7966.290000000001,-8463.89,-8572.87,-8670.76,-8832.74,-8883.13,-8988.72,10061.58,153.75637566132,10061.58
10015.0,3009376.06,1135427.69,-7967.290000000001,-8463.79,-8572.77,-8670.66,-8832.64,-8883.03,-8988.62,10062.68,152.3538403083013,10062.68
10016.0,3009376.01,1135427.71,-7968.290000000001,-8463.7,-8572.68,-8670.57,-8832.55,-8882.94,-8988.53,10063.77,,10063.77
10017.0,3009375.97,1135427.74,-7969.290000000001,-8463.59,-8572.57,-8670.46,-8832.44,-8882.83,-8988.42,10064.88,163.18911342770036,10064.88
10018.0,3009375.92,1135427.76,-7970.290000000001,-8463.49,-8572.47,-8670.36,-8832.34,-8882.73,-8988.32,10065.98,152.68384862665866,10065.98
10019.0,3009375.87,1135427.79,-7971.290000000001,-8463.38,-8572.36,-8670.25,-8832.23,-8882.62,-8988.21,10067.09,144.65364621329692,10067.09
10020.0,3009375.83,1135427.81,-7972.290000000001,-8463.27,-8572.25,-8670.14,-8832.12,-8882.51,-8988.1,10068.19,141.55981822869694,10068.19
