MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11338.0,2985644.93,1064879.98,-9184.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11433.48,90.1363845457526,11433.48
11339.0,2985644.92,1064879.98,-9185.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11434.48,90.2904638355744,11434.48
11340.0,2985644.9,1064879.97,-9186.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11435.48,85.13473375307574,11435.48
11341.0,2985644.89,1064879.97,-9187.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11436.48,82.64576060980052,11436.48
11342.0,2985644.88,1064879.96,-9188.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11437.48,85.98809597362724,11437.48
11343.0,2985644.87,1064879.96,-9189.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.35,-9977.28,11438.48,91.42828012964308,11438.48
11344.0,2985644.85,1064879.95,-9190.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.34,-9977.28,11439.48,89.75711244772971,11439.48
11345.0,2985644.84,1064879.94,-9191.07,-9538.6,-9714.17,-9716.51,-9796.49,-9833.34,-9977.28,11440.48,89.06968177006323,11440.48
11346.0,2985644.83,1064879.93,-9192.07,-9538.6,-9714.17,-9716.5,-9796.49,-9833.34,-9977.28,11441.48,88.46521686383925,11441.48
11347.0,2985644.82,1064879.92,-9193.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.28,11442.48,85.37177881434003,11442.48
11348.0,2985644.81,1064879.9,-9194.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.28,11443.48,86.5095951084087,11443.48
11349.0,2985644.8,1064879.89,-9195.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.28,11444.48,93.241674848315,11444.48
11350.0,2985644.79,1064879.87,-9196.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11445.48,101.31305918436466,11445.48
11351.0,2985644.78,1064879.86,-9197.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11446.48,98.84779054721588,11446.48
11352.0,2985644.77,1064879.84,-9198.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11447.48,91.08456479080984,11447.48
11353.0,2985644.76,1064879.82,-9199.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11448.48,94.62838845671122,11448.48
11354.0,2985644.75,1064879.8,-9200.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11449.48,95.68323897933736,11449.48
11355.0,2985644.74,1064879.78,-9201.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11450.48,93.97651453823438,11450.48
11356.0,2985644.73,1064879.75,-9202.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11451.48,,11451.48
11357.0,2985644.72,1064879.73,-9203.07,-9538.59,-9714.17,-9716.5,-9796.49,-9833.34,-9977.27,11452.48,97.63886073476792,11452.48
11358.0,2985644.71,1064879.7,-9204.07,-9538.59,-9714.17,-9716.5,-9796.48,-9833.34,-9977.27,11453.48,99.20335813911234,11453.48
11359.0,2985644.7,1064879.68,-9205.07,-9538.59,-9714.16,-9716.5,-9796.48,-9833.34,-9977.27,11454.48,104.08648640115706,11454.48
11360.0,2985644.69,1064879.65,-9206.07,-9538.59,-9714.16,-9716.5,-9796.48,-9833.34,-9977.27,11455.48,107.87920738138595,11455.48
11361.0,2985644.68,1064879.62,-9207.06,-9538.59,-9714.16,-9716.5,-9796.48,-9833.33,-9977.27,11456.490000000002,105.34282522585788,11456.490000000002
11362.0,2985644.68,1064879.59,-9208.06,-9538.58,-9714.16,-9716.49,-9796.48,-9833.33,-9977.27,11457.490000000002,101.91752409058866,11457.490000000002
