MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10405.0,3006373.5,1122241.9,-8268.88,-8841.06,-8975.41,-9057.97,-9192.49,-9243.04,-9348.92,10361.84,,10361.84
10406.0,3006373.5,1122241.89,-8269.88,-8841.04,-8975.39,-9057.95,-9192.47,-9243.02,-9348.9,10362.86,,10362.86
10407.0,3006373.49,1122241.88,-8270.88,-8841.02,-8975.37,-9057.93,-9192.45,-9243.0,-9348.88,10363.88,,10363.88
10408.0,3006373.49,1122241.87,-8271.88,-8841.0,-8975.35,-9057.91,-9192.43,-9242.98,-9348.85,10364.91,,10364.91
10409.0,3006373.48,1122241.86,-8272.88,-8840.98,-8975.33,-9057.88,-9192.41,-9242.96,-9348.83,10365.93,,10365.93
10410.0,3006373.48,1122241.86,-8273.88,-8840.95,-8975.3,-9057.86,-9192.39,-9242.93,-9348.81,10366.95,,10366.95
10411.0,3006373.47,1122241.85,-8274.88,-8840.93,-8975.28,-9057.84,-9192.36,-9242.91,-9348.79,10367.97,,10367.97
10412.0,3006373.46,1122241.84,-8275.88,-8840.91,-8975.26,-9057.82,-9192.34,-9242.89,-9348.77,10368.990000000002,,10368.990000000002
10413.0,3006373.46,1122241.83,-8276.88,-8840.89,-8975.24,-9057.8,-9192.32,-9242.87,-9348.75,10370.01,,10370.01
10414.0,3006373.45,1122241.82,-8277.88,-8840.87,-8975.22,-9057.78,-9192.3,-9242.85,-9348.73,10371.03,109.79902746181337,10371.03
10415.0,3006373.45,1122241.82,-8278.88,-8840.85,-8975.2,-9057.76,-9192.28,-9242.83,-9348.71,10372.05,,10372.05
10416.0,3006373.44,1122241.81,-8279.88,-8840.83,-8975.18,-9057.74,-9192.26,-9242.81,-9348.69,10373.070000000002,122.41035270791608,10373.070000000002
10417.0,3006373.44,1122241.8,-8280.88,-8840.81,-8975.16,-9057.72,-9192.24,-9242.79,-9348.67,10374.09,,10374.09
10418.0,3006373.43,1122241.79,-8281.88,-8840.79,-8975.14,-9057.7,-9192.22,-9242.77,-9348.65,10375.11,,10375.11
10419.0,3006373.43,1122241.79,-8282.88,-8840.77,-8975.12,-9057.68,-9192.2,-9242.75,-9348.63,10376.13,,10376.13
10420.0,3006373.42,1122241.78,-8283.88,-8840.75,-8975.1,-9057.66,-9192.18,-9242.73,-9348.61,10377.15,,10377.15
10421.0,3006373.42,1122241.77,-8284.88,-8840.73,-8975.08,-9057.64,-9192.16,-9242.71,-9348.59,10378.17,111.90270384329094,10378.17
10422.0,3006373.41,1122241.76,-8285.88,-8840.71,-8975.06,-9057.62,-9192.14,-9242.69,-9348.57,10379.19,,10379.19
10423.0,3006373.41,1122241.76,-8286.88,-8840.69,-8975.04,-9057.6,-9192.12,-9242.67,-9348.55,10380.21,,10380.21
10424.0,3006373.4,1122241.75,-8287.88,-8840.67,-8975.02,-9057.58,-9192.1,-9242.65,-9348.53,10381.23,116.11005660624603,10381.23
10425.0,3006373.39,1122241.74,-8288.88,-8840.65,-8975.0,-9057.56,-9192.08,-9242.63,-9348.51,10382.25,,10382.25
10426.0,3006373.39,1122241.74,-8289.88,-8840.63,-8974.98,-9057.54,-9192.06,-9242.61,-9348.49,10383.27,,10383.27
10427.0,3006373.38,1122241.73,-8290.88,-8840.61,-8974.96,-9057.52,-9192.05,-9242.59,-9348.47,10384.29,,10384.29
10428.0,3006373.38,1122241.72,-8291.88,-8840.59,-8974.95,-9057.5,-9192.03,-9242.57,-9348.45,10385.31,111.90270384329094,10385.31
10429.0,3006373.37,1122241.72,-8292.88,-8840.58,-8974.93,-9057.48,-9192.01,-9242.56,-9348.43,10386.33,,10386.33
10430.0,3006373.37,1122241.71,-8293.88,-8840.56,-8974.91,-9057.47,-9191.99,-9242.54,-9348.41,10387.34,,10387.34
10431.0,3006373.36,1122241.7,-8294.88,-8840.54,-8974.89,-9057.45,-9191.97,-9242.52,-9348.4,10388.36,116.11005660624603,10388.36
10432.0,3006373.35,1122241.7,-8295.88,-8840.52,-8974.87,-9057.43,-9191.95,-9242.5,-9348.38,10389.38,,10389.38
10433.0,3006373.35,1122241.69,-8296.88,-8840.5,-8974.85,-9057.41,-9191.93,-9242.48,-9348.36,10390.4,,10390.4
10434.0,3006373.34,1122241.68,-8297.88,-8840.48,-8974.83,-9057.39,-9191.92,-9242.46,-9348.34,10391.42,,10391.42
10435.0,3006373.34,1122241.68,-8298.88,-8840.47,-8974.82,-9057.37,-9191.9,-9242.45,-9348.32,10392.44,109.79902746181337,10392.44
10436.0,3006373.33,1122241.67,-8299.88,-8840.45,-8974.8,-9057.36,-9191.88,-9242.43,-9348.31,10393.45,,10393.45
10437.0,3006373.32,1122241.67,-8300.88,-8840.43,-8974.78,-9057.34,-9191.86,-9242.41,-9348.29,10394.47,105.59167469885828,10394.47
10438.0,3006373.32,1122241.66,-8301.88,-8840.41,-8974.76,-9057.32,-9191.85,-9242.39,-9348.27,10395.490000000002,,10395.490000000002
10439.0,3006373.31,1122241.65,-8302.88,-8840.4,-8974.75,-9057.3,-9191.83,-9242.38,-9348.25,10396.51,,10396.51
10440.0,3006373.31,1122241.65,-8303.88,-8840.38,-8974.73,-9057.29,-9191.81,-9242.36,-9348.24,10397.52,,10397.52
10441.0,3006373.3,1122241.64,-8304.88,-8840.36,-8974.71,-9057.27,-9191.79,-9242.34,-9348.22,10398.54,116.11005660624603,10398.54
10442.0,3006373.29,1122241.64,-8305.88,-8840.34,-8974.69,-9057.25,-9191.78,-9242.32,-9348.2,10399.56,,10399.56
10443.0,3006373.29,1122241.63,-8306.88,-8840.33,-8974.68,-9057.24,-9191.76,-9242.31,-9348.18,10400.570000000002,,10400.570000000002
10444.0,3006373.28,1122241.62,-8307.88,-8840.31,-8974.66,-9057.22,-9191.74,-9242.29,-9348.17,10401.59,114.00638022476848,10401.59
10445.0,3006373.28,1122241.62,-8308.88,-8840.29,-8974.64,-9057.2,-9191.73,-9242.27,-9348.15,10402.61,,10402.61
10446.0,3006373.27,1122241.61,-8309.88,-8840.28,-8974.63,-9057.19,-9191.71,-9242.26,-9348.13,10403.62,,10403.62
10447.0,3006373.26,1122241.61,-8310.88,-8840.26,-8974.61,-9057.17,-9191.69,-9242.24,-9348.12,10404.64,,10404.64
10448.0,3006373.26,1122241.6,-8311.88,-8840.25,-8974.6,-9057.15,-9191.68,-9242.23,-9348.1,10405.66,101.39505497866578,10405.66
10449.0,3006373.25,1122241.6,-8312.88,-8840.23,-8974.58,-9057.14,-9191.66,-9242.21,-9348.09,10406.67,,10406.67
10450.0,3006373.25,1122241.59,-8313.88,-8840.21,-8974.56,-9057.12,-9191.65,-9242.19,-9348.07,10407.69,,10407.69
10451.0,3006373.24,1122241.59,-8314.88,-8840.2,-8974.55,-9057.11,-9191.63,-9242.18,-9348.05,10408.7,107.6953510803358,10408.7
10452.0,3006373.23,1122241.58,-8315.88,-8840.18,-8974.53,-9057.09,-9191.61,-9242.16,-9348.04,10409.72,,10409.72
10453.0,3006373.23,1122241.58,-8316.88,-8840.17,-8974.52,-9057.07,-9191.6,-9242.14,-9348.02,10410.740000000002,,10410.740000000002
10454.0,3006373.22,1122241.57,-8317.88,-8840.15,-8974.5,-9057.06,-9191.58,-9242.13,-9348.01,10411.75,,10411.75
10455.0,3006373.21,1122241.57,-8318.88,-8840.14,-8974.49,-9057.04,-9191.57,-9242.12,-9347.99,10412.77,122.41035270791608,10412.77
10456.0,3006373.21,1122241.56,-8319.88,-8840.12,-8974.47,-9057.03,-9191.55,-9242.1,-9347.98,10413.78,,10413.78
10457.0,3006373.2,1122241.56,-8320.88,-8840.11,-8974.46,-9057.01,-9191.54,-9242.09,-9347.96,10414.79,,10414.79
10458.0,3006373.19,1122241.55,-8321.88,-8840.09,-8974.44,-9057.0,-9191.52,-9242.07,-9347.95,10415.81,107.6953510803358,10415.81
10459.0,3006373.19,1122241.55,-8322.88,-8840.08,-8974.43,-9056.98,-9191.51,-9242.06,-9347.93,10416.820000000002,,10416.820000000002
10460.0,3006373.18,1122241.55,-8323.88,-8840.06,-8974.41,-9056.97,-9191.49,-9242.04,-9347.92,10417.84,,10417.84
10461.0,3006373.17,1122241.54,-8324.88,-8840.05,-8974.4,-9056.96,-9191.48,-9242.03,-9347.9,10418.85,,10418.85
10462.0,3006373.17,1122241.54,-8325.88,-8840.03,-8974.38,-9056.94,-9191.46,-9242.01,-9347.89,10419.87,124.51402908939365,10419.87
10463.0,3006373.16,1122241.53,-8326.88,-8840.02,-8974.37,-9056.93,-9191.45,-9242.0,-9347.87,10420.88,,10420.88
10464.0,3006373.15,1122241.53,-8327.88,-8840.0,-8974.35,-9056.91,-9191.44,-9241.98,-9347.86,10421.9,120.30667632643852,10421.9
10465.0,3006373.15,1122241.52,-8328.88,-8839.99,-8974.34,-9056.9,-9191.42,-9241.97,-9347.85,10422.91,,10422.91
10466.0,3006373.14,1122241.52,-8329.88,-8839.98,-8974.33,-9056.89,-9191.41,-9241.96,-9347.83,10423.92,,10423.92
10467.0,3006373.13,1122241.52,-8330.88,-8839.96,-8974.31,-9056.87,-9191.4,-9241.94,-9347.82,10424.94,,10424.94
10468.0,3006373.13,1122241.51,-8331.88,-8839.95,-8974.3,-9056.86,-9191.38,-9241.93,-9347.81,10425.95,,10425.95
10469.0,3006373.12,1122241.51,-8332.88,-8839.94,-8974.29,-9056.84,-9191.37,-9241.92,-9347.79,10426.96,107.6953510803358,10426.96
10470.0,3006373.11,1122241.51,-8333.88,-8839.92,-8974.27,-9056.83,-9191.35,-9241.9,-9347.78,10427.98,,10427.98
10471.0,3006373.11,1122241.5,-8334.88,-8839.91,-8974.26,-9056.82,-9191.34,-9241.89,-9347.77,10428.990000000002,,10428.990000000002
10472.0,3006373.1,1122241.5,-8335.88,-8839.9,-8974.25,-9056.8,-9191.33,-9241.88,-9347.75,10430.0,116.11005660624603,10430.0
10473.0,3006373.09,1122241.49,-8336.88,-8839.88,-8974.23,-9056.79,-9191.31,-9241.86,-9347.74,10431.02,,10431.02
10474.0,3006373.09,1122241.49,-8337.88,-8839.87,-8974.22,-9056.78,-9191.3,-9241.85,-9347.73,10432.03,,10432.03
10475.0,3006373.08,1122241.49,-8338.88,-8839.86,-8974.21,-9056.77,-9191.29,-9241.84,-9347.71,10433.04,120.30667632643852,10433.04
10476.0,3006373.07,1122241.48,-8339.88,-8839.85,-8974.2,-9056.75,-9191.28,-9241.83,-9347.7,10434.05,,10434.05
10477.0,3006373.07,1122241.48,-8340.88,-8839.83,-8974.18,-9056.74,-9191.27,-9241.81,-9347.69,10435.070000000002,,10435.070000000002
10478.0,3006373.06,1122241.48,-8341.88,-8839.82,-8974.17,-9056.73,-9191.25,-9241.8,-9347.68,10436.08,126.6177054708712,10436.08
10479.0,3006373.05,1122241.48,-8342.88,-8839.81,-8974.16,-9056.72,-9191.24,-9241.79,-9347.67,10437.09,,10437.09
10480.0,3006373.04,1122241.47,-8343.88,-8839.8,-8974.15,-9056.71,-9191.23,-9241.78,-9347.65,10438.1,,10438.1
10481.0,3006373.04,1122241.47,-8344.88,-8839.78,-8974.14,-9056.69,-9191.22,-9241.76,-9347.64,10439.12,,10439.12
