MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10688.0,2905604.12,1031745.12,-8662.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10621.86,121.02075849668398,10621.86
10689.0,2905604.12,1031745.12,-8663.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10622.86,125.7735151538646,10622.86
10690.0,2905604.12,1031745.12,-8664.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10623.86,127.8276726921376,10623.86
10691.0,2905604.12,1031745.12,-8665.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10624.86,120.416594514839,10624.86
10692.0,2905604.12,1031745.12,-8666.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10625.86,,10625.86
10693.0,2905604.12,1031745.12,-8667.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10626.86,93.16208600049814,10626.86
10694.0,2905604.12,1031745.12,-8668.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10627.86,82.23343086223534,10627.86
10695.0,2905604.13,1031745.11,-8669.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10628.86,83.46861055845179,10628.86
10696.0,2905604.13,1031745.11,-8670.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10629.86,88.85238293000383,10629.86
10697.0,2905604.13,1031745.11,-8671.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10630.86,88.31534827947496,10630.86
10698.0,2905604.14,1031745.1,-8672.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10631.86,93.88708277871211,10631.86
10699.0,2905604.14,1031745.1,-8673.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10632.86,100.45233138142773,10632.86
10700.0,2905604.15,1031745.1,-8674.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10633.86,96.53197843256687,10633.86
10701.0,2905604.15,1031745.09,-8675.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10634.86,88.77182773242451,10634.86
10702.0,2905604.16,1031745.08,-8676.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10635.86,88.55701387221295,10635.86
10703.0,2905604.16,1031745.08,-8677.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10636.86,88.61071733726584,10636.86
10704.0,2905604.17,1031745.07,-8678.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10637.86,86.73109606041474,10637.86
10705.0,2905604.18,1031745.06,-8679.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.9,-9307.22,10638.85,89.33571411547985,10638.85
10706.0,2905604.19,1031745.06,-8680.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10639.85,90.30237648643184,10639.85
10707.0,2905604.19,1031745.05,-8681.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10640.85,89.05377092395217,10640.85
10708.0,2905604.2,1031745.04,-8682.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10641.85,88.86580879626706,10641.85
10709.0,2905604.21,1031745.03,-8683.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10642.85,92.57134788491636,10642.85
10710.0,2905604.22,1031745.02,-8684.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10643.85,92.92042040776012,10643.85
10711.0,2905604.23,1031745.01,-8685.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10644.85,87.2412789784172,10644.85
10712.0,2905604.24,1031745.0,-8686.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10645.85,86.46257873515032,10645.85
10713.0,2905604.25,1031744.99,-8687.89,-8803.53,-9026.97,-9093.35,-9142.87,-9180.91,-9307.22,10646.85,90.51719034664336,10646.85
10714.0,2905604.27,1031744.98,-8688.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10647.85,89.7384901033765,10647.85
10715.0,2905604.28,1031744.97,-8689.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10648.85,90.78570767190784,10648.85
10716.0,2905604.29,1031744.96,-8690.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10649.85,93.65884305223736,10649.85
10717.0,2905604.3,1031744.94,-8691.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10650.85,89.0000674588993,10650.85
10718.0,2905604.32,1031744.93,-8692.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10651.85,86.91905818809985,10651.85
10719.0,2905604.33,1031744.92,-8693.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10652.85,91.22876125859416,10652.85
10720.0,2905604.35,1031744.9,-8694.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10653.85,93.16208600049814,10653.85
10721.0,2905604.36,1031744.89,-8695.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10654.85,91.18848365980448,10654.85
10722.0,2905604.38,1031744.87,-8696.89,-8803.54,-9026.98,-9093.36,-9142.87,-9180.91,-9307.23,10655.85,91.7523700428598,10655.85
10723.0,2905604.39,1031744.86,-8697.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10656.85,93.41717745949934,10656.85
10724.0,2905604.41,1031744.84,-8698.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10657.85,92.08801669944036,10657.85
10725.0,2905604.43,1031744.83,-8699.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10658.84,89.91302636479838,10658.84
10726.0,2905604.44,1031744.81,-8700.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10659.84,89.64450903953394,10659.84
10727.0,2905604.46,1031744.79,-8701.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10660.84,90.47691274785372,10660.84
10728.0,2905604.48,1031744.77,-8702.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10661.84,87.01303925194242,10661.84
10729.0,2905604.5,1031744.75,-8703.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10662.84,84.448698795667,10662.84
10730.0,2905604.52,1031744.74,-8704.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10663.84,84.60980919082564,10663.84
10731.0,2905604.54,1031744.72,-8705.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.91,-9307.23,10664.84,84.69036438840499,10664.84
10732.0,2905604.56,1031744.7,-8706.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.92,-9307.23,10665.84,88.55701387221295,10665.84
10733.0,2905604.58,1031744.68,-8707.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.92,-9307.23,10666.84,89.20145545284761,10666.84
10734.0,2905604.6,1031744.66,-8708.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.92,-9307.23,10667.84,89.33571411547985,10667.84
10735.0,2905604.63,1031744.64,-8709.88,-8803.54,-9026.98,-9093.36,-9142.88,-9180.92,-9307.23,10668.84,91.65838897901725,10668.84
10736.0,2905604.65,1031744.61,-8710.88,-8803.55,-9026.99,-9093.37,-9142.88,-9180.92,-9307.24,10669.83,88.77182773242451,10669.83
10737.0,2905604.67,1031744.59,-8711.88,-8803.55,-9026.99,-9093.37,-9142.88,-9180.92,-9307.24,10670.83,89.24173305163728,10670.83
10738.0,2905604.69,1031744.57,-8712.88,-8803.55,-9026.99,-9093.37,-9142.88,-9180.92,-9307.24,10671.83,91.5107044501218,10671.83
10739.0,2905604.72,1031744.55,-8713.88,-8803.55,-9026.99,-9093.37,-9142.88,-9180.92,-9307.24,10672.83,103.7819462147068,10672.83
10740.0,2905604.74,1031744.52,-8714.88,-8803.55,-9026.99,-9093.37,-9142.88,-9180.92,-9307.24,10673.83,109.11201512120596,10673.83
10741.0,2905604.77,1031744.5,-8715.88,-8803.55,-9026.99,-9093.37,-9142.89,-9180.92,-9307.24,10674.83,95.7532781893,10674.83
10742.0,2905604.79,1031744.47,-8716.88,-8803.55,-9026.99,-9093.37,-9142.89,-9180.92,-9307.24,10675.83,85.44221289914543,10675.83
