MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
10669.0,2888205.32,1024016.38,-8560.82,-8433.11,-8676.92,-8737.47,-8787.27,-8810.47,-8934.87,10639.63,83.87424483206838,10639.63
10670.0,2888205.8,1024015.96,-8561.58,-8433.09,-8676.89,-8737.45,-8787.25,-8810.45,-8934.85,10640.42,84.87483230396899,10640.42
10671.0,2888206.29,1024015.53,-8562.34,-8433.07,-8676.87,-8737.43,-8787.23,-8810.43,-8934.83,10641.21,82.7735986129777,10641.21
10672.0,2888206.78,1024015.1,-8563.1,-8433.05,-8676.85,-8737.41,-8787.21,-8810.41,-8934.81,10641.98,93.22973769433906,10641.98
10673.0,2888207.27,1024014.68,-8563.86,-8433.02,-8676.83,-8737.39,-8787.19,-8810.39,-8934.79,10642.76,114.77989037039836,10642.76
10674.0,2888207.76,1024014.25,-8564.62,-8433.0,-8676.81,-8737.37,-8787.17,-8810.37,-8934.77,10643.53,116.2182348612555,10643.53
10675.0,2888208.26,1024013.82,-8565.37,-8432.98,-8676.79,-8737.35,-8787.15,-8810.35,-8934.74,10644.31,120.12052600166788,10644.31
10676.0,2888208.75,1024013.38,-8566.13,-8432.96,-8676.76,-8737.32,-8787.12,-8810.32,-8934.72,10645.08,112.81623745679344,10645.08
10677.0,2888209.25,1024012.95,-8566.88,-8432.94,-8676.74,-8737.3,-8787.1,-8810.3,-8934.7,10645.86,102.46015712262216,10645.86
10678.0,2888209.74,1024012.52,-8567.63,-8432.92,-8676.72,-8737.28,-8787.08,-8810.28,-8934.68,10646.63,,10646.63
10679.0,2888210.24,1024012.08,-8568.38,-8432.89,-8676.7,-8737.26,-8787.06,-8810.26,-8934.66,10647.41,,10647.41
10680.0,2888210.74,1024011.64,-8569.13,-8432.87,-8676.68,-8737.24,-8787.04,-8810.24,-8934.64,10648.18,87.3763009837205,10648.18
10681.0,2888211.24,1024011.2,-8569.88,-8432.85,-8676.66,-8737.22,-8787.02,-8810.22,-8934.62,10648.96,85.0749497983491,10648.96
10682.0,2888211.74,1024010.77,-8570.62,-8432.83,-8676.63,-8737.19,-8786.99,-8810.19,-8934.59,10649.72,95.9313238684707,10649.72
10683.0,2888212.24,1024010.32,-8571.37,-8432.81,-8676.61,-8737.17,-8786.97,-8810.17,-8934.57,10650.48,,10650.48
10684.0,2888212.74,1024009.88,-8572.11,-8432.78,-8676.59,-8737.15,-8786.95,-8810.15,-8934.55,10651.25,98.34524114443091,10651.25
