TVT,GR,Geology
10572.95,119.19,
10573.45,117.36,
10573.95,119.18,
10574.45,120.14,
10574.95,124.21000000000001,
10575.45,124.3,
10575.95,126.17,
10576.45,124.11,
10576.95,125.71000000000001,
10577.45,124.13000000000001,
10577.95,125.72,
10578.45,124.74000000000001,
10578.95,125.65,
10579.45,123.67,
10579.95,123.35000000000001,
10580.45,121.02,
10580.95,117.22,
10581.45,115.88000000000001,
10581.95,116.23,
10582.45,118.52,
10582.95,117.43,
10583.45,116.7,
10583.95,117.93,
10584.45,117.0,
10584.95,117.43,
10585.45,114.39,
10585.95,112.43,
10586.45,111.14,
10586.95,113.67,
10587.45,115.23,
10587.95,114.8,
10588.45,115.12,
10588.95,117.89,
10589.45,123.54,
10589.95,123.86,
10590.45,120.71000000000001,
10590.95,117.83,
10591.45,116.4,
10591.95,118.53,
10592.45,115.19,
10592.95,116.61,
10593.45,116.08,
10593.95,118.53,
10594.45,117.57000000000001,
10594.95,118.86,
10595.45,117.72,
10595.95,119.55,
10596.45,117.78,
10596.95,117.71000000000001,
10597.45,115.27,
10597.95,118.25,
10598.45,121.36,
10598.95,123.65,
10599.45,123.51,
10599.95,123.08,
10600.45,123.17,
10600.95,123.7,
10601.45,127.88000000000001,
10601.95,130.03,
10602.45,129.94,
10602.95,128.95,
10603.45,127.2,
10603.95,131.29,
10604.45,127.51,
10604.95,122.58,
10605.45,118.62,
10605.95,120.15,
10606.45,125.62,
10606.95,128.6,
10607.45,130.28,
10607.95,130.18,
10608.45,128.7,
10608.95,129.29999999999998,
10609.45,125.73,
10609.95,124.82000000000001,
10610.45,122.38000000000001,
10610.95,126.59,
10611.45,128.26,
10611.95,131.10999999999999,
10612.45,129.93,
10612.95,127.37,
10613.45,123.97,
10613.95,122.47,
10614.45,125.54,
10614.95,130.39,
10615.45,131.4,
10615.95,128.57999999999998,
10616.45,125.9,
10616.95,128.35,
10617.45,131.01,
10617.95,130.34,
10618.45,128.63,
10618.95,128.38,
10619.45,130.82,
10619.95,129.81,
10620.45,129.76,
10620.95,130.43,
10621.45,134.88,
10621.95,136.15,
10622.45,140.47,
10622.95,141.94,
10623.45,133.48,
10623.95,114.15,
10624.45,94.46000000000001,
10624.95,85.23,
10625.45,85.65,
10625.95,86.39,
10626.45,93.08,
10626.95,95.83,
10627.45,100.44,
10627.95,95.66,
10628.45,91.23,
10628.95,87.8,
10629.45,87.34,
10629.95,87.09,
10630.45,88.77,
10630.95,89.28,
10631.45,90.95,
10631.95,87.74000000000001,
10632.45,89.13000000000001,
10632.95,86.28,
10633.45,88.11,
10633.95,88.2,
10634.45,91.26,
10634.95,90.66,
10635.45,90.58,
10635.95,86.67,
10636.45,89.79,
10636.95,89.31,
10637.45,94.17,
10637.95,95.45,
10638.45,95.23,
10638.95,91.27,
10639.45,86.02,
10639.95,85.60000000000001,
10640.45,86.74000000000001,
10640.95,86.11,
10641.45,86.91,
10641.95,88.34,
10642.45,89.48,
10642.95,88.42,
10643.45,88.4,
10643.95,91.11,
10644.45,91.63000000000001,
10644.95,91.18,
10645.45,90.55,
10645.95,91.25,
10646.45,90.92,
10646.95,90.25,
10647.45,89.85000000000001,
10647.95,90.24000000000001,
10648.45,90.55,
10648.95,88.98,
10649.45,89.65,
10649.95,89.3,
10650.45,93.45,
10650.95,94.85000000000001,
10651.45,92.85000000000001,
10651.95,87.37,
10652.45,82.21000000000001,
10652.95,82.48,
10653.45,83.47,
10653.95,84.37,
10654.45,82.7,
10654.95,83.64,
10655.45,83.13000000000001,
10655.95,83.29,
10656.45,81.34,
10656.95,84.32000000000001,
10657.45,86.09,
10657.95,88.83,
10658.45,86.05,
10658.95,84.91,
10659.45,85.02,
10659.95,87.38000000000001,
10660.45,90.44,
10660.95,91.68,
10661.45,92.19,
10661.95,93.7,
10662.45,93.86,
10662.95,92.98,
10663.45,90.32000000000001,
10663.95,88.15,
10664.45,87.49000000000001,
10664.95,87.85000000000001,
10665.45,88.01,
10665.95,88.83,
10666.45,88.68,
10666.95,90.7,
10667.45,99.64,
10667.95,117.78,
10668.45,121.97,
10668.95,114.2,
10669.45,94.57000000000001,
10669.95,87.15,
