MD,X,Y,Z,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA,TVT,GR,TVT_input
11212.0,3023407.97,1120768.89,-9080.61,-9466.13,-9612.42,-9694.01,-9810.82,-9858.11,-9974.07,11188.12,92.48671263737214,11188.12
11213.0,3023407.97,1120768.89,-9081.61,-9466.21,-9612.5,-9694.09,-9810.9,-9858.2,-9974.15,11189.04,87.72665639359415,11189.04
11214.0,3023407.97,1120768.9,-9082.61,-9466.29,-9612.58,-9694.17,-9810.98,-9858.28,-9974.23,11189.96,,11189.96
11215.0,3023407.96,1120768.91,-9083.61,-9466.37,-9612.66,-9694.25,-9811.06,-9858.36,-9974.31,11190.88,,11190.88
11216.0,3023407.96,1120768.91,-9084.61,-9466.45,-9612.74,-9694.33,-9811.14,-9858.44,-9974.39,11191.8,98.00405055629662,11191.8
11217.0,3023407.96,1120768.92,-9085.61,-9466.54,-9612.83,-9694.42,-9811.23,-9858.52,-9974.48,11192.71,100.511931428535,11192.71
11218.0,3023407.95,1120768.92,-9086.61,-9466.63,-9612.92,-9694.51,-9811.32,-9858.61,-9974.57,11193.62,,11193.62
11219.0,3023407.95,1120768.93,-9087.61,-9466.72,-9613.01,-9694.6,-9811.4,-9858.7,-9974.66,11194.53,,11194.53
11220.0,3023407.95,1120768.93,-9088.61,-9466.81,-9613.1,-9694.69,-9811.49,-9858.79,-9974.75,11195.45,,11195.45
11221.0,3023407.94,1120768.94,-9089.61,-9466.89,-9613.18,-9694.77,-9811.58,-9858.88,-9974.83,11196.36,,11196.36
11222.0,3023407.94,1120768.94,-9090.61,-9466.98,-9613.27,-9694.86,-9811.67,-9858.97,-9974.92,11197.27,99.3907611562402,11197.27
11223.0,3023407.94,1120768.95,-9091.61,-9467.07,-9613.36,-9694.95,-9811.76,-9859.06,-9975.01,11198.18,95.59451795355776,11198.18
11224.0,3023407.93,1120768.96,-9092.61,-9467.16,-9613.45,-9695.04,-9811.85,-9859.15,-9975.1,11199.09,,11199.09
11225.0,3023407.93,1120768.96,-9093.61,-9467.25,-9613.54,-9695.13,-9811.94,-9859.23,-9975.19,11200.0,103.46237951352136,11200.0
11226.0,3023407.93,1120768.97,-9094.61,-9467.34,-9613.63,-9695.22,-9812.03,-9859.32,-9975.28,11200.91,105.42934490351226,11200.91
11227.0,3023407.92,1120768.97,-9095.61,-9467.44,-9613.73,-9695.32,-9812.12,-9859.42,-9975.38,11201.820000000002,,11201.820000000002
11228.0,3023407.92,1120768.98,-9096.61,-9467.53,-9613.82,-9695.41,-9812.22,-9859.52,-9975.47,11202.72,,11202.72
11229.0,3023407.91,1120768.99,-9097.61,-9467.63,-9613.92,-9695.51,-9812.32,-9859.61,-9975.57,11203.62,103.46237951352136,11203.62
11230.0,3023407.91,1120768.99,-9098.61,-9467.73,-9614.02,-9695.61,-9812.41,-9859.71,-9975.67,11204.52,,11204.52
11231.0,3023407.91,1120769.0,-9099.61,-9467.82,-9614.11,-9695.7,-9812.51,-9859.81,-9975.76,11205.43,106.3046445020582,11205.43
11232.0,3023407.9,1120769.0,-9100.61,-9467.92,-9614.21,-9695.8,-9812.61,-9859.91,-9975.86,11206.33,111.33024107348496,11206.33
11233.0,3023407.9,1120769.01,-9101.61,-9468.02,-9614.31,-9695.9,-9812.71,-9860.0,-9975.96,11207.23,,11207.23
11234.0,3023407.89,1120769.02,-9102.61,-9468.12,-9614.41,-9696.0,-9812.8,-9860.1,-9976.06,11208.14,,11208.14
11235.0,3023407.89,1120769.02,-9103.61,-9468.21,-9614.5,-9696.09,-9812.9,-9860.2,-9976.15,11209.04,,11209.04
11236.0,3023407.88,1120769.03,-9104.61,-9468.31,-9614.6,-9696.19,-9813.0,-9860.29,-9976.25,11209.94,126.0824814984167,11209.94
11237.0,3023407.88,1120769.04,-9105.61,-9468.42,-9614.71,-9696.3,-9813.1,-9860.4,-9976.36,11210.84,,11210.84
11238.0,3023407.87,1120769.04,-9106.61,-9468.52,-9614.81,-9696.4,-9813.21,-9860.51,-9976.46,11211.73,124.00733301197631,11211.73
11239.0,3023407.87,1120769.05,-9107.61,-9468.63,-9614.92,-9696.51,-9813.31,-9860.61,-9976.57,11212.62,116.2476545484622,11212.62
11240.0,3023407.86,1120769.06,-9108.61,-9468.73,-9615.02,-9696.61,-9813.42,-9860.72,-9976.67,11213.52,,11213.52
11241.0,3023407.86,1120769.06,-9109.61,-9468.84,-9615.13,-9696.72,-9813.53,-9860.82,-9976.78,11214.41,,11214.41
11242.0,3023407.85,1120769.07,-9110.61,-9468.94,-9615.23,-9696.82,-9813.63,-9860.93,-9976.88,11215.31,114.27085433152136,11215.31
11243.0,3023407.85,1120769.08,-9111.61,-9469.05,-9615.34,-9696.93,-9813.74,-9861.03,-9976.99,11216.2,111.33024107348496,11216.2
11244.0,3023407.84,1120769.09,-9112.61,-9469.15,-9615.44,-9697.03,-9813.84,-9861.14,-9977.09,11217.1,,11217.1
11245.0,3023407.84,1120769.09,-9113.61,-9469.26,-9615.55,-9697.14,-9813.95,-9861.25,-9977.2,11217.990000000002,102.70509783837488,11217.990000000002
11246.0,3023407.83,1120769.1,-9114.61,-9469.37,-9615.66,-9697.25,-9814.05,-9861.35,-9977.31,11218.88,100.511931428535,11218.88
11247.0,3023407.83,1120769.11,-9115.61,-9469.48,-9615.77,-9697.36,-9814.17,-9861.46,-9977.42,11219.77,,11219.77
11248.0,3023407.82,1120769.11,-9116.61,-9469.59,-9615.88,-9697.47,-9814.28,-9861.58,-9977.53,11220.66,,11220.66
11249.0,3023407.82,1120769.12,-9117.61,-9469.71,-9616.0,-9697.59,-9814.4,-9861.69,-9977.65,11221.54,,11221.54
11250.0,3023407.81,1120769.13,-9118.61,-9469.82,-9616.11,-9697.7,-9814.51,-9861.81,-9977.76,11222.43,,11222.43
11251.0,3023407.81,1120769.14,-9119.61,-9469.94,-9616.23,-9697.82,-9814.62,-9861.92,-9977.88,11223.31,,11223.31
11252.0,3023407.8,1120769.14,-9120.61,-9470.05,-9616.34,-9697.93,-9814.74,-9862.04,-9977.99,11224.2,,11224.2
11253.0,3023407.79,1120769.15,-9121.61,-9470.16,-9616.45,-9698.04,-9814.85,-9862.15,-9978.1,11225.09,,11225.09
11254.0,3023407.79,1120769.16,-9122.61,-9470.28,-9616.57,-9698.16,-9814.97,-9862.26,-9978.22,11225.97,,11225.97
11255.0,3023407.78,1120769.17,-9123.61,-9470.39,-9616.68,-9698.27,-9815.08,-9862.38,-9978.33,11226.86,102.90179437737396,11226.86
11256.0,3023407.78,1120769.18,-9124.61,-9470.51,-9616.8,-9698.39,-9815.19,-9862.49,-9978.45,11227.740000000002,105.42934490351226,11227.740000000002
11257.0,3023407.77,1120769.18,-9125.61,-9470.63,-9616.92,-9698.51,-9815.32,-9862.61,-9978.57,11228.62,,11228.62
11258.0,3023407.76,1120769.19,-9126.61,-9470.75,-9617.04,-9698.63,-9815.44,-9862.74,-9978.69,11229.5,109.07806570194538,11229.5
11259.0,3023407.76,1120769.2,-9127.61,-9470.87,-9617.16,-9698.75,-9815.56,-9862.86,-9978.81,11230.38,111.33024107348496,11230.38
11260.0,3023407.75,1120769.21,-9128.61,-9471.0,-9617.29,-9698.88,-9815.68,-9862.98,-9978.94,11231.25,,11231.25
11261.0,3023407.74,1120769.22,-9129.61,-9471.12,-9617.41,-9699.0,-9815.81,-9863.1,-9979.06,11232.13,,11232.13
11262.0,3023407.74,1120769.22,-9130.61,-9471.24,-9617.53,-9699.12,-9815.93,-9863.23,-9979.18,11233.01,108.44863677714828,11233.01
11263.0,3023407.73,1120769.23,-9131.61,-9471.36,-9617.65,-9699.24,-9816.05,-9863.35,-9979.3,11233.89,105.42934490351226,11233.89
11264.0,3023407.73,1120769.24,-9132.61,-9471.49,-9617.78,-9699.37,-9816.17,-9863.47,-9979.43,11234.76,,11234.76
11265.0,3023407.72,1120769.25,-9133.61,-9471.61,-9617.9,-9699.49,-9816.3,-9863.59,-9979.55,11235.64,100.511931428535,11235.64
11266.0,3023407.71,1120769.26,-9134.61,-9471.73,-9618.02,-9699.61,-9816.42,-9863.72,-9979.67,11236.52,,11236.52
11267.0,3023407.7,1120769.27,-9135.61,-9471.86,-9618.15,-9699.74,-9816.55,-9863.85,-9979.8,11237.39,,11237.39
11268.0,3023407.7,1120769.27,-9136.61,-9471.99,-9618.28,-9699.87,-9816.68,-9863.98,-9979.93,11238.26,101.64293652777978,11238.26
11269.0,3023407.69,1120769.28,-9137.61,-9472.12,-9618.41,-9700.0,-9816.81,-9864.11,-9980.06,11239.13,105.42934490351226,11239.13
11270.0,3023407.68,1120769.29,-9138.61,-9472.25,-9618.54,-9700.13,-9816.94,-9864.24,-9980.19,11239.990000000002,,11239.990000000002
11271.0,3023407.68,1120769.3,-9139.61,-9472.39,-9618.68,-9700.27,-9817.07,-9864.37,-9980.33,11240.86,111.63512070893356,11240.86
11272.0,3023407.67,1120769.31,-9140.61,-9472.52,-9618.81,-9700.4,-9817.2,-9864.5,-9980.46,11241.73,113.29720646347586,11241.73
11273.0,3023407.66,1120769.32,-9141.61,-9472.65,-9618.94,-9700.53,-9817.34,-9864.63,-9980.59,11242.6,,11242.6
11274.0,3023407.65,1120769.33,-9142.61,-9472.78,-9619.07,-9700.66,-9817.47,-9864.76,-9980.72,11243.47,,11243.47
11275.0,3023407.65,1120769.34,-9143.61,-9472.91,-9619.2,-9700.79,-9817.6,-9864.89,-9980.85,11244.34,,11244.34
11276.0,3023407.64,1120769.35,-9144.61,-9473.04,-9619.33,-9700.92,-9817.73,-9865.03,-9980.98,11245.21,,11245.21
11277.0,3023407.63,1120769.36,-9145.61,-9473.18,-9619.47,-9701.06,-9817.87,-9865.17,-9981.12,11246.070000000002,115.1264842761674,11246.070000000002
11278.0,3023407.62,1120769.36,-9146.61,-9473.32,-9619.61,-9701.2,-9818.01,-9865.31,-9981.26,11246.93,116.2476545484622,11246.93
11279.0,3023407.62,1120769.37,-9147.61,-9473.46,-9619.75,-9701.34,-9818.15,-9865.45,-9981.4,11247.78,,11247.78
11280.0,3023407.61,1120769.38,-9148.61,-9473.61,-9619.9,-9701.49,-9818.29,-9865.59,-9981.55,11248.64,,11248.64
11281.0,3023407.6,1120769.39,-9149.61,-9473.75,-9620.04,-9701.63,-9818.44,-9865.73,-9981.69,11249.5,130.99989497339396,11249.5
11282.0,3023407.59,1120769.4,-9150.61,-9473.89,-9620.18,-9701.77,-9818.58,-9865.87,-9981.83,11250.36,,11250.36
11283.0,3023407.58,1120769.41,-9151.61,-9474.03,-9620.32,-9701.91,-9818.72,-9866.02,-9981.97,11251.22,132.3964404002875,11251.22
11284.0,3023407.58,1120769.42,-9152.61,-9474.17,-9620.46,-9702.05,-9818.86,-9866.16,-9982.11,11252.08,133.9503430583803,11252.08
11285.0,3023407.57,1120769.43,-9153.61,-9474.31,-9620.6,-9702.19,-9819.0,-9866.3,-9982.25,11252.93,,11252.93
11286.0,3023407.56,1120769.44,-9154.61,-9474.46,-9620.75,-9702.34,-9819.14,-9866.44,-9982.4,11253.79,,11253.79
11287.0,3023407.55,1120769.45,-9155.61,-9474.61,-9620.9,-9702.49,-9819.3,-9866.6,-9982.55,11254.63,118.21461993845313,11254.63
11288.0,3023407.54,1120769.46,-9156.61,-9474.77,-9621.06,-9702.65,-9819.46,-9866.76,-9982.71,11255.48,,11255.48
11289.0,3023407.53,1120769.47,-9157.61,-9474.93,-9621.22,-9702.81,-9819.62,-9866.91,-9982.87,11256.320000000002,122.19772485318468,11256.320000000002
11290.0,3023407.52,1120769.48,-9158.61,-9475.09,-9621.38,-9702.97,-9819.78,-9867.07,-9983.03,11257.16,129.03292958340305,11257.16
11291.0,3023407.52,1120769.49,-9159.61,-9475.25,-9621.54,-9703.13,-9819.93,-9867.23,-9983.19,11258.0,121.05688492698997,11258.0
11292.0,3023407.51,1120769.5,-9160.61,-9475.4,-9621.69,-9703.28,-9820.09,-9867.39,-9983.34,11258.84,105.42934490351226,11258.84
11293.0,3023407.5,1120769.52,-9161.61,-9475.56,-9621.85,-9703.44,-9820.25,-9867.55,-9983.5,11259.69,,11259.69
11294.0,3023407.49,1120769.53,-9162.61,-9475.72,-9622.01,-9703.6,-9820.41,-9867.71,-9983.66,11260.53,113.29720646347586,11260.53
11295.0,3023407.48,1120769.54,-9163.61,-9475.88,-9622.17,-9703.76,-9820.57,-9867.86,-9983.82,11261.37,,11261.37
11296.0,3023407.47,1120769.55,-9164.61,-9476.04,-9622.33,-9703.92,-9820.72,-9868.02,-9983.98,11262.21,,11262.21
11297.0,3023407.46,1120769.56,-9165.61,-9476.21,-9622.5,-9704.09,-9820.9,-9868.2,-9984.15,11263.03,116.10013214421288,11263.03
11298.0,3023407.45,1120769.57,-9166.61,-9476.39,-9622.68,-9704.27,-9821.08,-9868.37,-9984.33,11263.86,121.16506802343946,11263.86
11299.0,3023407.44,1120769.58,-9167.61,-9476.56,-9622.85,-9704.44,-9821.25,-9868.55,-9984.5,11264.68,,11264.68
11300.0,3023407.43,1120769.59,-9168.61,-9476.74,-9623.03,-9704.62,-9821.43,-9868.72,-9984.68,11265.51,113.50373782942488,11265.51
11301.0,3023407.43,1120769.61,-9169.61,-9476.91,-9623.2,-9704.79,-9821.6,-9868.9,-9984.85,11266.33,111.33024107348496,11266.33
11302.0,3023407.42,1120769.62,-9170.61,-9477.09,-9623.38,-9704.97,-9821.78,-9869.07,-9985.03,11267.16,,11267.16
11303.0,3023407.41,1120769.63,-9171.61,-9477.26,-9623.55,-9705.14,-9821.95,-9869.25,-9985.2,11267.98,,11267.98
11304.0,3023407.4,1120769.64,-9172.61,-9477.44,-9623.73,-9705.32,-9822.13,-9869.42,-9985.38,11268.81,118.21461993845313,11268.81
11305.0,3023407.39,1120769.65,-9173.61,-9477.61,-9623.9,-9705.49,-9822.3,-9869.6,-9985.55,11269.63,,11269.63
11306.0,3023407.38,1120769.67,-9174.61,-9477.79,-9624.08,-9705.67,-9822.48,-9869.77,-9985.73,11270.46,124.39089126302454,11270.46
11307.0,3023407.37,1120769.68,-9175.61,-9477.98,-9624.27,-9705.86,-9822.67,-9869.97,-9985.92,11271.26,126.0824814984167,11271.26
11308.0,3023407.36,1120769.69,-9176.61,-9478.17,-9624.46,-9706.05,-9822.86,-9870.16,-9986.11,11272.070000000002,,11272.070000000002
11309.0,3023407.35,1120769.7,-9177.61,-9478.37,-9624.66,-9706.25,-9823.05,-9870.35,-9986.31,11272.88,124.36138678217468,11272.88
11310.0,3023407.34,1120769.72,-9178.61,-9478.56,-9624.85,-9706.44,-9823.25,-9870.54,-9986.5,11273.69,118.21461993845313,11273.69
11311.0,3023407.33,1120769.73,-9179.61,-9478.75,-9625.04,-9706.63,-9823.44,-9870.73,-9986.69,11274.5,,11274.5
11312.0,3023407.32,1120769.74,-9180.61,-9478.94,-9625.23,-9706.82,-9823.63,-9870.93,-9986.88,11275.3,124.78428434102273,11275.3
11313.0,3023407.31,1120769.75,-9181.61,-9479.13,-9625.42,-9707.01,-9823.82,-9871.12,-9987.07,11276.11,126.0824814984167,11276.11
11314.0,3023407.3,1120769.77,-9182.6,-9479.33,-9625.62,-9707.21,-9824.01,-9871.31,-9987.27,11276.92,,11276.92
11315.0,3023407.29,1120769.78,-9183.6,-9479.52,-9625.81,-9707.4,-9824.21,-9871.5,-9987.46,11277.73,118.48999509305185,11277.73
11316.0,3023407.28,1120769.79,-9184.6,-9479.71,-9626.0,-9707.59,-9824.4,-9871.7,-9987.65,11278.53,111.33024107348496,11278.53
11317.0,3023407.27,1120769.81,-9185.6,-9479.92,-9626.21,-9707.8,-9824.61,-9871.91,-9987.86,11279.320000000002,111.60561622808368,11279.320000000002
